,https://roic.ai/company/MGIC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5400000,10000000,16900000,21400000,25400000,36400000,37400000,38800000,63992000,90256000,76562000,60004000,63390000,65167000,60990000,61725000,58428000,61980000,55350000,88578000,113328000,126380000,144958000,164304000,176030000,201646000,258140000,284375000,325630000,371194000,480325000
2,COGS,500000,1200000,2000000,3500000,4500000,9300000,12100000,12500000,15271000,33856000,36542000,28991000,24139000,25479000,26676000,28718000,27340000,27139000,26264000,51448000,67258000,73393000,85893000,99727000,113221000,133382000,175161000,195557000,223501000,261602000,347331000
3,Gross Profit,4900000,8800000,14900000,17900000,20900000,27100000,25300000,26300000,48721000,56400000,40020000,31013000,39251000,39688000,34314000,33007000,31088000,34841000,29086000,37130000,46070000,52987000,59065000,64577000,62809000,68264000,82979000,88818000,102129000,109592000,132994000
4,Gross Profit Ratio,0.9074,0.8800,0.8817,0.8364,0.8228,0.7445,0.6765,0.6778,0.7614,0.6249,0.5227,0.5168,0.6192,0.6090,0.5626,0.5347,0.5321,0.5621,0.5255,0.4192,0.4065,0.4193,0.4075,0.3930,0.3568,0.3385,0.3214,0.3123,0.3136,0.2952,0.2769
5,Research and Development Exp.,- -,- -,- -,- -,- -,2600000,3300000,2800000,2953000,5947000,7547000,5336000,4775000,3845000,3733000,3942000,2716000,2350000,1310000,2072000,2047000,2947000,3706000,4750000,4888000,5839000,6942000,5696000,8239000,8789000,8995000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30694000,30814000,32541000,34842000,32349000,27090000,10867000,8210000,8194000,9159000,10642000,13166000,14521000,13425000,17562000,22837000,24227000,29784000,27967000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17357000,15308000,17526000,20147000,22990000,23066000,24580000,23062000,23776000,27244000,27197000,30454000,31160000,- -
8,"Selling, General and Administrative Exp.",3700000,7000000,11500000,16600000,20000000,20100000,23600000,23900000,31176000,47458000,46598000,30694000,30814000,32541000,34842000,32349000,27090000,28224000,23518000,25720000,29306000,33632000,36232000,39101000,36487000,41338000,50081000,51424000,60238000,59127000,70257000
9,Other Expenses,100000,400000,700000,1300000,1200000,1900000,2600000,2800000,3516000,- -,20081000,- -,- -,- -,- -,- -,- -,- -,-1972000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3800000,7400000,12200000,17900000,21200000,24600000,29500000,29500000,37645000,53405000,74226000,36030000,35589000,36386000,38575000,36291000,29806000,30574000,22856000,27792000,31353000,36579000,39938000,43851000,41375000,47177000,57023000,57120000,68477000,67916000,79252000
11,COGS and Expenses,4300000,8600000,14200000,21400000,25700000,33900000,41600000,42000000,52916000,87261000,110768000,65021000,59728000,61865000,65251000,65009000,57146000,57713000,49120000,79240000,98611000,109972000,125831000,143578000,154596000,180559000,232184000,252677000,291978000,329518000,426583000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,2419000,575000,958000,307000,912000,- -,- -,- -,- -,482000,13000,- -,49000,46000,91000,231000,240000,284000,284000,212000,100000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485000,- -,173000,-352000,28000,577000,308000,-64000,456000,1186000,990000,385000,614000,3155000
14,Depreciation and Amortization,100000,400000,700000,1300000,1200000,1900000,2600000,2800000,3516000,6416000,8102000,4502000,4739000,4596000,5206000,5519000,3855000,3615000,4617000,4549000,5040000,7444000,8380000,8660000,9885000,11608000,13611000,12564000,14025000,13939000,14672000
15,EBITDA,1200000,2400000,4100000,100000,1100000,3800000,-7400000,-3400000,14425000,7859000,-34517000,-777000,8036000,8967000,1090000,838000,16825000,8807000,11127000,13995000,19529000,23749000,26412000,26795000,29700000,27920000,36570000,40508000,41550000,47025000,57518000
16,EBITDA ratio,0.2222,0.2400,0.2426,0.0047,0.0433,0.1044,-0.1979,-0.0876,0.2254,0.0871,-0.4508,-0.0129,0.1268,0.1376,0.0179,0.0136,0.2880,0.1421,0.2010,0.1580,0.1723,0.1879,0.1822,0.1631,0.1687,0.1385,0.1417,0.1424,0.1276,0.1267,0.1197
17,Operating Income,1100000,1400000,2700000,- -,-300000,2500000,-4200000,-3200000,11076000,529000,-40819000,-6140000,3662000,3302000,-4261000,-5441000,1282000,-4267000,6230000,9338000,14717000,16408000,19127000,20726000,21434000,21087000,25956000,31698000,33652000,40588000,51235000
18,Operating Income ratio,0.2037,0.1400,0.1598,- -,-0.0118,0.0687,-0.1123,-0.0825,0.1731,0.0059,-0.5331,-0.1023,0.0578,0.0507,-0.0699,-0.0881,0.0219,-0.0688,0.1126,0.1054,0.1299,0.1298,0.1319,0.1261,0.1218,0.1046,0.1006,0.1115,0.1033,0.1093,0.1067
19,Total Other Income Expenses (Gains),- -,600000,700000,-1200000,200000,-600000,-5800000,-3000000,-167000,914000,-1800000,861000,265000,912000,358000,688000,331000,-440000,280000,-65000,346000,146000,-696000,-1853000,-677000,-430000,-1711000,149000,-1180000,-3185000,-5972000
20,Income Before Tax,1100000,2000000,3400000,-1200000,-100000,1900000,-10000000,-6200000,10909000,1443000,-42619000,-5279000,3927000,4214000,-3903000,-4753000,1613000,-4707000,6510000,9273000,15063000,16554000,18431000,18873000,20757000,20657000,24245000,31847000,32472000,37403000,45263000
21,Income Before Tax Ratio,0.2037,0.2000,0.2012,-0.0561,-0.0039,0.0522,-0.2674,-0.1598,0.1705,0.0160,-0.5567,-0.0880,0.0619,0.0647,-0.0640,-0.0770,0.0276,-0.0759,0.1176,0.1047,0.1329,0.1310,0.1271,0.1149,0.1179,0.1024,0.0939,0.1120,0.0997,0.1008,0.0942
22,Income Tax expense (Gain),100000,700000,900000,200000,300000,500000,500000,100000,2000,523000,167000,384000,230000,281000,491000,325000,362000,199000,334000,-102000,-203000,94000,1575000,2307000,3681000,3949000,6331000,7071000,6874000,7286000,10359000
23,Net Income,1000000,1300000,2500000,-1400000,-400000,1400000,-10500000,-6300000,10907000,920000,-42786000,-5663000,3067000,4090000,-4607000,-5006000,12608000,4508000,6176000,9375000,15044000,16183000,15880000,15520000,16198000,11907000,15442000,19883000,20266000,25186000,29332000
24,Net Income ratio,0.1852,0.1300,0.1479,-0.0654,-0.0157,0.0385,-0.2807,-0.1624,0.1704,0.0102,-0.5588,-0.0944,0.0484,0.0628,-0.0755,-0.0811,0.2158,0.0727,0.1116,0.1058,0.1327,0.1281,0.1095,0.0945,0.0920,0.0590,0.0598,0.0699,0.0622,0.0679,0.0611
25,EPS,0.13,0.12,0.22,-0.11,-0.03,0.10,-0.72,-0.38,0.45,0.03,-1.45,-0.19,0.10,0.13,-0.15,-0.16,0.40,0.14,0.19,0.29,0.41,0.44,0.43,0.36,0.37,0.27,0.35,0.39,0.26,0.49,0.52
26,EPS Diluted,0.13,0.12,0.22,-0.11,-0.03,0.10,-0.72,-0.38,0.43,0.03,-1.45,-0.19,0.10,0.13,-0.15,-0.16,0.39,0.14,0.19,0.29,0.41,0.44,0.43,0.36,0.36,0.27,0.35,0.39,0.26,0.49,0.52
27,Weighted Average Shares Outstanding,7692308,10833333,11363636,12727273,13333333,14000000,14583333,14174174,24281000,29084000,29743000,29805263,30670000,31461538,30713333,31287500,31520000,31769000,31899000,32139000,36268000,36502000,36835000,43288000,44248000,44347000,44436000,46665000,48896000,49029000,49055000
28,Weighted Average Shares Outstanding Diluted,7692308,10833333,11363636,12727273,13333333,14000000,14583333,14399399,25391000,30232000,29743000,29805263,30670000,32502000,31098000,31287500,32328205,32032000,32107000,32731000,37046000,37108000,37294000,43305000,44452000,44516000,44600000,46797000,48994000,49048000,49100000
