,https://roic.ai/company/GRST,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,18430000,4820000,- -,- -,- -,- -,- -,- -,- -,- -,191207,1680000,5540000,5960000,3416340,- -,- -,929420,432520,359950,338996
2,COGS,16020000,3850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000,1050000,1260000,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,2410000,970000,- -,- -,- -,- -,- -,- -,- -,- -,191207,1030000,4490000,4700000,- -,- -,- -,- -,- -,359950,338996
4,Gross Profit Ratio,0.1308,0.2012,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.6131,0.8105,0.7886,- -,- -,- -,- -,- -,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,410000,850000,- -,83903,61546,9954,12000,88500,14289,39719,488095,3618332,5537069,5756319,4674150,3368588,790880,2448074,3043186,4100150,55756
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",410000,850000,- -,83903,61546,9954,12000,88500,14289,39719,488095,3618332,5537069,5756319,4674150,3368588,790880,2448074,3043186,4100150,55756
9,Other Expenses,-10000,0,- -,250000,- -,- -,- -,- -,- -,- -,51229,129766,223984,183260,83701,90862,- -,223623,273646,217018,446584
10,Operating Expenses,400000,850000,- -,333903,- -,- -,- -,- -,- -,- -,539324,3748098,5761053,5939579,4757851,3459450,790880,2671697,3316832,4317168,502340
11,COGS and Expenses,16420000,4700000,- -,333903,61546,9954,12000,88500,14289,39719,539324,4400000,7030000,7590000,4757850,450220,790880,2382570,3316830,5333290,502340
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32074,5334,17226,629
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257,- -,214207,397298,310583,192104,122748,1036463,5200951,4417798,1493082
14,Depreciation and Amortization,520000,340000,- -,250000,- -,- -,- -,- -,- -,- -,51229,129766,223984,183262,83701,90862,- -,444959,273646,217018,121276
15,EBITDA,3170000,-5780000,- -,-83903,-61546,-9954,-12000,-88500,-14289,-39719,-415782,-2370234,-1041809,-1049440,-1505986,-963076,-231206,112932,-2601813,-10328024,4699350
16,EBITDA ratio,0.1720,-1.1992,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.1745,-1.4109,-0.1881,-0.1761,-0.4408,-Infinity,-Infinity,0.1215,-6.0155,-28.6929,13.8626
17,Operating Income,2010000,120000,- -,-333903,-61546,-9954,-12000,-88500,-14289,-39719,-348117,-2718067,-1484353,-1631056,-1341509,-320572,-790880,-1453157,-2884317,-4199735,-163344
18,Operating Income ratio,0.1091,0.0249,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.8206,-1.6179,-0.2679,-0.2737,-0.3927,-Infinity,-Infinity,-1.5635,-6.6686,-11.6676,-0.4818
19,Total Other Income Expenses (Gains),640000,-6240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,218067,4353,1056,-310581,-674388,-205820,-6737223,-5192093,-10763105,3248336
20,Income Before Tax,2650000,-6120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-1480000,-1630000,-1652090,-994960,-996700,-8190380,-8076410,-14962840,3084992
21,Income Before Tax Ratio,0.1438,-1.2697,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.4881,-0.2671,-0.2735,-0.4836,-Infinity,-Infinity,-8.8124,-18.6729,-41.5692,9.1004
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102230,- -,- -
23,Net Income,2650000,-6120000,- -,-333903,-61546,-9954,-12000,-88500,-14289,-39719,-467268,-2500000,-1480000,-1630000,-1900270,-1155180,-260710,-1368490,-8178640,-14962840,3084992
24,Net Income ratio,0.1438,-1.2697,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.4438,-1.4881,-0.2671,-0.2735,-0.5562,-Infinity,-Infinity,-1.4724,-18.9093,-41.5692,9.1004
