,https://roic.ai/company/LDOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,4826000000,5573000000,6910000000,7792000000,8294000000,8935000000,10070000000,10846000000,11117000000,10587000000,11173000000,5772000000,5086000000,7043000000,10170000000,10194000000,- -,11094000000,13737000000
2,COGS,- -,4163000000,4828000000,6044000000,6801000000,7184000000,7698000000,8692000000,9343000000,9632000000,9606000000,9809000000,5006000000,4468000000,6191000000,8923000000,8690000000,- -,9546000000,11723000000
3,Gross Profit,- -,663000000,745000000,866000000,991000000,1110000000,1237000000,1378000000,1503000000,1485000000,981000000,1364000000,766000000,618000000,852000000,1247000000,1504000000,- -,1548000000,2014000000
4,Gross Profit Ratio,- -,0.1374,0.1337,0.1253,0.1272,0.1338,0.1384,0.1368,0.1386,0.1336,0.0927,0.1221,0.1327,0.1215,0.1210,0.1226,0.1475,- -,0.1395,0.1466
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,42000000,46000000,- -,49000000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,525000000,571000000,602000000,636000000,527000000,670000000,592000000,442000000,- -,293000000,520000000,683000000,- -,600000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,525000000,571000000,602000000,636000000,527000000,670000000,592000000,442000000,232000000,293000000,520000000,683000000,- -,600000000,860000000
9,Other Expenses,- -,350000000,372000000,404000000,494000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,126000000,26000000,- -,-13000000,- -
10,Operating Expenses,- -,350000000,372000000,404000000,494000000,525000000,571000000,602000000,636000000,527000000,670000000,592000000,442000000,232000000,435000000,688000000,755000000,- -,636000000,860000000
11,COGS and Expenses,- -,4513000000,5200000000,6448000000,7295000000,7709000000,8269000000,9294000000,9979000000,10159000000,10276000000,10401000000,5448000000,4700000000,6626000000,9611000000,9445000000,- -,10182000000,12583000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,5000000,9000000,15000000,- -,10000000,8000000,7000000,- -,14000000,1000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,76000000,79000000,114000000,93000000,83000000,54000000,96000000,148000000,145000000,- -,147000000,185000000
14,Depreciation and Amortization,- -,- -,- -,- -,70000000,72000000,80000000,89000000,93000000,111000000,114000000,113000000,81000000,44000000,122000000,350000000,257000000,- -,234000000,325000000
15,EBITDA,- -,197000000,486000000,534000000,1136000000,697000000,735000000,797000000,965000000,1122000000,502000000,866000000,332000000,444000000,534000000,893000000,1011000000,- -,1244000000,1471000000
16,EBITDA ratio,- -,0.0408,0.0872,0.0773,0.1458,0.0840,0.0823,0.0791,0.0890,0.1009,0.0474,0.0775,0.0575,0.0873,0.0758,0.0878,0.0992,- -,0.1121,0.1071
17,Operating Income,- -,313000000,373000000,462000000,497000000,585000000,666000000,776000000,867000000,958000000,311000000,734000000,164000000,298000000,417000000,559000000,749000000,- -,912000000,1152000000
18,Operating Income ratio,- -,0.0649,0.0669,0.0669,0.0638,0.0705,0.0745,0.0771,0.0799,0.0862,0.0294,0.0657,0.0284,0.0586,0.0592,0.0550,0.0735,- -,0.0822,0.0839
