,https://roic.ai/company/MRAM,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,24896000,26546000,27094000,35936000,49417000,37503000,42031000,55146000
2,COGS,11806000,12568000,12395000,14451000,24083000,19172000,23942000,44148000
3,Gross Profit,13090000,13978000,14699000,21485000,25334000,18331000,18089000,10998000
4,Gross Profit Ratio,0.5258,0.5266,0.5425,0.5979,0.5127,0.4888,0.4304,0.1994
5,Research and Development Exp.,12664000,21126000,19233000,25437000,23637000,14183000,10896000,12628000
6,General and Administrative Exp.,7085000,6565000,7281000,11516000,12551000,12414000,10773000,10949000
7,Selling and Marketing Exp.,3259000,3823000,3706000,4740000,6467000,5364000,3983000,4460000
8,"Selling, General and Administrative Exp.",10344000,10388000,10987000,16256000,19018000,17778000,14756000,15409000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,23008000,31514000,30220000,41693000,42655000,31961000,25652000,28037000
11,COGS and Expenses,34814000,44082000,42615000,56144000,66738000,51133000,49594000,72185000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),263000,653000,2347000,764000,890000,747000,665000,-547000
14,Depreciation and Amortization,1517000,1340000,826000,1191000,1450000,1694000,1982000,- -
15,EBITDA,-8403000,-16190000,-13535000,-19145000,-15414000,-12228000,-5605000,3800000
16,EBITDA ratio,-0.3375,-0.6099,-0.4996,-0.5328,-0.3119,-0.3261,-0.1334,0.0689
17,Operating Income,-9918000,-17536000,-15521000,-20208000,-17321000,-14412000,-7563000,5035000
18,Operating Income ratio,-0.3984,-0.6606,-0.5729,-0.5623,-0.3505,-0.3843,-0.1799,0.0913
19,Total Other Income Expenses (Gains),-265000,-647000,-1187000,-892000,-433000,-257000,-689000,-688000
20,Income Before Tax,-10183000,-18183000,-16708000,-21100000,-17754000,-14669000,-8252000,4347000
21,Income Before Tax Ratio,-0.4090,-0.6850,-0.6167,-0.5872,-0.3593,-0.3911,-0.1963,0.0788
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,260000,-4000
23,Net Income,-10183000,-18183000,-16708000,-21100000,-17754000,-14669000,-8512000,4351000
24,Net Income ratio,-0.4090,-0.6850,-0.6167,-0.5872,-0.3593,-0.3911,-0.2025,0.0789
25,EPS,-2.02,-3.61,-3.52,-1.69,-1.08,-0.85,-0.45,0.22
26,EPS Diluted,-2.02,-3.61,-3.52,-1.69,-1.08,-0.85,-0.45,0.22
27,Weighted Average Shares Outstanding,5038404,5038404,4738496,12484984,16372638,17317042,18782287,19400124
28,Weighted Average Shares Outstanding Diluted,5038404,5038404,4738496,12484984,16372638,17317042,18782287,19972145
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438423/000155837017002252/0001558370-17-002252-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837018002138/0001558370-18-002138-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837019002175/0001558370-19-002175-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837020002576/0001558370-20-002576-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837021002369/0001558370-21-002369-index.htm,https://www.sec.gov/Archives/edgar/data/1438423/000155837022003158/0001558370-22-003158-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,9624000,2307000,29727000,12950000,23379000,14487000,14599000,21409000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9624000,2307000,29727000,12950000,23379000,14487000,14599000,21409000
34,Net Receivables,2914000,2473000,3656000,4041000,7522000,5799000,7607000,8193000
35,Inventory,3745000,4176000,5069000,9837000,9097000,7863000,5721000,6396000
36,Other Current Assets,73000,190000,1050000,590000,688000,539000,270000,762000
37,Total Current Assets,16356000,9146000,39502000,27418000,40686000,28688000,28197000,36760000
38,PP&E,1118000,1654000,1920000,3946000,4286000,6611000,4259000,1886000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,282000,132000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,282000,132000,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,19000,29000,50000,73000,73000,73000,73000,734000
45,Total Non-Current Assets,1419000,1815000,1970000,4019000,4359000,6684000,4332000,2620000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17775000,10961000,41472000,31437000,45045000,35372000,32529000,39380000
48,Accounts Payable,929000,1162000,1502000,2720000,2637000,2873000,2224000,1776000
49,Short-Term Debt,- -,- -,3877000,3987000,5977000,670000,4242000,4094000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,214000
51,Deferred Revenue,1802000,1690000,2056000,1720000,- -,- -,- -,832000
52,Other Current Liabilities,4685000,6492000,2948000,3948000,5001000,4351000,3771000,3629000
53,Total Current Liabilities,7416000,9344000,10383000,12375000,13615000,7894000,10237000,10331000
54,Long-Term Debt,- -,6739000,4218000,8178000,6509000,7149000,3748000,1597000
55,Deferred Revenue,- -,229000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,145000,437000,- -,- -,- -,1840000,1132000,214000
58,Total Non-Current Liabilities,145000,7405000,4218000,8178000,6509000,8989000,4880000,1811000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,7000,- -,- -,3422000,2411000,- -
61,Total Liabilities,7561000,16749000,14601000,20553000,20124000,16883000,15117000,12142000
62,Preferred Stock,64642000,64642000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,2000,2000,2000,2000
64,Retained Earnings,-61548000,-79731000,-96439000,-117539000,-133993000,-148662000,-157174000,-152831000
65,Other Comprehensive Income/Loss,-6896000,-7572000,-8185000,-9376000,-10479000,-12107000,- -,- -
66,Other Total Stockholders Equity,78658000,81515000,131494000,137798000,169391000,179256000,174584000,180067000
67,Total Stockholders Equity,10214000,-5788000,26871000,10884000,24921000,18489000,17412000,27238000
68,Total Liabilities And Stockholders Equity,17775000,10961000,41472000,31437000,45045000,35372000,32529000,39380000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17775000,10961000,41472000,31437000,45045000,35372000,32529000,39380000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438423/000155837017002252/0001558370-17-002252-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837018002138/0001558370-18-002138-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837019002175/0001558370-19-002175-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837020002576/0001558370-20-002576-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837021002369/0001558370-21-002369-index.htm,https://www.sec.gov/Archives/edgar/data/1438423/000155837022003158/0001558370-22-003158-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-10183000,-18183000,-16708000,-21100000,-17754000,-14669000,-8512000,4351000
74,Depreciation and Amortization,1517000,1340000,826000,1191000,1450000,1694000,1982000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,906000,2177000,2106000,3520000,3421000,3554000,3968000,3227000
77,Change in Working Capital,-270000,-9138000,29317000,-14076000,12028000,-6277000,-2834000,8469000
78,Accounts Receivable,-579000,339000,-1261000,-259000,-3816000,1723000,-1808000,- -
79,Inventory,-297000,-431000,-893000,-3871000,694000,1234000,2142000,- -
80,Accounts Payable,514000,233000,340000,1114000,-178000,202000,-820000,- -
81,Other Working Capital,8940000,-198000,29119000,15043000,27071000,20794000,17960000,26429000
82,Other Non-Cash Items,92000,13134000,-34080000,11577000,-13818000,7582000,2473000,-16047000
83,Cash Provided by Operating Activities,-7938000,-10670000,-18539000,-18888000,-14673000,-8116000,-2923000,- -
84,CAPEX,-525000,-1295000,-1040000,-3070000,-1914000,-861000,-320000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-525000,-1295000,-1040000,-3070000,-1914000,-861000,-320000,- -
90,Debt Repayment,-281000,-3226000,-1523000,-8363000,-1011000,-4851000,-9000,- -
91,Common Stock Issued,1000,- -,38514000,- -,24524000,4734000,2084000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13992000,7874000,10008000,13544000,3503000,202000,1280000,- -
95,Cash Used/Provided by Financing Activities,13712000,4648000,46999000,5181000,27016000,85000,3355000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5249000,-7317000,27420000,-16777000,10429000,-8892000,112000,- -
98,Cash at the End of Period,9624000,2307000,29727000,12950000,23379000,14487000,14599000,- -
99,Cash at the Beginning of Period,4375000,9624000,2307000,29727000,12950000,23379000,14487000,14599000
100,Free Cash Flow,-8463000,-11965000,-19579000,-21958000,-16587000,-8977000,-3243000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438423/000155837017002252/0001558370-17-002252-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837018002138/0001558370-18-002138-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837019002175/0001558370-19-002175-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837020002576/0001558370-20-002576-index.html,https://www.sec.gov/Archives/edgar/data/1438423/000155837021002369/0001558370-21-002369-index.htm,https://www.sec.gov/Archives/edgar/data/1438423/000155837022003158/0001558370-22-003158-index.htm
102,false,,,,,,,,
