,https://roic.ai/company/OESX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,9018000,12423000,21783000,33280000,48183000,80687000,72634000,65418000,92458000,100562000,86086000,88623000,72210000,67642000,70211000,60300000,65754000,150841000,116840000
2,COGS,5091000,7376000,- -,22524000,32487000,52462000,49036000,43894000,62750000,70524000,59356000,65643000,73347000,51645000,52874000,45628000,51202000,113718000,86716000
3,Gross Profit,3927000,5047000,- -,10756000,15696000,28225000,23598000,21524000,29708000,30038000,26730000,22980000,-1137000,15997000,17337000,14672000,14552000,37123000,30124000
4,Gross Profit Ratio,0.4355,0.4063,- -,0.3232,0.3258,0.3498,0.3249,0.3290,0.3213,0.2987,0.3105,0.2593,-0.0157,0.2365,0.2469,0.2433,0.2213,0.2461,0.2578
5,Research and Development Exp.,139000,261000,- -,1171000,1078000,1832000,1942000,1891000,2333000,2518000,2259000,2026000,2554000,1668000,2004000,1905000,1374000,1716000,1685000
6,General and Administrative Exp.,- -,1927000,- -,- -,- -,- -,10451000,12836000,11431000,11399000,13946000,14951000,14908000,16884000,14777000,13159000,10231000,11156000,11262000
7,Selling and Marketing Exp.,- -,2381000,- -,- -,- -,- -,11261000,12596000,13740000,15599000,17129000,13527000,13290000,11343000,12833000,11879000,9104000,11113000,10341000
8,"Selling, General and Administrative Exp.",- -,4308000,- -,10866000,12621000,19032000,21712000,25432000,25171000,26998000,31075000,28478000,28198000,28227000,27610000,25038000,19335000,22269000,21603000
9,Other Expenses,3206000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3345000,4569000,- -,12037000,13699000,20864000,23654000,27323000,27504000,29516000,33334000,30504000,30752000,29895000,29614000,26943000,20709000,23985000,23288000
11,COGS and Expenses,8436000,11945000,- -,34561000,46186000,73326000,72690000,71217000,90254000,100040000,92690000,96147000,104099000,81540000,82488000,72571000,71911000,137703000,110004000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1661000,269000,571000,850000,845000,567000,300000,128000,36000,15000,11000,5000,- -
13,Interest Expense (Gain),- -,222000,- -,- -,- -,- -,167000,260000,406000,551000,567000,481000,376000,297000,273000,425000,493000,279000,127000
14,Depreciation and Amortization,- -,- -,- -,941000,1063000,1410000,1841000,3072000,2867000,4236000,4577000,4538000,4313000,4165000,2332000,2011000,1783000,1562000,1480000
15,EBITDA,128000,478000,-1272000,-1386000,2217000,8570000,3446000,-2208000,4630000,5640000,-1182000,-3238000,-27323000,-15628000,-9944000,-10707000,-4384000,14462000,8125000
16,EBITDA ratio,0.0142,0.0385,-0.0584,-0.0416,0.0460,0.1062,0.0474,-0.0338,0.0501,0.0561,-0.0137,-0.0365,-0.3784,-0.2310,-0.1416,-0.1776,-0.0667,0.0959,0.0695
17,Operating Income,582000,478000,21783000,-1281000,1997000,7361000,-56000,-5799000,2204000,522000,-6604000,-8343000,-31936000,-19921000,-12527000,-12981000,-6157000,13110000,6836000
18,Operating Income ratio,0.0645,0.0385,1.0000,-0.0385,0.0414,0.0912,-0.0008,-0.0886,0.0238,0.0052,-0.0767,-0.0941,-0.4423,-0.2945,-0.1784,-0.2153,-0.0936,0.0869,0.0585
19,Total Other Income Expenses (Gains),-108000,-222000,- -,-1046000,-843000,-201000,1494000,259000,-847000,331000,278000,86000,-76000,-169000,-22000,-162000,-503000,-489000,-318000
20,Income Before Tax,474000,256000,- -,-2327000,1154000,7160000,1438000,-5540000,1357000,853000,-6326000,-8257000,-32012000,-20090000,-12549000,-13143000,-6660000,12621000,6518000
21,Income Before Tax Ratio,0.0526,0.0206,- -,-0.0699,0.0240,0.0887,0.0198,-0.0847,0.0147,0.0085,-0.0735,-0.0932,-0.4433,-0.2970,-0.1787,-0.2180,-0.1013,0.0837,0.0558
22,Income Tax expense (Gain),-173000,102000,- -,-762000,225000,2750000,927000,-1350000,-243000,370000,4073000,-2058000,49000,36000,-261000,-15000,14000,159000,-19616000
23,Net Income,301000,154000,-1272000,-1565000,929000,4410000,511000,-4190000,1600000,483000,-10399000,-6199000,-32061000,-20126000,-12288000,-13128000,-6674000,12462000,26134000
24,Net Income ratio,0.0334,0.0124,-0.0584,-0.0470,0.0193,0.0547,0.0070,-0.0640,0.0173,0.0048,-0.1208,-0.0699,-0.4440,-0.2975,-0.1750,-0.2177,-0.1015,0.0826,0.2237
25,EPS,0.02,0.02,-0.36,-0.18,0.05,0.22,0.02,-0.19,0.05,0.02,-0.50,-0.30,-1.43,-0.73,-0.44,-0.46,-0.23,0.41,0.85
26,EPS Diluted,0.02,0.02,-0.36,-0.18,0.05,0.19,0.02,-0.19,0.05,0.02,-0.50,-0.30,-1.43,-0.73,-0.44,-0.46,-0.23,0.40,0.83
27,Weighted Average Shares Outstanding,5964000,6197000,6470413,8524012,9080461,15548189,25351839,21844150,22678411,22953037,20996625,20987964,22353419,27627693,28156382,28783830,29429540,30104552,30634553
28,Weighted Average Shares Outstanding Diluted,9169000,10218000,6470413,8524012,16432647,23453803,27445290,21844150,23198063,23386525,20996625,20987964,22353419,27627693,28156382,28783830,29429540,30964777,31303727
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1409375/000095013708008926/0000950137-08-008926-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012309014118/0000950123-09-014118-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012310057984/0000950123-10-057984-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000095012311067537/c65487e10vk.htm,https://www.sec.gov/Archives/edgar/data/1409375/000119312512270902/d360028d10k.htm,https://www.sec.gov/Archives/edgar/data/1409375/000140937513000014/0001409375-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937514000014/0001409375-14-000014-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937515000013/0001409375-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937516000039/0001409375-16-000039-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937517000021/0001409375-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000140937518000017/0001409375-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000156459019021688/0001564590-19-021688-index.html,https://www.sec.gov/Archives/edgar/data/1409375/000156459020028509/oesx-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/1409375/000156459021031193/0001564590-21-031193-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,175000,107000,- -,1089000,285000,78312000,36163000,23364000,11560000,23011000,14376000,17568000,20002000,15542000,17307000,9424000,8729000,28751000,19393000
32,Short-Term Investments,- -,- -,- -,- -,- -,2404000,6490000,1000000,1011000,1016000,1021000,470000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,175000,107000,- -,1089000,285000,80716000,42653000,24364000,12571000,24027000,15397000,18038000,20002000,15542000,17307000,9424000,8729000,28751000,19393000
34,Net Receivables,- -,- -,- -,6051000,11197000,17666000,11572000,14617000,27618000,19167000,18397000,15098000,18263000,15196000,11397000,10646000,18550000,10987000,16502000
35,Inventory,- -,- -,- -,6167000,9496000,16789000,20232000,25991000,29507000,18132000,15230000,11790000,14283000,17024000,13593000,7826000,13403000,14507000,19554000
36,Other Current Assets,- -,- -,- -,1164000,1641000,1725000,3917000,2974000,3446000,5916000,4583000,5415000,2497000,768000,1586000,1557000,695000,723000,1082000
37,Total Current Assets,- -,- -,- -,14471000,22619000,116896000,78374000,67946000,73142000,67242000,53607000,50341000,55045000,48530000,43883000,29453000,41377000,54968000,56531000
38,PP&E,- -,- -,- -,8106000,7588000,11539000,22999000,30500000,30017000,30225000,27947000,23135000,21223000,17004000,13786000,12894000,12010000,14562000,11369000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4409000,4409000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,194000,243000,388000,1404000,1590000,1620000,1689000,1709000,7551000,6335000,5048000,4207000,2868000,2469000,2216000,1952000
41,Intangible Assets,- -,- -,- -,194000,243000,388000,1404000,1590000,1620000,1689000,1709000,11960000,10744000,5048000,4207000,2868000,2469000,2216000,1952000
42,Investments,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,1607000,1907000,1000000,593000,2610000,2112000,2609000,- -,- -,- -,- -,- -,- -,- -,- -,19785000
44,Other Non-Current Assets,- -,- -,- -,360000,1226000,-121000,352000,975000,8099000,23885000,18834000,13504000,793000,293000,175000,110000,165000,817000,3184000
45,Total Non-Current Assets,- -,- -,- -,10267000,10964000,13806000,25348000,35675000,41848000,58408000,48490000,48599000,32760000,22345000,18168000,15872000,14644000,17595000,36290000
46,Other Assets,6397000,11147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6397000,11147000,- -,24738000,33583000,130702000,103722000,103621000,114990000,125650000,102097000,98940000,87805000,70875000,62051000,45325000,56021000,72563000,92821000
48,Accounts Payable,- -,- -,- -,4767000,5607000,7521000,7817000,7761000,12479000,14300000,7773000,8530000,11003000,11716000,11635000,11675000,19706000,19834000,17045000
49,Short-Term Debt,- -,- -,- -,- -,- -,843000,815000,562000,1137000,2791000,2597000,3450000,1832000,746000,152000,79000,96000,35000,14000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1318000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2614000,2946000,614000,287000,243000,621000,499000,123000,107000,87000
52,Other Current Liabilities,- -,- -,- -,2748000,2932000,4242000,2315000,3888000,2586000,3018000,5457000,4597000,5197000,6586000,5988000,4171000,7410000,7228000,13226000
53,Total Current Liabilities,- -,- -,- -,7515000,8539000,12606000,10947000,12211000,16202000,22723000,18773000,17191000,18319000,19291000,18396000,16424000,27335000,27204000,30372000
54,Long-Term Debt,1058000,4796000,- -,10492000,10603000,4473000,3647000,3156000,4225000,6704000,4109000,3151000,3222000,4021000,6819000,4013000,9283000,10063000,35000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1777000,3048000,1258000,1316000,1231000,1022000,944000,940000,791000,715000,640000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,109000,5086000,433000,433000,584000,399000,406000,188000,270000,522000,558000,442000,524000,642000,3546000,3700000
58,Total Non-Current Liabilities,1058000,4796000,- -,10601000,15689000,4906000,4080000,3740000,6401000,10158000,5555000,4737000,4975000,5601000,8205000,5477000,10716000,14324000,4375000
59,Other Liabilities,5263000,12495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3521000,- -
61,Total Liabilities,4205000,7699000,- -,18116000,24228000,17512000,15027000,15951000,22603000,32881000,24328000,21928000,23294000,24892000,26601000,21901000,38051000,41528000,34747000
62,Preferred Stock,1007000,1786000,- -,5707000,5959000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,-4201000,-3553000,845000,1356000,-2834000,-517000,-1293000,-11692000,-17891000,-49952000,-70078000,-82366000,-95494000,-101767000,-89305000,-63171000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2053000,-2710000,-3684000,-4938000,-7613000,-10226000,-13158000,-17294000,-18669000,-19937000,-18577000,-19948000,-21298000,-22481000,-22713000,-23836000
66,Other Total Stockholders Equity,2192000,3448000,- -,12876000,15618000,116029000,92277000,98117000,103130000,107220000,106755000,113572000,134400000,134638000,137764000,140216000,142218000,143053000,- -
67,Total Stockholders Equity,2192000,3448000,- -,6622000,9355000,113190000,88695000,87670000,92387000,92769000,77769000,77012000,64511000,45983000,35450000,23424000,17970000,31035000,58074000
68,Total Liabilities And Stockholders Equity,6397000,11147000,- -,24738000,33583000,130702000,103722000,103621000,114990000,125650000,102097000,98940000,87805000,70875000,62051000,45325000,56021000,72563000,92821000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6397000,11147000,- -,24738000,33583000,130702000,103722000,103621000,114990000,125650000,102097000,98940000,87805000,70875000,62051000,45325000,56021000,72563000,92821000
