,https://roic.ai/company/MESO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,502885,2821758,1679317,909807,890708,5500,120921285,38279902,28786000,25980000,23748000,42548000,2412000,17341000,16722000,32156000,7456000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5508000,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11833000,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6824,- -,- -,- -
5,Research and Development Exp.,491774,5358277,4584680,6207372,7145623,7566050,15314548,36936864,43108000,55305000,77593000,50013000,58914000,65927000,59815000,56188000,53012000
6,General and Administrative Exp.,997654,3747567,4108100,2642016,3174079,3566084,11844976,28050526,30734000,26562000,36172000,22500000,23007000,21907000,21625000,25609000,30867000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",997654,3747567,4108100,2642016,3174079,3566084,11844976,28050526,30734000,26562000,36172000,22500000,23007000,21907000,21625000,25609000,30867000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1151000,- -,- -,32651000
10,Operating Expenses,1489428,9105844,8692780,8849388,10319702,11132134,27159524,64987390,73842000,81867000,113765000,72513000,81921000,86683000,81440000,81797000,116530000
11,COGS and Expenses,1489428,9105844,8692780,8849388,10319702,11132134,27159524,64987390,88864000,98356000,137139000,98436000,92454000,92191000,96924000,107028000,116530000
12,Interest Income ,- -,- -,- -,- -,- -,739786,- -,- -,- -,- -,- -,- -,- -,366000,719000,542000,- -
13,Interest Expense (Gain),107117,110092,542,- -,- -,- -,14912,289,- -,4329000,10529000,9311000,- -,1829000,11704000,14716000,15939000
14,Depreciation and Amortization,18980,43584,62520,156759,119829,153285,178884,378585,772000,1120000,1955000,2192000,3057000,2650000,2139000,3667000,4264000
15,EBITDA,-1344272,-8144911,-8665069,-9905620,-12165630,-14627610,92435300,-48343944,-59306000,-75504000,-106884000,-79318000,-87158000,-61498000,-84911000,-68972000,-79427000
16,EBITDA ratio,-2.6731,-2.8865,-5.1599,-10.8876,-13.6584,-2659.5655,0.7644,-1.2629,-2.0602,-2.9062,-4.5008,-1.8642,-36.1352,-3.5464,-5.0778,-2.1449,-10.6528
17,Operating Income,-986543,-6284086,-7013463,-7939581,-9428994,-10386848,93761761,-48722529,-60078000,-72376000,-113391000,-55888000,-90042000,-74850000,-80202000,-74872000,-109074000
18,Operating Income ratio,-1.9618,-2.2270,-4.1764,-8.7267,-10.5860,-1888.5178,0.7754,-1.2728,-2.0871,-2.7858,-4.7748,-1.3135,-37.3308,-4.3164,-4.7962,-2.3284,-14.6290
19,Total Other Income Expenses (Gains),-483826,-2014501,-1714668,-2122798,-2856465,-4394047,-1520257,-289,- -,-8577000,-5977000,-34933000,-173000,8873000,-18552000,-12483000,9444000
20,Income Before Tax,-1470369,-8298587,-8728131,-10062379,-12285459,-14780895,92241504,-48722818,-60078000,-80953000,-119368000,-90821000,-90215000,-65977000,-98754000,-87355000,-99630000
21,Income Before Tax Ratio,-2.9239,-2.9409,-5.1974,-11.0599,-13.7929,-2687.4355,0.7628,-1.2728,-2.0871,-3.1160,-5.0264,-2.1346,-37.4026,-3.8047,-5.9056,-2.7166,-13.3624
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,1634914,22422496,1585000,5000,- -,-86694000,-13400000,-30687000,-8955000,-9415000,-819000
