,https://roic.ai/company/TNDM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,2474698,29006638,49722000,72850000,84248000,107601000,183866000,362305000,498830000,702799000
2,COGS,- -,3822950,22840242,34474000,46270000,60656000,63507000,94044000,168093000,238310000,326584000
3,Gross Profit,- -,-1348252,6166396,15248000,26580000,23592000,44094000,89822000,194212000,260520000,376215000
4,Gross Profit Ratio,- -,-0.5448,0.2126,0.3067,0.3649,0.2800,0.4098,0.4885,0.5360,0.5223,0.5353
5,Research and Development Exp.,8260817,9009030,11079200,15791000,16963000,18809000,20661000,29227000,45199000,63574000,92054000
6,General and Administrative Exp.,- -,- -,- -,75121000,78621000,82834000,86377000,105226000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,75121000,78621000,82834000,86377000,105226000,165735000,204903000,261508000
9,Other Expenses,- -,22690877,44521197,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,31699907,55600397,90912000,95584000,101643000,107038000,134453000,210934000,268477000,353562000
11,COGS and Expenses,24211709,35522857,78440639,125386000,141854000,162299000,170545000,228497000,379027000,506787000,680146000
12,Interest Income ,13656,2425,6636,112000,337000,296000,239000,1462000,3271000,1567000,674000
13,Interest Expense (Gain),542175,2525250,4709779,3901000,3741000,5707000,11341000,7584000,78000,12153000,4313000
14,Depreciation and Amortization,1276532,2032197,3166845,4389000,4829000,5489000,6866000,5821000,6072000,10451000,13845000
15,EBITDA,-22921521,-28457638,-55262225,-71163000,-63838000,-72266000,-54818000,-109155000,-18454000,-13678000,34059000
16,EBITDA ratio,-Infinity,-11.4994,-1.9052,-1.4312,-0.8763,-0.8578,-0.5095,-0.5937,-0.0509,-0.0274,0.0485
17,Operating Income,-24211709,-33048159,-49434001,-75664000,-69004000,-78051000,-62944000,-44631000,-16722000,-7957000,22653000
18,Operating Income ratio,-Infinity,-13.3544,-1.7042,-1.5217,-0.9472,-0.9264,-0.5850,-0.2427,-0.0462,-0.0160,0.0322
19,Total Other Income Expenses (Gains),-1298115,33074,-13704848,-3789000,-3404000,-5411000,-10081000,-77929000,-7882000,-28325000,-6752000
20,Income Before Tax,-25509824,-33015085,-63138849,-79453000,-72408000,-83462000,-73025000,-122560000,-24604000,-36282000,15901000
21,Income Before Tax Ratio,-Infinity,-13.3411,-2.1767,-1.5979,-0.9939,-0.9907,-0.6787,-0.6666,-0.0679,-0.0727,0.0226
22,Income Tax expense (Gain),- -,- -,- -,71000,10000,-15000,8000,51000,149000,-1900000,335000
23,Net Income,-25509824,-33015085,-63138849,-79524000,-72418000,-83447000,-73033000,-122611000,-24753000,-34382000,15566000
24,Net Income ratio,-Infinity,-13.3411,-2.1767,-1.5994,-0.9941,-0.9905,-0.6787,-0.6668,-0.0683,-0.0689,0.0221
25,EPS,-20.34,-59.90,-214.60,-34.20,-25.00,-27.30,-12.87,-2.55,-0.42,-0.56,0.26
26,EPS Diluted,-20.34,-59.90,-214.60,-34.20,-25.00,-27.30,-12.87,-2.55,-0.42,-0.56,0.26
27,Weighted Average Shares Outstanding,1254246,521350,294200,2327200,2892300,3057000,5677000,48129000,58507000,60990000,60990000
28,Weighted Average Shares Outstanding Diluted,1254246,521350,294200,2327200,2892300,3057000,5677000,48129000,58507000,60990000,60990000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438133/000119312514086714/0001193125-14-086714-index.htm,https://www.sec.gov/Archives/edgar/data/1438133/000156459015000886/tndm-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1438133/000156459016013192/0001564590-16-013192-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459017003680/0001564590-17-003680-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459018004141/0001564590-18-004141-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000156459019004469/0001564590-19-004469-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000143813320000014/0001438133-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1438133/000143813321000015/0001438133-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1438133/000143813322000021/0001438133-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,8657017,17162730,124385137,31176000,43088000,44678000,13700000,41826000,51175000,94613000,71181000
32,Short-Term Investments,- -,- -,5095331,36106000,28018000,8860000,479000,87201000,125283000,390323000,552630000
33,Cash and Short-Term Investments,8657017,17162730,129480468,67282000,71106000,53538000,14179000,129027000,176458000,484936000,623811000
34,Net Receivables,224887,2436952,5298502,7652000,14055000,11172000,20793000,35193000,46585000,82195000,110725000
35,Inventory,- -,6260808,10330156,11913000,17543000,21195000,26993000,19896000,49073000,63721000,68551000
36,Other Current Assets,899764,1953698,3880056,3904000,4280000,6187000,2191000,3769000,4025000,6383000,8433000
37,Total Current Assets,9781668,27814188,148989182,90751000,106984000,92092000,64156000,187885000,276141000,637235000,811520000
38,PP&E,4171000,8988591,9886000,12581000,15526000,18409000,19631000,17151000,48484000,69795000,77889000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,3015000,2697000,2441000,2110000,1784000,1457000,1130000,777000,8805000,6636000
