,https://roic.ai/company/GFMH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17300000,19539464,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000,250000,- -,13660,13954,38366
2,COGS,4200000,5772088,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1125,- -,- -,- -,- -,- -,83075,169300,- -,- -,- -,- -
3,Gross Profit,13100000,13767376,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1125,- -,- -,- -,- -,- -,91925,80700,- -,13660,13954,38366
4,Gross Profit Ratio,0.7572,0.7046,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -,- -,- -,- -,- -,0.5253,0.3228,- -,1.0000,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,9400000,17582715,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14434,56889,140131,- -,87303,244934,56145,- -,41665,39745,44625,36139
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66849,5650,- -,- -,28245,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9400000,17582715,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14434,123738,145781,113873,87303,273179,56145,59144,41665,39745,44625,36139
9,Other Expenses,200000,226220,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9600000,17808935,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14434,123738,145781,113873,87303,273179,56145,59144,41665,39745,44625,36139
11,COGS and Expenses,13800000,23581023,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15559,123738,145781,113873,87303,273179,139220,228444,41665,39745,44625,36139
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4632,4632,570,190,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,-200000,-226220,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8050,8602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,300000,-5766959,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7509,-115136,-145781,-113873,-87303,-268383,35780,-4532,313651,-26085,-30671,2227
