,https://roic.ai/company/MODN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,50441000,65171000,84258000,101904000,81756000,93768000,106971000,131169000,154632000,141235000,161056000,193445000
2,COGS,18415000,26920000,40536000,46182000,37744000,41569000,53693000,61096000,65334000,66130000,65496000,86648000
3,Gross Profit,32026000,38251000,43722000,55722000,44012000,52199000,53278000,70073000,89298000,75105000,95560000,106797000
4,Gross Profit Ratio,0.6349,0.5869,0.5189,0.5468,0.5383,0.5567,0.4981,0.5342,0.5775,0.5318,0.5933,0.5521
5,Research and Development Exp.,12702000,13809000,17695000,16772000,18710000,17906000,23706000,31064000,32416000,30009000,34361000,44661000
6,General and Administrative Exp.,6945000,7860000,10584000,16063000,19671000,23132000,30051000,36281000,42178000,27213000,28826000,33311000
7,Selling and Marketing Exp.,11221000,13935000,19640000,21144000,25998000,30300000,32261000,41339000,35482000,32894000,38979000,43239000
8,"Selling, General and Administrative Exp.",18166000,21795000,30224000,37207000,45669000,53432000,62312000,77620000,77660000,60107000,67805000,76550000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,30868000,35604000,47919000,53979000,64379000,71338000,86018000,108684000,110076000,90116000,102166000,121211000
11,COGS and Expenses,49283000,62524000,88455000,100161000,102123000,112907000,139711000,169780000,175410000,156246000,167662000,207859000
12,Interest Income ,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),353000,677000,655000,357000,-12000,-6000,-50000,4159000,8178000,2933000,6322000,14344000
14,Depreciation and Amortization,1315000,1211000,1760000,2207000,3716000,4076000,5929000,8185000,8299000,6790000,5498000,7972000
15,EBITDA,2453000,3542000,-2977000,2077000,-16793000,-15041000,-26897000,-30488000,-11757000,-8540000,-1032000,-6652000
16,EBITDA ratio,0.0486,0.0543,-0.0353,0.0204,-0.2054,-0.1604,-0.2514,-0.2324,-0.0760,-0.0605,-0.0064,-0.0344
17,Operating Income,1158000,2647000,-4197000,528000,-20393000,-19139000,-32740000,-38611000,-20778000,-15011000,-6606000,-14414000
18,Operating Income ratio,0.0230,0.0406,-0.0498,0.0052,-0.2494,-0.2041,-0.3061,-0.2944,-0.1344,-0.1063,-0.0410,-0.0745
19,Total Other Income Expenses (Gains),-373000,-993000,-1195000,-1015000,-104000,28000,-36000,-4221000,-7456000,-3252000,-6246000,-14554000
20,Income Before Tax,785000,1654000,-5392000,-487000,-20497000,-19111000,-32776000,-42832000,-28234000,-18263000,-12852000,-28968000
21,Income Before Tax Ratio,0.0156,0.0254,-0.0640,-0.0048,-0.2507,-0.2038,-0.3064,-0.3265,-0.1826,-0.1293,-0.0798,-0.1497
22,Income Tax expense (Gain),161000,172000,301000,439000,384000,528000,335000,-3285000,-27000,1030000,812000,769000
23,Net Income,624000,1482000,-5693000,-926000,-20881000,-19639000,-33111000,-39547000,-28207000,-19293000,-13664000,-29737000
24,Net Income ratio,0.0124,0.0227,-0.0676,-0.0091,-0.2554,-0.2094,-0.3095,-0.3015,-0.1824,-0.1366,-0.0848,-0.1537
25,EPS,0.04,0.20,-0.38,-0.06,-0.86,-0.76,-1.21,-1.38,-0.93,-0.60,-0.40,-0.84
26,EPS Diluted,0.04,0.20,-0.38,-0.06,-0.86,-0.76,-1.21,-1.38,-0.93,-0.60,-0.40,-0.84
27,Weighted Average Shares Outstanding,15065242,7324000,15065242,15979000,24399000,26015000,27379000,28649000,30370000,32232000,34008000,35461000
28,Weighted Average Shares Outstanding Diluted,15065242,7324000,15065242,15979000,24399000,26015000,27379000,28649000,30370000,32232000,34008000,35461000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1118417/000119312513465490/0001193125-13-465490-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000119312514417399/0001193125-14-417399-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000156459015010979/0001564590-15-010979-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000156459016029481/0001564590-16-029481-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000156459017023880/0001564590-17-023880-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000111841718000009/0001118417-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000111841719000095/0001118417-19-000095-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000111841720000129/0001118417-20-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1118417/000111841721000166/0001118417-21-000166-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,18420000,15768000,103350000,101006000,91019000,66149000,57558000,56704000,60780000,200491000,165467000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,18420000,15768000,103350000,101006000,91019000,66149000,57558000,56704000,60780000,200491000,165467000
34,Net Receivables,- -,13449000,12468000,16140000,15203000,16106000,19925000,24784000,28273000,26953000,35796000,43185000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2101000,3875000,4058000,2665000,3836000,6758000,4746000,4086000,6815000,10111000,13678000
37,Total Current Assets,- -,33970000,32111000,123548000,118874000,110961000,92832000,87088000,89063000,94548000,246398000,222330000
38,PP&E,- -,2385000,4590000,7871000,6889000,7553000,6141000,4611000,2146000,1043000,4366000,22472000
39,Goodwill,- -,319000,1509000,1509000,1509000,1509000,6939000,39283000,39283000,39283000,39283000,65665000
40,Intangible Assets,- -,- -,1248000,918000,587000,317000,5684000,40156000,34597000,29131000,24380000,45394000
41,Intangible Assets,- -,319000,2757000,2427000,2096000,1826000,12623000,79439000,73880000,68414000,63663000,111059000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,280000,1140000,626000,1272000,1630000,1371000,798000,1064000,5588000,5863000,7929000
45,Total Non-Current Assets,- -,2984000,8487000,10924000,10257000,11009000,20135000,84848000,77090000,75045000,73892000,141460000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,36954000,40598000,134472000,129131000,121970000,112967000,171936000,166153000,169593000,320290000,363790000
48,Accounts Payable,- -,239000,196000,468000,1369000,1597000,3334000,3002000,1664000,2302000,3009000,4802000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4753000,1375000,4911000,- -,4529000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,22716000,29362000,19131000,23943000,22039000,28854000,49186000,52176000,44875000,50904000,57431000
52,Other Current Liabilities,- -,9933000,15137000,17107000,11192000,12511000,12056000,19975000,17393000,24260000,23753000,29697000
53,Total Current Liabilities,- -,32888000,44695000,36706000,36504000,36147000,44244000,76916000,72608000,76348000,77666000,96459000
54,Long-Term Debt,- -,5086000,2627000,- -,- -,- -,- -,52452000,52329000,39371000,114438000,141530000
55,Deferred Revenue,- -,5585000,2289000,3507000,2585000,1942000,1924000,227000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,43098000,43250000,641000,1078000,819000,597000,1080000,1182000,1152000,3515000,2283000
58,Total Non-Current Liabilities,- -,53769000,48166000,4148000,3663000,2761000,2521000,53759000,53511000,40523000,117953000,143813000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1057000,904000,318000,- -,- -,- -,- -,- -,- -,3527000,21758000
61,Total Liabilities,- -,86657000,92861000,40854000,40167000,38908000,46765000,130675000,126119000,116871000,195619000,240272000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,3000,4000,4000,4000,4000,5000,5000,5000,5000
64,Retained Earnings,- -,-55496000,-61189000,-62115000,-82996000,-102635000,-135746000,-175293000,-203500000,-212409000,-226073000,-255810000
65,Other Comprehensive Income/Loss,- -,-4545000,-5713000,-5894000,-6811000,-10353000,-1000000,-1000000,-1000000,-1000000,-1000000,-1205000
66,Other Total Stockholders Equity,- -,10337000,14638000,161624000,178767000,196046000,202944000,217550000,244529000,266126000,351739000,380528000
67,Total Stockholders Equity,- -,-49703000,-52263000,93618000,88964000,83062000,66202000,41261000,40034000,52722000,124671000,123518000
68,Total Liabilities And Stockholders Equity,- -,36954000,40598000,134472000,129131000,121970000,112967000,171936000,166153000,169593000,320290000,363790000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,36954000,40598000,134472000,129131000,121970000,112967000,171936000,166153000,169593000,320290000,363790000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1118417/000119312513465490/0001193125-13-465490-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000119312514417399/0001193125-14-417399-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000156459015010979/0001564590-15-010979-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000156459016029481/0001564590-16-029481-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000156459017023880/0001564590-17-023880-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000111841718000009/0001118417-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000111841719000095/0001118417-19-000095-index.html,https://www.sec.gov/Archives/edgar/data/1118417/000111841720000129/0001118417-20-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1118417/000111841721000166/0001118417-21-000166-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,624000,1482000,-5693000,-926000,-20881000,-19639000,-33111000,-39547000,-28207000,-19293000,-13664000,-29737000
74,Depreciation and Amortization,1315000,1211000,1760000,2207000,3716000,4076000,5929000,8185000,8299000,6790000,5498000,7972000
75,Deferred Income Tax,15000,61000,135000,42000,- -,- -,- -,-3952000,-392000,176000,389000,95000
76,Stock Based Compensation,757000,531000,2521000,4856000,9949000,10355000,13068000,10560000,23324000,21340000,22500000,29963000
77,Change in Working Capital,2058000,-2919000,-13666000,99426000,-4472000,-7556000,-26226000,-38416000,6283000,1745000,150532000,-1690000
78,Accounts Receivable,358000,-7647000,936000,-3719000,983000,-925000,-2850000,1420000,-3555000,860000,-8836000,-3542000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1360000,49000,-284000,264000,685000,457000,1494000,-1558000,-1434000,692000,544000,1695000
81,Other Working Capital,4001000,1082000,-12584000,86842000,82370000,74814000,48588000,10172000,16455000,18200000,168732000,6384000
82,Other Non-Cash Items,3000,2749000,20666000,-106019000,5638000,3992000,28016000,51205000,-6784000,-308000,-150849000,12987000
83,Cash Provided by Operating Activities,4772000,3115000,5723000,-414000,-6050000,-8772000,-12324000,-11965000,2523000,10450000,14406000,19590000
84,CAPEX,-1250000,-779000,-2905000,-5133000,-2216000,-4606000,-3174000,-728000,-252000,-280000,-579000,-1055000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-13000000,-48000000,- -,- -,- -,-57849000
86,Purchases of Investments,- -,- -,- -,-7000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-4145000,- -,- -,- -,385000,227000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1250000,-779000,-5905000,-5140000,-2216000,-4606000,-15789000,-48501000,-252000,-280000,-579000,-58904000
90,Debt Repayment,-421000,-3748000,-2829000,-5794000,-318000,- -,- -,- -,-55250000,-10000000,-44750000,- -
91,Common Stock Issued,55000,434000,600000,101924000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,7500000,-220000,-2914000,6232000,3450000,3279000,51866000,52247000,3870000,170643000,4623000
95,Cash Used/Provided by Financing Activities,-366000,4186000,-2449000,93216000,5914000,3450000,3279000,51866000,-3003000,-6130000,125893000,4623000
96,Effect of Forex Changes on Cash,-28000,-46000,-21000,-80000,8000,-59000,-36000,9000,-122000,36000,-9000,-17000
