,https://roic.ai/company/FBHS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,3006800000,3233500000,3328600000,3591100000,4157400000,4013600000,4579400000,4984900000,5283300000,5485100000,5764600000,6090300000,7656100000
2,COGS,2104300000,2182400000,2332100000,2421100000,2718600000,2646700000,2997500000,3180300000,3350800000,3525700000,3712200000,3925900000,4909100000
3,Gross Profit,902500000,1051100000,996500000,1170000000,1438800000,1366900000,1581900000,1804600000,1932500000,1959400000,2052400000,2164400000,2747000000
4,Gross Profit Ratio,0.3002,0.3251,0.2994,0.3258,0.3461,0.3406,0.3454,0.3620,0.3658,0.3572,0.3560,0.3554,0.3588
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,903000000,976900000,1043100000,943300000,1047600000,1129900000,1194800000,1234900000,1288200000,1281300000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,903000000,976900000,1043100000,943300000,1047600000,1129900000,1194800000,1234900000,1288200000,1281300000,1579000000
9,Other Expenses,831300000,855300000,14400000,11100000,13200000,13100000,21600000,28100000,31700000,36100000,41400000,42000000,64100000
10,Operating Expenses,831300000,855300000,917400000,988000000,1056300000,956400000,1069200000,1158000000,1226500000,1271000000,1329600000,1323300000,1643100000
11,COGS and Expenses,2935600000,3037700000,3249500000,3409100000,3774900000,3603100000,4066700000,4338300000,4577300000,4796700000,5041800000,5249200000,6552200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),85200000,116300000,26400000,8700000,7200000,10400000,31900000,49100000,49400000,74500000,94200000,83900000,84400000
14,Depreciation and Amortization,131100000,111600000,111500000,101300000,90400000,98800000,115100000,122700000,130300000,149600000,152700000,163500000,189100000
15,EBITDA,180700000,299200000,93300000,263000000,441300000,385600000,615400000,754700000,811800000,760700000,822800000,969300000,1278600000
16,EBITDA ratio,0.0601,0.0925,0.0280,0.0732,0.1061,0.0961,0.1344,0.1514,0.1537,0.1387,0.1427,0.1592,0.1670
17,Operating Income,49400000,187800000,-15600000,161700000,357100000,403500000,496100000,632700000,692100000,595200000,698500000,801400000,1090400000
18,Operating Income ratio,0.0164,0.0581,-0.0047,0.0450,0.0859,0.1005,0.1083,0.1269,0.1310,0.1085,0.1212,0.1316,0.1424
19,Total Other Income Expenses (Gains),-84200000,-115300000,-28000000,-7700000,-12200000,-11600000,-36200000,-50600000,-57300000,-58200000,-123200000,-70600000,-85300000
20,Income Before Tax,-34800000,72500000,-43600000,154000000,344900000,391900000,459900000,582100000,634800000,537000000,575300000,730800000,1005100000
21,Income Before Tax Ratio,-0.0116,0.0224,-0.0131,0.0429,0.0830,0.0976,0.1004,0.1168,0.1202,0.0979,0.0998,0.1200,0.1313
22,Income Tax expense (Gain),6300000,14100000,-9000000,34300000,114000000,118300000,153400000,169700000,159500000,147000000,144000000,168800000,232700000
23,Net Income,-41900000,57200000,-35600000,118700000,229700000,158100000,315000000,413200000,472600000,389600000,431900000,553100000,772400000
24,Net Income ratio,-0.0139,0.0177,-0.0107,0.0331,0.0553,0.0394,0.0688,0.0829,0.0895,0.0710,0.0749,0.0908,0.1009
25,EPS,-0.27,0.37,-0.23,0.72,1.38,1.00,1.97,2.69,3.11,2.77,3.09,3.99,5.57
26,EPS Diluted,-0.27,0.37,-0.23,0.71,1.34,1.00,1.88,2.61,3.05,2.66,3.06,3.94,5.57
27,Weighted Average Shares Outstanding,155100000,155100000,155200000,163855647,166667936,158140128,159906032,153412050,151906797,140498981,139555487,138660154,138660154
28,Weighted Average Shares Outstanding Diluted,155100000,155100000,155200000,166100000,171300000,166300000,163000000,157800000,155800000,146400000,141300000,140200000,138660154
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1519751/000119312512072886/0001193125-12-072886-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312513079983/0001193125-13-079983-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312514069698/d643089d10k.htm,https://www.sec.gov/Archives/edgar/data/1519751/000119312515062500/d852986d10k.htm,https://www.sec.gov/Archives/edgar/data/1519751/000119312516478315/0001193125-16-478315-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312517062357/0001193125-17-062357-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312518063999/0001193125-18-063999-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000119312519049951/0001193125-19-049951-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000156459020006812/0001564590-20-006812-index.html,https://www.sec.gov/Archives/edgar/data/1519751/000156459021008129/0001564590-21-008129-index.htm,https://www.sec.gov/Archives/edgar/data/1519751/000095017022002294/0000950170-22-002294-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,57800000,60700000,120800000,336000000,241400000,191900000,238500000,251500000,323000000,262900000,387900000,419100000,471500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,57800000,60700000,120800000,336000000,241400000,191900000,238500000,251500000,323000000,262900000,387900000,419100000,471500000
