,https://roic.ai/company/GAN,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,7528000,6011000,7803000,9120000,14023000,29971000,35159000,125434000
2,COGS,- -,- -,- -,- -,11894000,11982000,10471000,41373000
3,Gross Profit,- -,- -,- -,- -,2129000,17989000,24688000,84061000
4,Gross Profit Ratio,- -,- -,- -,- -,0.1518,0.6002,0.7022,0.6702
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,11032000,21660000
6,General and Administrative Exp.,10197000,11634000,13023000,13522000,10230000,15091000,35857000,48813000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,5046000,22186000
8,"Selling, General and Administrative Exp.",10197000,11634000,13023000,13522000,10230000,15091000,40903000,70999000
9,Other Expenses,- -,- -,- -,-303000,- -,- -,-7775000,16919000
10,Operating Expenses,10197000,11634000,13023000,13219000,10230000,15091000,44160000,109578000
11,COGS and Expenses,10197000,11634000,13023000,13219000,22124000,27073000,54631000,150951000
12,Interest Income ,- -,- -,- -,- -,8000,15000,3000,- -
13,Interest Expense (Gain),67000,19000,21000,-117000,448000,127000,395000,- -
14,Depreciation and Amortization,1137000,2239000,3578000,4230000,6188000,4743000,3217000,16919000
15,EBITDA,-1398000,-3346000,-1600000,-103000,-2000000,7232000,-16252000,-8190000
16,EBITDA ratio,-0.1857,-0.5566,-0.2050,-0.0113,-0.1426,0.2413,-0.4622,-0.0653
17,Operating Income,-2669000,-5623000,-5220000,-4099000,-8196000,2474000,-19472000,-25517000
18,Operating Income ratio,-0.3545,-0.9355,-0.6690,-0.4495,-0.5845,0.0825,-0.5538,-0.2034
19,Total Other Income Expenses (Gains),67000,19000,21000,-117000,-440000,-112000,-392000,408000
20,Income Before Tax,-2602000,-5604000,-5199000,-4216000,-8636000,2362000,-19864000,-25109000
21,Income Before Tax Ratio,-0.3456,-0.9323,-0.6663,-0.4623,-0.6158,0.0788,-0.5650,-0.2002
22,Income Tax expense (Gain),- -,-582000,-1440000,-738000,-934000,574000,353000,-208000
23,Net Income,-2602000,-5022000,-3759000,-3478000,-7702000,1788000,-20217000,-24901000
24,Net Income ratio,-0.3456,-0.8355,-0.4817,-0.3814,-0.5492,0.0597,-0.5750,-0.1985
25,EPS,-0.05,-0.09,-0.06,-0.05,-0.39,0.07,-0.75,- -
26,EPS Diluted,-0.05,-0.09,-0.06,-0.05,-0.39,0.06,-0.75,- -
27,Weighted Average Shares Outstanding,55864120,55886110,64647750,70051920,19646503,21367948,27006058,- -
28,Weighted Average Shares Outstanding Diluted,55864120,55886110,64647750,70051920,19646503,23420361,27006058,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1799332/000149315221007491/0001493152-21-007491-index.htm,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,2746000,6967000,10098000,152654000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,2746000,6967000,10098000,152654000,- -
34,Net Receivables,- -,- -,- -,2860000,5695000,7130000,8056000,- -
35,Inventory,- -,- -,- -,- -,676000,883000,- -,- -
36,Other Current Assets,- -,- -,- -,1001000,443000,1141000,2786000,- -
37,Total Current Assets,- -,- -,- -,6607000,13781000,19252000,163496000,- -
38,PP&E,- -,- -,- -,374000,1855000,1524000,1897000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,5871000,6755000,5164000,7116000,- -
41,Intangible Assets,- -,- -,- -,5871000,6755000,5164000,7116000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,222000,172000,737000,- -
45,Total Non-Current Assets,- -,- -,- -,6245000,8832000,6860000,9750000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,12852000,22613000,26112000,173246000,- -
48,Accounts Payable,- -,- -,- -,1881000,2039000,1734000,4707000,- -
49,Short-Term Debt,- -,- -,- -,- -,679000,692000,262000,- -
50,Tax Payable,- -,- -,- -,- -,216000,591000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1516000,3023000,1083000,- -
52,Other Current Liabilities,- -,- -,- -,1180000,5434000,5026000,11260000,- -
53,Total Current Liabilities,- -,- -,- -,3061000,9668000,10475000,17312000,- -
54,Long-Term Debt,- -,- -,- -,2212000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,980000,535000,370000,- -
58,Total Non-Current Liabilities,- -,- -,- -,2212000,980000,535000,370000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1659000,1227000,575000,- -
61,Total Liabilities,- -,- -,- -,5273000,10648000,11010000,17682000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,701000,1270000,1280000,365000,- -
64,Retained Earnings,- -,- -,- -,-11931000,-25269000,-22849000,-45766000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-2556000,-2272000,-1887000,-2877000,- -
66,Other Total Stockholders Equity,- -,- -,- -,21365000,38236000,38558000,203842000,- -
67,Total Stockholders Equity,- -,- -,- -,7579000,11965000,15102000,155564000,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,12852000,22613000,26112000,173246000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,12852000,22613000,26112000,173246000,- -
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1799332/000149315221007491/0001493152-21-007491-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-2602000,-5022000,-3759000,-3478000,-7702000,1788000,-20217000,- -
74,Depreciation and Amortization,1137000,2239000,3578000,4230000,6188000,4743000,3217000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-934000,574000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,346000,551000,6826000,- -
77,Change in Working Capital,-1401000,- -,3546000,- -,567000,4664000,137407000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
