,https://roic.ai/company/CROX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,24000,1165000,13520000,108581000,354728000,847350000,721589000,645767000,789695000,1000903000,1123301000,1192680000,1198223000,1090630000,1036273000,1023513000,1088205000,1230593000,1385951000,2313416000
2,COGS,16000,891000,7162000,47773000,154158000,349701000,486722000,337720000,364631000,464493000,515324000,569482000,607878000,579825000,536109000,506292000,528051000,613537000,636003000,893196000
3,Gross Profit,8000,274000,6358000,60808000,200570000,497649000,234867000,308047000,425064000,536410000,607977000,623198000,590345000,510805000,500164000,517221000,560154000,617056000,749948000,1420220000
4,Gross Profit Ratio,0.3333,0.2352,0.4703,0.5600,0.5654,0.5873,0.3255,0.4770,0.5383,0.5359,0.5412,0.5225,0.4927,0.4684,0.4827,0.5053,0.5148,0.5014,0.5411,0.6139
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,453000,1471000,7929000,33916000,105224000,259882000,368800000,311592000,342121000,404803000,460393000,549154000,565712000,559095000,503174000,494601000,495028000,488407000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",453000,1471000,7929000,33916000,105224000,259882000,368800000,311592000,342121000,404803000,460393000,549154000,565712000,559095000,503174000,494601000,495028000,488407000,- -,737156000
9,Other Expenses,- -,- -,- -,- -,- -,- -,44883000,6845000,-2072000,-5426000,- -,- -,- -,- -,- -,- -,- -,- -,514753000,- -
10,Operating Expenses,453000,1471000,7929000,33916000,105224000,259882000,413683000,318437000,340049000,399377000,460393000,549154000,565712000,559095000,503174000,494601000,495028000,488407000,514753000,737156000
11,COGS and Expenses,469000,2362000,15091000,81689000,259382000,609583000,900405000,656157000,704680000,863870000,975717000,1118636000,1173590000,1138920000,1039283000,1000893000,1023079000,1101944000,1150756000,1630352000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2432000,1664000,967000,692000,870000,1281000,601000,215000,775000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1495000,657000,853000,837000,1016000,806000,969000,836000,869000,955000,8636000,6742000,21647000
14,Depreciation and Amortization,- -,75000,700000,3334000,8053000,20949000,37450000,36671000,37059000,37263000,36694000,41506000,37413000,35993000,34043000,33130000,29250000,24213000,27619000,31976000
15,EBITDA,-445000,-1125000,-937000,29623000,104679000,261275000,-152060000,-10455000,118508000,174806000,183079000,102481000,29670000,-37782000,27666000,52179000,95362000,152171000,241340000,717472000
16,EBITDA ratio,-18.5417,-0.9657,-0.0693,0.2728,0.2951,0.3083,-0.2107,-0.0162,0.1501,0.1746,0.1630,0.0859,0.0248,-0.0346,0.0267,0.0510,0.0876,0.1237,0.1741,0.3101
17,Operating Income,-445000,-1197000,-1571000,26892000,95346000,237767000,-188282000,-51184000,81035000,136505000,146174000,63095000,-4726000,-72324000,-6154000,17336000,62944000,128649000,214124000,683064000
18,Operating Income ratio,-18.5417,-1.0275,-0.1162,0.2477,0.2688,0.2806,-0.2609,-0.0793,0.1026,0.1364,0.1301,0.0529,-0.0039,-0.0663,-0.0059,0.0169,0.0578,0.1045,0.1545,0.2953
19,Total Other Income Expenses (Gains),- -,-3000,-66000,-603000,1280000,2559000,-1228000,2563000,-243000,185000,-626000,-3136000,-3823000,-2420000,-1059000,844000,2213000,-9327000,-7145000,-19215000
20,Income Before Tax,-445000,-1200000,-1637000,26289000,96626000,240326000,-189510000,-48621000,80792000,136690000,145548000,59959000,-8549000,-74744000,-7213000,18180000,65157000,119322000,206979000,663849000
21,Income Before Tax Ratio,-18.5417,-1.0300,-0.1211,0.2421,0.2724,0.2836,-0.2626,-0.0753,0.1023,0.1366,0.1296,0.0503,-0.0071,-0.0685,-0.0070,0.0178,0.0599,0.0970,0.1493,0.2870
22,Income Tax expense (Gain),- -,- -,-143000,9317000,32209000,72098000,-4434000,-6543000,13066000,23902000,14205000,49539000,-3623000,8452000,9281000,7942000,14720000,-175000,-105882000,-61845000
23,Net Income,-445000,-1200000,-1494000,16972000,64417000,168228000,-185076000,-42078000,67726000,112788000,131343000,10420000,-4926000,-83196000,-16494000,10238000,50437000,119497000,312861000,725694000
24,Net Income ratio,-18.5417,-1.0300,-0.1105,0.1563,0.1816,0.1985,-0.2565,-0.0652,0.0858,0.1127,0.1169,0.0087,-0.0041,-0.0763,-0.0159,0.0100,0.0463,0.0971,0.2257,0.3137
25,EPS,-0.03,-0.01,-0.04,0.26,0.86,2.08,-2.24,-0.49,0.78,1.27,1.46,0.12,-0.22,-1.30,-0.43,-0.07,-1.01,1.70,4.64,11.62
26,EPS Diluted,-0.03,-0.01,-0.04,0.26,0.81,2.00,-2.24,-0.49,0.76,1.24,1.44,0.12,-0.22,-1.30,-0.43,-0.07,-1.01,1.66,4.56,11.39
27,Weighted Average Shares Outstanding,16577420,83421540,49283906,50987154,74458400,80759077,82767540,85112461,85482055,88809449,89960959,86833333,86190909,75390000,73809302,72255000,68421000,70357000,67386000,62464000
28,Weighted Average Shares Outstanding Diluted,16577420,83421540,49283906,67140000,80170512,84194883,82767540,85112461,87595618,90958065,91210417,86833333,86190909,75390000,73809302,72255000,68421000,71771000,68544000,63718000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334036/000110465907025001/0001104659-07-025001-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746908002093/0001047469-08-002093-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746909002818/0001047469-09-002818-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746910001357/0001047469-10-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746911001395/0001047469-11-001395-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000119312512075455/0001193125-12-075455-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000119312513072829/0001193125-13-072829-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746914001323/0001047469-14-001323-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746915001519/0001047469-15-001519-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746916010591/0001047469-16-010591-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000162828017002068/0001628280-17-002068-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000162828018002437/0001628280-18-002437-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403619000012/0001334036-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403620000010/0001334036-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403621000035/0001334036-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403622000011/0001334036-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,326000,1054000,4787000,42656000,36335000,51665000,77343000,145583000,257587000,294348000,317144000,267512000,143341000,147565000,172128000,123367000,108253000,135802000,213197000
32,Short-Term Investments,- -,- -,- -,- -,22325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,326000,1054000,4787000,64981000,36335000,51665000,77343000,145583000,257587000,294348000,317144000,267512000,143341000,147565000,172128000,123367000,108253000,135802000,213197000
34,Net Receivables,- -,178000,3252000,18030000,65588000,152919000,59722000,75209000,84959000,110883000,122712000,126977000,122538000,108082000,95934000,97834000,108371000,118251000,162520000,217182000
35,Inventory,- -,448000,2414000,28494000,86210000,248391000,143205000,93329000,121155000,129627000,164804000,162341000,171012000,168192000,147029000,130347000,124491000,172028000,175121000,213520000
36,Other Current Assets,- -,9000,350000,5042000,20912000,30305000,24779000,21373000,29317000,27246000,31251000,33615000,34346000,26334000,34947000,24740000,24069000,26850000,19398000,22670000
37,Total Current Assets,- -,961000,7070000,56353000,237691000,467950000,279371000,267254000,381014000,525343000,613115000,640077000,595408000,445949000,425475000,425049000,380298000,425382000,492841000,666569000
38,PP&E,- -,318000,3726000,14765000,34849000,88184000,95892000,71084000,70014000,67684000,82241000,86971000,68288000,49490000,44090000,35032000,22211000,229633000,224888000,269166000
39,Goodwill,- -,- -,- -,- -,11552000,23759000,- -,- -,- -,- -,2729000,2508000,2044000,1973000,1480000,1688000,1614000,1578000,1719000,1600000
40,Intangible Assets,- -,10000,5428000,5647000,12210000,31634000,40892000,35984000,45461000,48641000,57202000,72314000,97337000,82297000,72700000,56427000,45690000,47095000,37636000,28802000
41,Intangible Assets,- -,10000,5428000,5647000,23762000,55393000,40892000,35984000,45461000,48641000,59931000,74822000,99381000,84270000,74180000,58115000,47304000,48673000,39355000,30402000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,1084000,1280000,8051000,21231000,18479000,34711000,30375000,34112000,19628000,17886000,6608000,6825000,10174000,8663000,24747000,350784000,567201000
44,Other Non-Current Assets,- -,15000,- -,183000,1875000,7847000,18613000,16937000,18281000,23410000,40239000,53661000,25968000,21703000,15820000,15325000,10425000,10367000,10855000,11730000
45,Total Non-Current Assets,- -,343000,9154000,21679000,61766000,159475000,176628000,142484000,168467000,170110000,216523000,235082000,211523000,162071000,140915000,118646000,88603000,313420000,625882000,878499000
46,Other Assets,454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,454000,1304000,16224000,78032000,299457000,627425000,455999000,409738000,549481000,695453000,829638000,875159000,806931000,608020000,566390000,543695000,468901000,738802000,1118723000,1545068000
48,Accounts Payable,- -,431000,3048000,20829000,43794000,82979000,35137000,23434000,35669000,66517000,63976000,57450000,42923000,63336000,61927000,66381000,77231000,95754000,112778000,162145000
49,Short-Term Debt,- -,- -,978000,8503000,541000,7107000,22431000,640000,1901000,1118000,9982000,5176000,5288000,4772000,2338000,676000,- -,48585000,47064000,42932000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,6377000,23084000,8273000,20591000,25134000,14975000,13434000,11571000,9024000,10690000,11050000,17518000,29328000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6940000,3075000,3236000,7475000,6193000,3356000,3740000,- -,- -
52,Other Current Liabilities,- -,315000,4829000,16973000,43574000,77362000,75965000,62582000,100192000,87668000,83980000,117362000,102599000,95753000,77400000,83768000,103904000,109144000,131742000,183166000
53,Total Current Liabilities,- -,746000,8855000,46305000,87909000,167448000,133533000,86656000,137762000,155303000,157938000,186928000,153885000,167097000,149140000,157018000,184491000,257223000,291584000,388243000
54,Long-Term Debt,- -,- -,1409000,3213000,- -,9000,- -,912000,- -,- -,4596000,11670000,6381000,1627000,40000,- -,120000000,205000000,326401000,920627000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1783000,1772000,1688000,1858000,2917000,2192000,847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2200000,7768000,7828000,1602000,13997000,32386000,32358000,34766000,48370000,49704000,51817000,21468000,17667000,17926000,18379000,14102000,144674000,210105000,222116000
58,Total Non-Current Liabilities,- -,2200000,10960000,12813000,3290000,15864000,35303000,35462000,35613000,48370000,54300000,63487000,27849000,19294000,17966000,18379000,134102000,349674000,536506000,1142743000
59,Other Liabilities,65000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,116000,- -,- -,- -,- -,1118000,- -,- -,- -,- -,- -,- -,- -,188733000,193465000,192169000
61,Total Liabilities,65000,2946000,19815000,59118000,91199000,183312000,168836000,122118000,173375000,203673000,212238000,250415000,181734000,186391000,167106000,175397000,318593000,606897000,828090000,1530986000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172679000,175657000,178901000,182433000,- -,- -,- -,- -
63,Common Stock,- -,394000,1919000,17000,39000,83000,84000,85000,88000,90000,91000,92000,92000,94000,94000,95000,103000,104000,105000,106000
64,Retained Earnings,- -,-2036000,-3672000,16697000,81081000,249309000,64233000,22155000,89881000,202669000,334012000,344432000,325470000,227463000,195725000,190431000,121215000,240485000,553346000,1279040000
65,Other Comprehensive Income/Loss,- -,-83000,-1838000,-11776000,-4696000,7807000,15831000,24168000,30852000,14821000,19688000,14652000,-18352000,-50913000,-55596000,-43394000,-54652000,-58379000,-56354000,-76838000
66,Other Total Stockholders Equity,389000,83000,- -,13976000,131834000,186914000,207015000,241212000,255285000,274200000,263609000,265568000,145308000,69328000,80160000,38733000,83642000,-50305000,-206464000,-1188226000
67,Total Stockholders Equity,389000,-1642000,-3591000,18914000,208258000,444113000,287163000,287620000,376106000,491780000,617400000,624744000,625197000,421629000,399284000,368298000,150308000,131905000,290633000,14082000
68,Total Liabilities And Stockholders Equity,454000,1304000,16224000,78032000,299457000,627425000,455999000,409738000,549481000,695453000,829638000,875159000,806931000,608020000,566390000,543695000,468901000,738802000,1118723000,1545068000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,454000,1304000,16224000,78032000,299457000,627425000,455999000,409738000,549481000,695453000,829638000,875159000,806931000,608020000,566390000,543695000,468901000,738802000,1118723000,1545068000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334036/000110465907025001/0001104659-07-025001-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746908002093/0001047469-08-002093-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746909002818/0001047469-09-002818-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746910001357/0001047469-10-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746911001395/0001047469-11-001395-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000119312512075455/0001193125-12-075455-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000119312513072829/0001193125-13-072829-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746914001323/0001047469-14-001323-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746915001519/0001047469-15-001519-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000104746916010591/0001047469-16-010591-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000162828017002068/0001628280-17-002068-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000162828018002437/0001628280-18-002437-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403619000012/0001334036-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403620000010/0001334036-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403621000035/0001334036-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1334036/000133403622000011/0001334036-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1200000,-1494000,16972000,64417000,168228000,-185076000,-42078000,67726000,112788000,131343000,10420000,-4926000,-83196000,-16494000,10238000,50437000,119497000,312861000,725694000
74,Depreciation and Amortization,- -,75000,700000,3334000,8053000,20949000,37450000,36671000,37059000,37263000,36694000,41506000,37413000,35993000,34043000,33130000,29250000,24213000,27619000,31976000
