,https://roic.ai/company/HTHT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,235304997,764248607,1260191124,1738493710,2249597000,3224527000,4168629000,4964728000,5774624000,6538631000,8170196000,10063000000,11212000000,10196000000,12787000000
2,COGS,228361572,687364048,1004472153,1180202047,1703337000,2453902000,3181666000,3878027000,4512147000,4932173000,5674151000,6476000000,7190000000,9729000000,11286000000
3,Gross Profit,6943425,76884559,255718971,558291663,546260000,770625000,986963000,1086701000,1262477000,1606458000,2496045000,3587000000,4022000000,467000000,1501000000
4,Gross Profit Ratio,0.0295,0.1006,0.2029,0.3211,0.2428,0.2390,0.2368,0.2189,0.2186,0.2457,0.3055,0.3565,0.3587,0.0458,0.1174
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,126672885,189727636,121486443,231198341,344360000,424414000,480112000,512500000,504888000,560978000,888693000,1090000000,1535000000,1525000000,1547000000
7,Selling and Marketing Exp.,17581275,40810261,57818168,70786401,94754000,102814000,138129000,187435000,179568000,146525000,214959000,348000000,426000000,597000000,641000000
8,"Selling, General and Administrative Exp.",144254160,230537897,179304611,301984742,439114000,527228000,618241000,699935000,684456000,707503000,1103652000,1438000000,1961000000,2122000000,2188000000
9,Other Expenses,- -,- -,- -,- -,- -,23664000,-11822000,-2598000,-23133000,28056000,-45120000,-195000000,-47000000,-406000000,-851000000
10,Operating Expenses,144254160,230537897,179304611,301984742,439114000,550892000,606419000,697337000,661323000,735559000,1058532000,1243000000,1914000000,1716000000,1337000000
11,COGS and Expenses,372615732,917901945,1183776764,1482186789,2142451000,3004794000,3788085000,4575364000,5173470000,5667732000,6732683000,7719000000,9104000000,11445000000,12623000000
12,Interest Income ,1219045,3786416,1870177,15944832,18111000,14554000,6856000,23162000,26712000,67366000,112645000,148000000,160000000,119000000,89000000
13,Interest Expense (Gain),- -,1248509,8787096,2682367,882000,822000,813000,1533000,3854000,11056000,87320000,244000000,315000000,533000000,405000000
14,Depreciation and Amortization,32901981,90835965,145571393,171538603,236857000,347575000,463146000,570722000,661404000,694894000,789252000,891000000,991000000,1362000000,1563000000
15,EBITDA,-95983260,-67957771,214892694,447233987,377387000,577453000,848637000,992708000,1298387000,1797685000,2473732000,2420000000,3715000000,-512000000,1515000000
16,EBITDA ratio,-0.4079,-0.0889,0.1705,0.2573,0.1678,0.1791,0.2036,0.2000,0.2248,0.2749,0.3028,0.2405,0.3313,-0.0502,0.1185
17,Operating Income,-137310735,-153653338,76414360,256306921,107146000,219733000,380544000,389364000,601154000,870899000,1437513000,2344000000,2108000000,-1686000000,164000000
18,Operating Income ratio,-0.5835,-0.2011,0.0606,0.1474,0.0476,0.0681,0.0913,0.0784,0.1041,0.1332,0.1759,0.2329,0.1880,-0.1654,0.0128
19,Total Other Income Expenses (Gains),6309185,-2809783,-6976596,22749050,35808000,13940000,7971000,26132000,34755000,206546000,170875000,-951000000,457000000,-593000000,-572000000
20,Income Before Tax,-131001550,-156463121,69437764,279055971,142954000,233673000,388515000,415496000,635909000,1077445000,1608388000,1393000000,2565000000,-2279000000,-408000000
21,Income Before Tax Ratio,-0.5567,-0.2047,0.0551,0.1605,0.0635,0.0725,0.0932,0.0837,0.1101,0.1648,0.1969,0.1384,0.2288,-0.2235,-0.0319
22,Income Tax expense (Gain),-17262118,-23879778,17989675,57261540,24816000,54169000,104820000,113105000,196529000,287120000,359958000,569000000,640000000,-215000000,12000000
23,Net Income,-111623123,-136162467,42544530,215751477,114832000,174887000,279858000,307348000,436600000,804615000,1237202000,716000000,1769000000,-2192000000,-465000000
24,Net Income ratio,-0.4744,-0.1782,0.0338,0.1241,0.0510,0.0542,0.0671,0.0619,0.0756,0.1231,0.1514,0.0712,0.1578,-0.2150,-0.0364
25,EPS,-2.85,-2.52,0.24,1.05,0.47,0.72,1.14,1.23,1.74,2.92,4.43,2.54,6.22,-7.49,-1.59
26,EPS Diluted,-2.85,-2.52,0.23,0.92,0.47,0.71,1.12,1.21,1.70,2.84,4.24,2.49,5.94,-7.49,-1.59
27,Weighted Average Shares Outstanding,45248223,54071135,57562440,198517000,241928000,243284000,245187000,248958000,250533000,275139000,279272000,281717485,284305138,292739841,292739841
28,Weighted Average Shares Outstanding Diluted,45248223,54071135,183631885,234481000,246181000,246981000,249486000,253004000,256104000,282889000,293074000,303605809,304309890,292739841,292739841
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1483994/000095012311033536/h04948e20vf.htm,https://www.sec.gov/Archives/edgar/data/1483994/000119312512159820/d302583d20f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000119312513165966/d478662d20f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465914028211/a14-3643_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465915028146/a15-6058_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000114420416095192/v435206_20f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465917025029/a16-21281_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465918025415/a17-28543_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465919022536/a18-40915_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000119312520113650/d828014d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,173635533,183245953,270587296,1060066663,781601000,449844000,397435000,808865000,1237838000,3235007000,3474719000,4262000000,3234000000,7026000000,5116000000
32,Short-Term Investments,- -,- -,- -,100000000,- -,8074000,- -,26615000,533215000,- -,129911000,89000000,2908000000,3903000000,2589000000
33,Cash and Short-Term Investments,173635533,183245953,270587296,1160066663,781601000,457918000,397435000,835480000,1771053000,3235007000,3604630000,4351000000,6142000000,10929000000,7705000000
34,Net Receivables,12185589,17945533,19790096,24802721,37416000,50633000,75304000,105536000,110113000,262512000,662027000,465000000,593000000,886000000,888000000
35,Inventory,9525296,22650516,8883092,18290222,31232000,37971000,34013000,29882000,24529000,21606000,24006000,41000000,57000000,89000000,88000000
36,Other Current Assets,86545529,106082425,117365222,211658489,323568000,450384000,535636000,625766000,1056283000,655556000,1470461000,2117000000,11464000000,978000000,872000000
37,Total Current Assets,281891947,329924427,416625706,1414818095,1173817000,996906000,1042388000,1596664000,2961978000,4174681000,5761124000,6974000000,18256000000,12882000000,9553000000
38,PP&E,465186042,957406825,1028266722,1422432435,2095794000,2951509000,3634039000,3907343000,3805886000,3855989000,4662986000,5238000000,26729000000,37703000000,39233000000
39,Goodwill,15691670,19550138,18452163,41372983,42536000,64180000,64842000,64654000,108344000,171504000,2264758000,2630000000,2657000000,4988000000,5132000000
40,Intangible Assets,21451215,21968917,20394760,57348030,69779000,100980000,101845000,104537000,144812000,342694000,1643972000,1834000000,1877000000,6158000000,5591000000
41,Intangible Assets,37142885,41519055,38846923,98721013,112315000,165160000,166687000,169191000,253156000,514198000,3908730000,4464000000,4534000000,11146000000,10723000000
42,Investments,- -,- -,- -,- -,- -,28129000,90517000,229005000,356578000,1064321000,2361969000,6152000000,1929000000,1923000000,1965000000
43,Tax Assets,16629545,50614278,36221906,28154661,40968000,54947000,67408000,83470000,120477000,176414000,325643000,505000000,548000000,623000000,862000000
44,Other Non-Current Assets,35195077,53475709,61170258,79953202,102056000,133536000,184013000,197233000,195446000,207761000,406990000,660000000,987000000,878000000,933000000
45,Total Non-Current Assets,554153549,1103015867,1164505809,1629261311,2351133000,3333281000,4142664000,4586242000,4731543000,5818683000,11666318000,17019000000,34727000000,52273000000,53716000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,836045496,1432940294,1581131515,3044079406,3524950000,4330187000,5185052000,6182906000,7693521000,9993364000,17427442000,23993000000,52983000000,65155000000,63269000000
48,Accounts Payable,83778041,182802970,141570710,283202773,417605000,624824000,677305000,640691000,585347000,584731000,766565000,890000000,1176000000,1241000000,968000000
49,Short-Term Debt,37800000,82000000,57000000,- -,- -,- -,- -,- -,324680000,298291000,130815000,948000000,11581000000,4579000000,9901000000
50,Tax Payable,3008467,5128662,3869445,15,42597000,64320000,74610000,118517000,171968000,183289000,218238000,265000000,321000000,463000000,418000000
51,Deferred Revenue,3710888,16007757,43203003,68599015,138148000,200515000,297284000,514268000,705607000,749793000,832021000,1005000000,1179000000,1272000000,1366000000
52,Other Current Liabilities,109132085,187533485,123777106,222540548,237590000,329303000,428220000,565802000,1175304000,1333266000,1947100000,3126000000,3351000000,3437000000,3044000000
53,Total Current Liabilities,234421014,468344212,365550819,574342336,793343000,1154642000,1402809000,1720761000,2790938000,2966081000,3676501000,5969000000,17287000000,10529000000,15279000000
54,Long-Term Debt,- -,27500000,80000000,- -,- -,- -,- -,- -,- -,- -,4921774000,8812000000,26580000000,40401000000,34261000000
55,Deferred Revenue,49487236,154348573,206333261,285871742,401472000,99800000,118818000,155395000,396285000,416515000,171735000,458000000,559000000,662000000,785000000
56,Deferred Tax Liabilities,5534566,6938951,6538231,11936950,12677000,22335000,26071000,37778000,59828000,96329000,422090000,475000000,491000000,1181000000,853000000
57,Other Non-Current Liabilities,441448401,805049837,20452463,46619134,61574000,562845000,809563000,1050259000,1005722000,1098282000,1761062000,1960000000,566000000,950000000,1047000000
58,Total Non-Current Liabilities,496470203,993837361,313323955,344427826,475723000,684980000,954452000,1243432000,1461835000,1611126000,7276661000,11705000000,28196000000,43194000000,36946000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21578000000,33157000000,34365000000
61,Total Liabilities,730891217,1462181573,678874774,918770162,1269066000,1839622000,2357261000,2964193000,4252773000,4577207000,10953162000,17674000000,45483000000,53723000000,52225000000
62,Preferred Stock,34136,34136,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,41792,41792,124918,177687,179000,180000,182000,184000,186000,204000,212000,- -,- -,- -,- -
64,Retained Earnings,-151838975,-288001442,-245456912,-29705435,85127000,260014000,539872000,847220000,1007559000,1812174000,2753715000,2610000000,3701000000,1502000000,1037000000
65,Other Comprehensive Income/Loss,-5667361,-12493880,-12529459,-22702974,-39166000,-38408000,-39384000,-12008000,59596000,-4503000,167965000,-42000000,-49000000,127000000,41000000
66,Other Total Stockholders Equity,260251508,265066530,1148753292,2168364165,2199954000,2243403000,2315083000,2381568000,2362768000,3591725000,3516804000,- -,- -,- -,- -
67,Total Stockholders Equity,102821100,-35352864,890891839,2116133443,2246094000,2465189000,2815753000,3216964000,3430109000,5399600000,6438696000,6174000000,7379000000,11330000000,10935000000
68,Total Liabilities And Stockholders Equity,833712317,1426828709,1569766613,3034903605,3515160000,4304811000,5173014000,6181157000,7682882000,9976807000,17391858000,23848000000,52862000000,65053000000,63160000000
69,Minority Interest,2333179,6111585,11364902,9175801,9790000,25376000,12038000,1749000,10639000,16557000,35584000,145000000,121000000,102000000,109000000
70,Total Liabilities & Equity,836045496,1432940294,1581131515,3044079406,3524950000,4330187000,5185052000,6182906000,7693521000,9993364000,17427442000,23993000000,52983000000,65155000000,63269000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1483994/000095012311033536/h04948e20vf.htm,https://www.sec.gov/Archives/edgar/data/1483994/000119312512159820/d302583d20f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000119312513165966/d478662d20f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465914028211/a14-3643_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465915028146/a15-6058_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000114420416095192/v435206_20f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465917025029/a16-21281_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465918025415/a17-28543_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000110465919022536/a18-40915_120f.htm,https://www.sec.gov/Archives/edgar/data/1483994/000119312520113650/d828014d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-111623123,-136162467,42544530,215751477,114832000,174887000,279858000,307348000,436600000,804615000,1237202000,716000000,1769000000,-2192000000,-465000000
74,Depreciation and Amortization,32901981,90835965,145571393,171538603,236857000,347575000,463146000,570722000,661404000,694894000,789252000,891000000,991000000,1362000000,1563000000
75,Deferred Income Tax,-19746205,-34126710,7957146,9227695,-35714000,-18226000,-22619000,-42391000,-50149000,33446000,-76237000,-91000000,-38000000,-553000000,- -
76,Stock Based Compensation,14785372,4815022,7955166,13113341,15483000,20837000,30468000,31937000,52535000,55436000,66367000,83000000,110000000,122000000,109000000
77,Change in Working Capital,-8695012,-26689097,43640182,-17411974,37996000,39887000,140613000,392411000,436825000,341485000,188543000,60000000,-1554000000,-1319000000,-92000000
78,Accounts Receivable,1191869,-8891721,-2848180,-6480529,-16401000,-12336000,-28270000,-18773000,-5749000,-46211000,4207000,-36000000,-34000000,35000000,- -
79,Inventory,-7612112,-12823253,13767424,-9407130,-12792000,-6714000,4043000,4130000,5952000,3923000,2766000,-14000000,-17000000,- -,- -
80,Accounts Payable,-5303367,-8938700,4254720,3477749,3435000,3390000,3605000,18016000,14194000,59129000,8141000,11000000,-1000000,31000000,- -
81,Other Working Capital,-14316085,6677109,-339927,-8108873,87592000,90468000,115787000,253562000,216805000,19529000,4016000,114000000,279000000,-52000000,-92000000
82,Other Non-Cash Items,24123283,87589763,48671596,76907041,89286000,150760000,178703000,193988000,212458000,117780000,247469000,1390000000,2015000000,3189000000,227000000
83,Cash Provided by Operating Activities,-68253704,-13737524,296340013,469126183,458740000,715720000,1070169000,1454015000,1749673000,2047656000,2452596000,3049000000,3293000000,609000000,1342000000
84,CAPEX,-259833910,-470349508,-264780840,-404881504,-783430000,-1001582000,-1076937000,-941345000,-649040000,-516693000,-827377000,-1195000000,-1535000000,-1776000000,-1675000000
85,Acquisitions Net,-2024152,-1619753,- -,-9653000,-57822000,-30055000,-34070000,2434000,-14153000,110833000,-3731904000,-488000000,-242000000,-5056000000,-742000000
86,Purchases of Investments,- -,- -,- -,-430000000,-30000000,-36203000,-54744000,-266274000,-593518000,-293125000,-1423310000,-4959000000,-328000000,-1702000000,-521000000
87,Sales/Maturities of Investments,- -,- -,- -,330000000,130000000,- -,- -,143765000,59997000,541285000,128174000,177000000,2002000000,396000000,1494000000
88,Other Investing Activites,-24288121,19531719,7748926,-8404735,-7999000,-3822000,9213000,-12189000,-362461000,327905000,-869691000,40000000,-190000000,6000000,-1633000000
89,Cash Used for Investing Activites,-284014183,-451589465,-256026614,-515309504,-734577000,-1068130000,-1152248000,-1063186000,-1550357000,183762000,-6716254000,-6345000000,-285000000,-8101000000,-1402000000
90,Debt Repayment,-157920000,-220500000,-264500000,-207000000,- -,-1000000,-105796000,-300000000,-283516000,-332555000,-1945594000,-927000000,-8662000000,-11221000000,-4171000000
91,Common Stock Issued,76185973,- -,54945161,959103724,- -,- -,- -,- -,- -,- -,- -,- -,- -,6018000000,1000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-107331000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-1008333,-2200000,-2298686,-3151000,- -,- -,- -,- -,-276261000,-306343000,- -,-658000000,-678000000,- -
94,Other Financing Activites,581040518,703987061,258818362,96031165,16985000,20895000,136442000,321683000,623128000,361267000,6788040000,5175000000,15365000000,6764000000,2369000000
95,Cash Used/Provided by Financing Activities,499306491,482478728,47063523,845836203,13834000,19895000,30646000,21683000,232281000,-247549000,4536103000,4248000000,6045000000,883000000,-1801000000
96,Effect of Forex Changes on Cash,-6675561,-7541319,-35579,-10173515,-16463000,758000,-976000,-1082000,-2624000,13300000,-32733000,-24000000,62000000,-300000000,-88000000
97,Net Change In Cash,140363043,9610420,87341343,789479367,-278466000,-331757000,-52409000,411430000,428973000,1997169000,239712000,928000000,9115000000,-6909000000,-1949000000
98,Cash at the End of Period,173635533,183245953,270587296,1060066663,781601000,449844000,397435000,808865000,1237838000,3235007000,3474719000,4884000000,13999000000,7090000000,5141000000
99,Cash at the Beginning of Period,33272490,173635533,183245953,270587296,1060067000,781601000,449844000,397435000,808865000,1237838000,3235007000,3956000000,4884000000,13999000000,7090000000
100,Free Cash Flow,-328087614,-484087032,31559173,64244679,-324690000,-285862000,-6768000,512670000,1100633000,1530963000,1625219000,1854000000,1758000000,-1167000000,-333000000
