,https://roic.ai/company/AMBA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,71525000,94739000,97257000,121066000,157608000,218278000,316373000,310297000,295402000,227768000,228732000,222990000,331856000
2,COGS,24045000,34500000,32458000,40405000,57761000,79142000,111029000,105283000,107669000,89624000,96023000,87417000,123724000
3,Gross Profit,47480000,60239000,64799000,80661000,99847000,139136000,205344000,205014000,187733000,138144000,132709000,135573000,208132000
4,Gross Profit Ratio,0.6638,0.6358,0.6663,0.6663,0.6335,0.6374,0.6491,0.6607,0.6355,0.6065,0.5802,0.6080,0.6272
5,Research and Development Exp.,27638000,34449000,37618000,42829000,48777000,57978000,82927000,101205000,115510000,128084000,129724000,140759000,167337000
6,General and Administrative Exp.,6894000,10313000,15926000,17926000,23153000,29297000,37738000,43446000,47792000,50480000,52634000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6894000,10313000,15926000,17926000,23153000,29297000,37738000,43446000,47792000,50480000,52634000,- -,70438000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55980000,- -
10,Operating Expenses,34532000,44762000,53544000,60755000,71930000,87275000,120665000,144651000,163302000,178564000,182358000,196739000,237775000
11,COGS and Expenses,58577000,79262000,86002000,101160000,129691000,166417000,231694000,249934000,270971000,268188000,278381000,284156000,361499000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1298000,1603000,1136000,1007000,1096000,1335000,1606000,1585000,4770000,7221000,11631000,11967000,14007000
15,EBITDA,14132000,17033000,12301000,21049000,28991000,53371000,86815000,62466000,30499000,-27331000,-29997000,-45336000,-14634000
16,EBITDA ratio,0.1976,0.1798,0.1265,0.1739,0.1839,0.2445,0.2744,0.2013,0.1032,-0.1200,-0.1311,-0.2033,-0.0441
17,Operating Income,12948000,15477000,11255000,19906000,27917000,51861000,84679000,60363000,24431000,-40420000,-49649000,-61166000,-29643000
18,Operating Income ratio,0.1810,0.1634,0.1157,0.1644,0.1771,0.2376,0.2677,0.1945,0.0827,-0.1775,-0.2171,-0.2743,-0.0893
19,Total Other Income Expenses (Gains),-114000,-47000,-90000,136000,-22000,175000,530000,518000,1298000,5868000,8021000,3863000,1002000
