,https://roic.ai/company/LEDS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,14749000,11551000,35763000,33902000,29299000,17967000,14481000,14124000,10140000,9214000,7495000,5902000,6068000,4735000
2,COGS,11681000,11019000,19640000,29434000,34901000,32665000,25792000,18214000,15078000,9132000,7930000,5450000,4478000,3702000
3,Gross Profit,3068000,532000,16123000,4468000,-5602000,-14698000,-11311000,-4090000,-4938000,82000,-435000,452000,1590000,1033000
4,Gross Profit Ratio,0.2080,0.0461,0.4508,0.1318,-0.1912,-0.8181,-0.7811,-0.2896,-0.4870,0.0089,-0.0580,0.0766,0.2620,0.2182
5,Research and Development Exp.,1935000,2452000,1726000,4556000,7443000,4592000,4199000,2443000,2026000,851000,957000,1613000,1538000,1623000
6,General and Administrative Exp.,- -,- -,- -,11642000,14300000,11377000,9279000,6986000,4767000,3708000,3184000,2792000,2808000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,11642000,14300000,11377000,9279000,6986000,4767000,3708000,3184000,2792000,2808000,3614000
9,Other Expenses,2320000,2568000,3228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4255000,5020000,4954000,16198000,21743000,15969000,13478000,9429000,6793000,4559000,4141000,4405000,4346000,5237000
11,COGS and Expenses,15936000,16039000,24594000,45632000,56644000,48634000,39270000,27643000,21871000,13691000,12071000,9855000,8824000,8939000
12,Interest Income ,- -,- -,- -,- -,- -,11000,-83000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,94000,52000,34000,27000,190000,358000,371000
14,Depreciation and Amortization,4093000,4552000,4695000,6663000,8677000,8317000,6614000,4969000,5526000,1096000,998000,1093000,843000,897000
15,EBITDA,3279000,859000,15790000,-8716000,-40780000,-35404000,-17861000,-8210000,-15697000,-2961000,-1956000,-2282000,657000,-1583000
16,EBITDA ratio,0.2223,0.0744,0.4415,-0.2571,-1.3919,-1.9705,-1.2334,-0.5813,-1.5480,-0.3214,-0.2610,-0.3866,0.1083,-0.3343
17,Operating Income,-1187000,-4488000,11169000,-11730000,-36352000,-42667000,-24789000,-13298000,-20605000,-4328000,-3674000,-3665000,-2087000,-3918000
