,https://roic.ai/company/TLCC,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,61426000,81672000,86323000,85501000,73291000,73460000,66,72
2,COGS,- -,47654000,70083000,65230000,66488000,60204000,62275000,55,56
3,Gross Profit,- -,13772000,11589000,21093000,19013000,13087000,11185000,11,17
4,Gross Profit Ratio,- -,0.2242,0.1419,0.2443,0.2224,0.1786,0.1523,0.1640,0.2300
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10000,- -,- -,- -,- -,- -,24219000,15,10
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,2,3
8,"Selling, General and Administrative Exp.",10000,- -,- -,- -,- -,- -,24219000,16,13
9,Other Expenses,- -,25924000,25521000,33452000,29032000,27077000,1326000,- -,-0
10,Operating Expenses,10000,25924000,25521000,33452000,29032000,27077000,25545000,16,13
11,COGS and Expenses,10000,73578000,95604000,98682000,106626000,87281000,112227000,72,69
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,6388000,7001000,8848000,8934000,9704000,9876000,8954000,9
14,Depreciation and Amortization,- -,1425000,1480000,3008000,3170000,2575000,1713000,1934000,1
15,EBITDA,-10000,-13256000,-27915000,12131000,-46879000,-8260000,-32813000,10887986,-5
16,EBITDA ratio,-Infinity,-0.2158,-0.3418,0.1405,-0.5483,-0.1127,-0.4467,164101.7295,-0.0689
17,Operating Income,192000,-12152000,-13932000,-12359000,-21125000,-13990000,-38767000,-5408000,-8
18,Operating Income ratio,Infinity,-0.1978,-0.1706,-0.1432,-0.2471,-0.1909,-0.5277,-81508.3875,-0.1067
19,Total Other Income Expenses (Gains),-202000,-8917000,-22464000,12634000,-9309000,-6390000,-5655000,5407986,-7
20,Income Before Tax,-10000,-21069000,-36396000,275000,-30434000,-20380000,-44422000,-14,-15
21,Income Before Tax Ratio,-Infinity,-0.3430,-0.4456,0.0032,-0.3559,-0.2781,-0.6047,-0.2163,-0.2071
22,Income Tax expense (Gain),- -,61000,14000,959000,-29492000,-130000,99000,-0,-0
23,Net Income,-10000,-21130000,-36410000,-684000,-29491000,-20409000,-44501000,-14,-15
24,Net Income ratio,-Infinity,-0.3440,-0.4458,-0.0079,-0.3449,-0.2785,-0.6058,-0.2157,-0.2069
25,EPS,-0.02,-0.10,-0.15,-0.00,-0.12,-0.08,-0.17,-0.06,-0.00
26,EPS Diluted,-0.02,-0.10,-0.15,-0.09,-0.12,-0.09,-0.18,-0.06,-0.00
27,Weighted Average Shares Outstanding,199995000,213366479,241064203,261726723,252943406,254325294,255643828,257345636,257345636
28,Weighted Average Shares Outstanding Diluted,199995000,213366479,241064203,273187511,252943406,266684088,265493489,259079879,259079879
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590695/000114420416094348/0001144204-16-094348-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000143774917005794/0001437749-17-005794-index.html,https://www.sec.gov/Archives/edgar/data/1590695/000143774918006187/0001437749-18-006187-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000143774919008342/0001437749-19-008342-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1590695/000143774921009108/0001437749-21-009108-index.htm,https://www.sec.gov/Archives/edgar/data/1590695/000175392622000353/0001753926-22-000353-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,437000,1240000,5097000,1350000,6227000,270000,424,3631
32,Short-Term Investments,- -,29000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,466000,1240000,5097000,1350000,6227000,270000,424,3631
34,Net Receivables,- -,4604000,7880000,7768000,6528000,8566000,6342000,8425,6881
35,Inventory,- -,18418000,13727000,17601000,17168000,7945000,6569000,6301,5814
36,Other Current Assets,10000,4791000,1657000,2870000,2256000,6560000,3119000,2195,1045
