,https://roic.ai/company/CHRA,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,265068000,421239000,740462000,554868000,232377000,293219000
2,COGS,203228000,338908000,642734000,514492000,209570000,267321000
3,Gross Profit,61840000,82331000,97728000,40376000,22807000,25898000
4,Gross Profit Ratio,0.2333,0.1954,0.1320,0.0728,0.0981,0.0883
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,35170000,48495000,76752000,60870000,34064000,42189000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35170000,48495000,76752000,60870000,34064000,42189000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,35170000,48495000,76752000,60870000,34064000,42189000
11,COGS and Expenses,238398000,387403000,719486000,575362000,243634000,309510000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),6244000,14146000,32226000,- -,13774000,15227000
14,Depreciation and Amortization,15601000,25719000,42308000,23437000,19886000,24612000
15,EBITDA,42776000,58181000,63205000,-14431000,-23117000,24616000
16,EBITDA ratio,0.1614,0.1381,0.0854,-0.0260,-0.0995,0.0840
17,Operating Income,26670000,33836000,20976000,-20494000,-39569000,10538000
18,Operating Income ratio,0.1006,0.0803,0.0283,-0.0369,-0.1703,0.0359
19,Total Other Income Expenses (Gains),-3541000,-13330000,-29819000,-14540000,-24893000,-15674000
20,Income Before Tax,23129000,20506000,-8843000,-35034000,-64462000,-5136000
21,Income Before Tax Ratio,0.0873,0.0487,-0.0119,-0.0631,-0.2774,-0.0175
22,Income Tax expense (Gain),- -,- -,-2427000,4190000,-914000,-661000
23,Net Income,20931000,18316000,-8902000,-42058000,-55863000,-14562000
24,Net Income ratio,0.0790,0.0435,-0.0120,-0.0758,-0.2404,-0.0497
25,EPS,0.96,0.38,-0.33,-1.43,-2.02,-0.49
26,EPS Diluted,0.96,0.38,-0.33,-1.43,-2.02,-0.49
27,Weighted Average Shares Outstanding,30065821,30065821,26975758,29495000,29897000,29897000
28,Weighted Average Shares Outstanding Diluted,30065821,30065821,26975758,29495000,29897000,29897000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1730346/000162828019003506/0001628280-19-003506-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034620000005/0001730346-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034621000014/0001730346-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034622000002/0001730346-22-000002-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,1001000,32264000,6900000,4913000,24787000,24266000
32,Short-Term Investments,- -,- -,- -,- -,831000,- -
33,Cash and Short-Term Investments,1001000,32264000,6900000,4913000,25618000,24266000
34,Net Receivables,115466000,55224000,148346000,72975000,65380000,49303000
35,Inventory,1370000,1666000,25797000,14792000,5917000,6289000
36,Other Current Assets,1180000,4644000,5133000,5830000,8880000,67865000
37,Total Current Assets,119017000,93798000,186176000,98510000,105795000,147723000
38,PP&E,61214000,99930000,88941000,85294000,49470000,70473000
39,Goodwill,- -,73468000,74213000,74213000,62193000,62193000
40,Intangible Assets,4000,105449000,100873000,92473000,61426000,53531000
41,Intangible Assets,4000,178917000,175086000,166686000,123619000,115724000
42,Investments,5241000,5006000,5060000,5078000,831000,7000
43,Tax Assets,- -,- -,2747000,- -,- -,- -
44,Other Non-Current Assets,3358000,- -,891000,188000,1245000,10180000
45,Total Non-Current Assets,69817000,283853000,272725000,257246000,175165000,196384000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,188834000,377651000,458901000,355756000,280960000,344107000
48,Accounts Payable,14624000,15247000,24821000,25510000,15613000,30641000
49,Short-Term Debt,9040000,19996000,23268000,34873000,24507000,7567000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1352000,15882000,1352000,582000,6295000,- -
52,Other Current Liabilities,29290000,30326000,62674000,53660000,37915000,78046000
53,Total Current Liabilities,54306000,81451000,112115000,114625000,84330000,116254000
54,Long-Term Debt,113182000,227698000,230821000,169698000,136972000,19444000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1492000,368000,949000
57,Other Non-Current Liabilities,- -,20183000,22575000,16668000,11551000,151131000
58,Total Non-Current Liabilities,113182000,247881000,253396000,187858000,148891000,171524000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6684000,- -
61,Total Liabilities,167488000,329332000,365511000,302483000,233221000,287778000
62,Preferred Stock,- -,- -,- -,- -,27423000,- -
63,Common Stock,240000,- -,291000,296000,300000,334000
64,Retained Earnings,20366000,18316000,9414000,-33002000,-88865000,-103427000
65,Other Comprehensive Income/Loss,-34794000,-22861000,-71605000,-87644000,- -,- -
66,Other Total Stockholders Equity,34848000,52864000,154485000,172831000,108471000,123628000
67,Total Stockholders Equity,20660000,47721000,92585000,52481000,47329000,20535000
68,Total Liabilities And Stockholders Equity,188148000,377053000,458096000,354964000,280550000,308313000
69,Minority Interest,686000,598000,805000,792000,410000,35794000
70,Total Liabilities & Equity,188834000,377651000,458901000,355756000,280960000,344107000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1730346/000162828019003506/0001628280-19-003506-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034620000005/0001730346-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034621000014/0001730346-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034622000002/0001730346-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,20931000,18316000,-8902000,-42058000,-55863000,-5797000
74,Depreciation and Amortization,15601000,25719000,42308000,23437000,19886000,24612000
75,Deferred Income Tax,- -,- -,-2995000,4359000,-834000,581000
76,Stock Based Compensation,7352000,2429000,4127000,2513000,2539000,2702000
77,Change in Working Capital,-19068000,-52364000,61714000,-90176000,37580000,10004000
78,Accounts Receivable,-6930000,4814000,-7595000,10208000,-21791000,105000
79,Inventory,-243000,-1428000,-5720000,11085000,6037000,-803000
80,Accounts Payable,-15365000,-3296000,9086000,-69000,-457000,13636000
81,Other Working Capital,64711000,12347000,74061000,-16115000,21465000,31469000
82,Other Non-Cash Items,-16465000,63692000,-109885000,170578000,9214000,-42268000
83,Cash Provided by Operating Activities,8351000,57792000,-13633000,68653000,12522000,-10166000
84,CAPEX,-10065000,-12690000,-22067000,-18071000,-4304000,36383000
85,Acquisitions Net,-3378000,- -,-19983000,- -,37860000,- -
86,Purchases of Investments,-3378000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,936000,5420000,1682000,2312000,8517000,20049000
89,Cash Used for Investing Activites,-15885000,-7270000,-40368000,-15759000,42073000,56432000
90,Debt Repayment,-23361000,-285890000,-235978000,-70067000,-71309000,- -
91,Common Stock Issued,- -,- -,59241000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-25000,-136085000,-686000,- -,- -,- -
94,Other Financing Activites,30684000,402671000,206060000,16401000,39797000,- -
95,Cash Used/Provided by Financing Activities,7298000,-19304000,28637000,-53666000,-31512000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-236000,31218000,-25364000,-772000,23083000,- -
98,Cash at the End of Period,1001000,32264000,6900000,6128000,29211000,- -
99,Cash at the Beginning of Period,1237000,1046000,32264000,6900000,6128000,29211000
100,Free Cash Flow,-1714000,45102000,-35700000,50582000,8218000,26217000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1730346/000162828019003506/0001628280-19-003506-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034620000005/0001730346-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034621000014/0001730346-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1730346/000173034622000002/0001730346-22-000002-index.htm
102,false,,,,,,
