,https://roic.ai/company/GSHD,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,31483948,42710471,60148000,77486000,117014000,151312000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,25201055,33140971,71316000,60757000,92351000,134767000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",25201055,33140971,71316000,60757000,92351000,134767000
9,Other Expenses,- -,- -,2684000,- -,- -,- -
10,Operating Expenses,- -,- -,74000000,- -,- -,- -
11,COGS and Expenses,26761421,34033576,78366000,65800000,99294000,145308000
12,Interest Income ,99426,242700,422000,617000,813000,1153000
13,Interest Expense (Gain),413042,2474110,4266000,2387000,2310000,2854000
14,Depreciation and Amortization,488334,876053,2522000,2145000,3570000,5117000
15,EBITDA,5623903,12027058,-1666000,9403000,14132000,11082000
16,EBITDA ratio,0.1786,0.2816,-0.0277,0.1214,0.1208,0.0732
17,Operating Income,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),10101065,15437753,23022000,30503000,44390000,67508000
20,Income Before Tax,4722527,8676895,-18218000,11686000,17720000,6004000
21,Income Before Tax Ratio,0.1500,0.2032,-0.3029,0.1508,0.1514,0.0397
22,Income Tax expense (Gain),- -,- -,449000,1304000,-1035000,-2292000
23,Net Income,4722527,8676895,-8903000,3567000,9287000,5403000
24,Net Income ratio,0.1500,0.2032,-0.1480,0.0460,0.0794,0.0357
25,EPS,0.39,0.19,-0.66,0.24,0.55,0.32
26,EPS Diluted,0.13,0.19,-0.66,0.22,0.51,0.32
27,Weighted Average Shares Outstanding,12253767,12253767,13554000,14864000,16785000,16785000
28,Weighted Average Shares Outstanding Diluted,35000434,35000434,13554000,16100000,18383000,16785000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1726978/000172697819000074/0001726978-19-000074-index.html,https://www.sec.gov/Archives/edgar/data/1726978/000172697820000088/0001726978-20-000088-index.html,https://www.sec.gov/Archives/edgar/data/1726978/000172697821000035/0001726978-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1726978/000172697822000029/0001726978-22-000029-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,3778098,4947671,18635000,14337000,24913000,28526000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3778098,4947671,18635000,14337000,24913000,28526000
34,Net Receivables,2726983,3192945,4767000,20500000,38883000,41729000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-563000,- -,- -,- -
37,Total Current Assets,- -,- -,22839000,- -,- -,- -
38,PP&E,1438317,6845121,7575000,9542000,39163000,57589000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,47097,216468,248000,445000,549000,2798000
41,Intangible Assets,47097,216468,248000,445000,549000,2798000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,4136000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,11959000,- -,- -,- -
46,Other Assets,8694523,16706669,- -,64628000,185837000,267798000
47,Total Assets,8694523,16706669,34798000,64628000,185837000,267798000
48,Accounts Payable,1729228,3177152,4354000,5956000,9424000,12455000
49,Short-Term Debt,300000,500000,2500000,4000000,6703000,9268000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,755000,1062050,530000,2771000,4233000,6054000
52,Other Current Liabilities,- -,- -,-102822000,- -,- -,- -
53,Total Current Liabilities,2784228,4739202,-95438000,12727000,20360000,27777000
54,Long-Term Debt,29073000,48156340,45947000,42161000,112341000,165696000
55,Deferred Revenue,- -,- -,- -,20024000,29968000,42554000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1694000,- -,- -,- -
58,Total Non-Current Liabilities,29073000,48156340,47641000,62185000,142309000,208250000
59,Other Liabilities,59223480,101256755,203080000,145093000,346190000,517459000
60,Capital Lease Obligations,- -,- -,- -,- -,36136000,52228000
61,Total Liabilities,32934708,57839617,60001000,95635000,224241000,336986000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,362000,362000,367000,370000
64,Retained Earnings,- -,- -,-6578000,-23811000,-34614000,-60671000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,88811000,14442000,29371000,- -
67,Total Stockholders Equity,-24240185,-41132948,82595000,-9007000,-4876000,-14020000
68,Total Liabilities And Stockholders Equity,8694523,16706669,142596000,86628000,219365000,322966000
69,Minority Interest,- -,- -,-107798000,-22000000,-33528000,-55168000
70,Total Liabilities & Equity,8694523,16706669,34798000,64628000,185837000,267798000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1726978/000172697819000074/0001726978-19-000074-index.html,https://www.sec.gov/Archives/edgar/data/1726978/000172697820000088/0001726978-20-000088-index.html,https://www.sec.gov/Archives/edgar/data/1726978/000172697821000035/0001726978-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1726978/000172697822000029/0001726978-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,4722527,8676895,-8903000,10382000,18755000,8296000
74,Depreciation and Amortization,488334,876053,2522000,2145000,3570000,5117000
75,Deferred Income Tax,- -,- -,-30000,294000,-306000,-2518000
76,Stock Based Compensation,- -,- -,26960000,1526000,4745000,7292000
77,Change in Working Capital,-1467991,- -,118277000,6169000,-17311000,10230000
78,Accounts Receivable,-1597361,-1983339,-2895000,-2687000,-19994000,-5877000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,221843,1447926,1168000,1460000,2941000,3585000
81,Other Working Capital,- -,- -,118277000,8619000,4041000,14407000
82,Other Non-Cash Items,658990,3988796,-128551000,725000,15190000,7027000
83,Cash Provided by Operating Activities,4401860,13541744,10275000,21241000,24643000,35444000
84,CAPEX,-675715,-6451322,-2244000,-4097000,-10368000,-15407000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-29698,80855,64000,-384000,-358000,-2637000
89,Cash Used for Investing Activites,-696394,-6134946,-2180000,-4078000,-10333000,-15375000
90,Debt Repayment,-1377899,-375000,-50625000,-2500000,-27821000,-4369000
91,Common Stock Issued,- -,- -,86915000,325000,5040000,4590000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-80059000,-18739000,-44697000,-60000000
94,Other Financing Activites,412667,-5862225,49361000,- -,64144000,43953000
95,Cash Used/Provided by Financing Activities,-965232,-6237225,5592000,-20914000,-3334000,-15826000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2740234,1169573,13687000,-3751000,10976000,4243000
