,https://roic.ai/company/CTRE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,42063000,48796000,58842000,73986000,103942000,131115000,155376000,159056000,175689000,190195000
2,COGS,6544000,7306000,7199000,7873000,10395000,12987000,14888000,5946000,4705000,3574000
3,Gross Profit,35519000,41490000,51643000,66113000,93547000,118128000,140488000,153110000,170984000,186621000
4,Gross Profit Ratio,0.8444,0.8503,0.8777,0.8936,0.9000,0.9009,0.9042,0.9626,0.9732,0.9812
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1788000,5442000,11105000,7655000,9297000,11117000,12555000,15158000,16302000,26874000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1788000,5442000,11105000,7655000,9297000,11117000,12555000,15158000,16302000,26874000
9,Other Expenses,21103000,23418000,23000000,24133000,31965000,49573000,45766000,52898000,52760000,55340000
10,Operating Expenses,22891000,28860000,34105000,31788000,41262000,60690000,58321000,68056000,69062000,82214000
11,COGS and Expenses,29435000,36166000,41304000,39661000,51657000,73677000,73209000,74002000,73767000,85788000
12,Interest Income ,- -,- -,55000,965000,737000,1867000,1565000,4345000,2643000,2156000
13,Interest Expense (Gain),12207000,12647000,21622000,25256000,23199000,24196000,27860000,28125000,23661000,23677000
14,Depreciation and Amortization,21103000,23418000,23000000,24133000,31980000,39176000,45783000,51866000,52819000,55394000
15,EBITDA,33542000,35793000,36479000,59423000,84532000,89246000,131566000,126350000,157347000,151053000
16,EBITDA ratio,0.7974,0.7335,0.6199,0.8032,0.8133,0.6807,0.8468,0.7944,0.8956,0.7942
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-12396000,-12902000,-25681000,-24291000,-22932000,-31564000,-24244000,-38695000,-21055000,- -
20,Income Before Tax,232000,-272000,-8143000,10034000,29353000,25874000,57923000,46359000,80867000,71982000
