,https://roic.ai/company/PI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,63763000,78479000,112287000,125300000,122633000,152836000,138923000,190283000
2,COGS,- -,- -,30121000,37505000,52834000,60359000,64352000,78834000,73783000,91329000
3,Gross Profit,- -,- -,33642000,40974000,59453000,64941000,58281000,74002000,65140000,98954000
4,Gross Profit Ratio,- -,- -,0.5276,0.5221,0.5295,0.5183,0.4752,0.4842,0.4689,0.5200
5,Research and Development Exp.,- -,- -,14287000,17005000,25185000,32220000,34168000,38880000,48590000,64058000
6,General and Administrative Exp.,- -,- -,6115000,8025000,12426000,18161000,22299000,24141000,34958000,36137000
7,Selling and Marketing Exp.,- -,- -,10825000,14343000,22330000,31579000,32934000,32642000,28663000,34287000
8,"Selling, General and Administrative Exp.",- -,- -,16940000,22368000,34756000,49740000,55233000,56783000,63621000,70424000
9,Other Expenses,- -,- -,1959000,- -,- -,- -,- -,- -,- -,1721000
10,Operating Expenses,- -,- -,33186000,39373000,59941000,81960000,89401000,95663000,112211000,136203000
11,COGS and Expenses,- -,- -,63307000,76878000,112775000,142319000,153753000,174497000,185994000,227532000
12,Interest Income ,- -,- -,838000,- -,616000,508000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,901000,1208000,1633000,908000,1403000,1794000,5298000,-2550000
14,Depreciation and Amortization,- -,- -,1366000,1972000,2869000,3950000,4534000,4809000,4504000,4602000
15,EBITDA,- -,- -,2660000,4246000,2997000,-12561000,-29527000,-16186000,-42032000,-49361000
16,EBITDA ratio,- -,- -,0.0417,0.0541,0.0267,-0.1002,-0.2408,-0.1059,-0.3026,-0.2594
17,Operating Income,- -,- -,456000,1601000,-488000,-17019000,-34869000,-21661000,-47071000,-37249000
18,Operating Income ratio,- -,- -,0.0072,0.0204,-0.0043,-0.1358,-0.2843,-0.1417,-0.3388,-0.1958
19,Total Other Income Expenses (Gains),- -,- -,-63000,-535000,-1017000,-400000,-595000,-1128000,-4763000,-13858000
20,Income Before Tax,- -,- -,393000,1066000,-1505000,-17419000,-35464000,-22789000,-51834000,-51107000
21,Income Before Tax Ratio,- -,- -,0.0062,0.0136,-0.0134,-0.1390,-0.2892,-0.1491,-0.3731,-0.2686
22,Income Tax expense (Gain),- -,- -,96000,166000,168000,-97000,-233000,198000,89000,-153000
23,Net Income,- -,- -,297000,900000,-1673000,-17322000,-35231000,-22987000,-51923000,-51260000
24,Net Income ratio,- -,- -,0.0047,0.0115,-0.0149,-0.1382,-0.2873,-0.1504,-0.3738,-0.2694
25,EPS,- -,- -,-0.86,0.02,-0.74,-0.84,-1.65,-1.05,-2.28,-2.11
26,EPS Diluted,- -,- -,-0.86,0.01,-0.74,-0.84,-1.65,-1.05,-2.28,-2.11
27,Weighted Average Shares Outstanding,- -,- -,12790000,12416000,10778000,20680000,21334000,21847000,22819000,24330000
28,Weighted Average Shares Outstanding Diluted,- -,- -,12790000,13689000,10778000,20680000,21334000,21847000,22819000,24330000
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1114995/000156459017003329/0001564590-17-003329-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459018005846/0001564590-18-005846-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459019005341/0001564590-19-005341-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459020008171/0001564590-20-008171-index.html,https://www.sec.gov/Archives/edgar/data/1114995/000156459021006386/0001564590-21-006386-index.htm,https://www.sec.gov/Archives/edgar/data/1114995/000156459022004981/0001564590-22-004981-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,6939000,10121000,33636000,19285000,17530000,66898000,23636000,123903000
32,Short-Term Investments,- -,- -,- -,- -,66905000,38831000,38543000,49597000,82453000,69443000
33,Cash and Short-Term Investments,- -,- -,6939000,10121000,100541000,58116000,56073000,116495000,106089000,193346000
34,Net Receivables,- -,- -,9562000,12889000,17447000,22244000,18462000,23735000,25003000,35449000
35,Inventory,- -,- -,9054000,11837000,27734000,47083000,44725000,34153000,36329000,21958000
36,Other Current Assets,- -,- -,725000,1095000,3004000,2359000,1954000,2386000,3943000,5049000
37,Total Current Assets,- -,- -,26280000,35942000,148726000,129802000,121214000,176769000,171364000,255802000
38,PP&E,- -,- -,3520000,12351000,14929000,18110000,19778000,33943000,30292000,39167000
39,Goodwill,- -,- -,3881000,3881000,3881000,- -,3881000,3881000,3881000,3881000
40,Intangible Assets,- -,- -,136000,37000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,4017000,3918000,3881000,3881000,3881000,3881000,3881000,3881000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,14225000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,637000,- -,241000,196000,453000,2079000,2462000
45,Total Non-Current Assets,- -,- -,7537000,16906000,18810000,22232000,23855000,38277000,36252000,59735000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,33817000,52848000,167536000,152034000,145069000,215046000,207616000,315537000
48,Accounts Payable,- -,- -,2403000,3182000,7166000,4666000,4643000,5600000,10144000,11732000
49,Short-Term Debt,- -,- -,- -,- -,2589000,4088000,5930000,- -,3641000,12429000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1403000,684000,445000,714000,649000,551000,6811000,558000
52,Other Current Liabilities,- -,- -,10305000,13608000,15181000,10455000,11803000,13346000,6997000,10784000
53,Total Current Liabilities,- -,- -,14111000,17474000,25381000,19923000,23025000,19497000,27593000,35503000
54,Long-Term Debt,- -,- -,3755000,10683000,9676000,5500000,17633000,50876000,69822000,290595000
55,Deferred Revenue,- -,- -,457000,710000,966000,501000,185000,213000,277000,236000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,5303000,11053000,7490000,7168000,6343000,19221000,805000,279000
58,Total Non-Current Liabilities,- -,- -,9515000,22446000,18132000,13169000,24161000,70310000,70904000,291110000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1632000,3716000,2828000,1681000,781000,22546000,18907000,- -
