,https://roic.ai/company/BUD,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,7337062027,8871201340,11614792322,13805355853,17563911362,21038972400,23507000000,36758000000,36297000000,39046000000,39758000000,43195000000,47063000000,43604000000,45517000000,56444000000,54619000000,52329000000,46881000000,54304000000
2,COGS,3586681637,4263063108,5416982974,6019116201,7228549935,8654701328,10336000000,17198000000,16151000000,16634000000,16447000000,17594000000,18756000000,17137000000,17803000000,21386000000,20359000000,20362000000,19634000000,23097000000
3,Gross Profit,3750380390,4608138232,6197809348,7786239651,10335361427,12384271072,13171000000,19560000000,20146000000,22412000000,23311000000,25601000000,28307000000,26467000000,27714000000,35058000000,34260000000,31967000000,27247000000,31207000000
4,Gross Profit Ratio,0.5112,0.5194,0.5336,0.5640,0.5884,0.5886,0.5603,0.5321,0.5550,0.5740,0.5863,0.5927,0.6015,0.6070,0.6089,0.6211,0.6273,0.6109,0.5812,0.5747
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,622265129,774529930,986877779,1114519549,1443862266,1443422223,4203000000,4981000000,4873000000,5356000000,2187000000,2539000000,2791000000,2560000000,2883000000,3841000000,3465000000,3548000000,3404000000,4394000000
7,Selling and Marketing Exp.,2177403276,2714003249,3384936558,3920361005,4838390371,5573942584,3510000000,4992000000,4712000000,5143000000,9043000000,10019000000,11594000000,11172000000,12288000000,14258000000,13653000000,12873000000,11965000000,13181000000
8,"Selling, General and Administrative Exp.",2799668405,3488533179,4371814337,5034880553,6282252636,7017364807,7713000000,9973000000,9585000000,10499000000,11230000000,12558000000,14385000000,13732000000,15171000000,18099000000,17118000000,16421000000,15369000000,17575000000
9,Other Expenses,186784474,62969913,50157250,-156340681,-260000792,-956449473,-339000000,-2135000000,-588000000,-694000000,-587000000,-1081000000,-1347000000,-951000000,-625000000,-632000000,-260000000,-623000000,-204000000,-514000000
10,Operating Expenses,2986452879,3551503092,4421971587,4878539873,6022251844,6060915334,7374000000,7838000000,8997000000,9805000000,10643000000,11477000000,13038000000,12781000000,14546000000,17467000000,16858000000,15798000000,15165000000,17061000000
11,COGS and Expenses,6573134516,7814566200,9838954560,10897656074,13250801779,14715616662,17710000000,25036000000,25148000000,26439000000,27090000000,29071000000,31794000000,29918000000,32349000000,38853000000,37217000000,36160000000,34799000000,40158000000
12,Interest Income ,- -,- -,- -,- -,219086962,167670258,288000000,501000000,525000000,438000000,206000000,286000000,335000000,339000000,561000000,287000000,333000000,410000000,465000000,431000000
13,Interest Expense (Gain),- -,- -,- -,- -,843352822,1039555601,1888000000,4920000000,4261000000,3575000000,2278000000,2521000000,2457000000,2249000000,4841000000,5007000000,4612000000,4894000000,4650000000,5234000000
14,Depreciation and Amortization,561402772,681334458,908252901,1051746396,1335638586,1501742313,1912000000,2818000000,2788000000,2783000000,2747000000,2985000000,3353000000,3153000000,3477000000,4276000000,4260000000,4657000000,4829000000,5052000000
15,EBITDA,1221444537,1550319257,2239453422,3175373974,5685702596,7931532215,6401000000,14137000000,12995000000,14069000000,13985000000,21916000000,17525000000,16269000000,11172000000,19199000000,16079000000,21508000000,12816000000,17306000000
16,EBITDA ratio,0.1665,0.1748,0.1928,0.2300,0.3237,0.3770,0.2723,0.3846,0.3580,0.3603,0.3518,0.5074,0.3724,0.3731,0.2454,0.3401,0.2944,0.4110,0.2734,0.3187
17,Operating Income,763927511,1056635140,1775837762,2603309211,4129657248,6260661641,5340000000,11569000000,10897000000,12329000000,12733000000,20443000000,15111000000,13904000000,12882000000,17152000000,17106000000,16098000000,9620000000,13824000000
18,Operating Income ratio,0.1041,0.1191,0.1529,0.1886,0.2351,0.2976,0.2272,0.3147,0.3002,0.3158,0.3203,0.4733,0.3211,0.3189,0.2830,0.3039,0.3132,0.3076,0.2052,0.2546
19,Total Other Income Expenses (Gains),-66109112,-120902233,-201984600,-479681634,-622946060,-870427340,-1540000000,-3906000000,-3215000000,-2514000000,-1582000000,-1909000000,-1310000000,-1443000000,-8548000000,-6076000000,-8576000000,-3322000000,-7541000000,-5361000000
20,Income Before Tax,697818399,935732907,1573853161,2123627578,3506711188,5390234301,3800000000,7663000000,7682000000,9815000000,11151000000,18534000000,13801000000,12461000000,4334000000,11076000000,8530000000,12776000000,2079000000,8463000000
21,Income Before Tax Ratio,0.0951,0.1055,0.1355,0.1538,0.1997,0.2562,0.1617,0.2085,0.2116,0.2514,0.2805,0.4291,0.2932,0.2858,0.0952,0.1962,0.1562,0.2441,0.0443,0.1558
22,Income Tax expense (Gain),169994858,232988678,356523154,463100046,700814317,946243457,674000000,1786000000,1920000000,1856000000,1717000000,2016000000,2499000000,2594000000,1613000000,1920000000,2839000000,2786000000,1932000000,2350000000
23,Net Income,490046906,635996121,974677367,1660527531,2805896871,4443990844,1927000000,4613000000,4026000000,5855000000,7243000000,14394000000,9216000000,8273000000,1241000000,7996000000,4368000000,9171000000,1405000000,4670000000
24,Net Income ratio,0.0668,0.0717,0.0839,0.1203,0.1598,0.2112,0.0820,0.1255,0.1109,0.1500,0.1822,0.3332,0.1958,0.1897,0.0273,0.1417,0.0800,0.1753,0.0300,0.0860
25,EPS,0.71,0.92,1.27,1.12,1.91,3.28,1.93,2.91,2.53,3.67,4.53,8.90,5.64,5.05,0.72,4.06,2.21,4.62,0.70,2.33
26,EPS Diluted,0.70,0.91,1.26,1.11,1.90,3.27,1.93,2.91,2.50,3.63,4.45,8.72,5.54,4.96,0.71,3.98,2.17,4.53,0.69,2.28
