,https://roic.ai/company/IEA,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,779343000,1459763000,1752905000,2078420000
2,COGS,- -,- -,- -,747817000,1302746000,1564213000,1872312000
3,Gross Profit,- -,- -,- -,31526000,157017000,188692000,206108000
4,Gross Profit Ratio,- -,- -,- -,0.0405,0.1076,0.1076,0.0992
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,111754,605711,72262000,120186000,113266000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,111754,605711,72262000,120186000,113266000,123905000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,111754,605711,72262000,120186000,113266000,123905000
11,COGS and Expenses,- -,111754,605711,820079000,1422932000,1677479000,1996217000
12,Interest Income ,- -,100471,957510,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,12080000,51260000,61689000,44698000
14,Depreciation and Amortization,- -,- -,- -,16699000,48220000,47682000,47079000
15,EBITDA,- -,-111754,-605711,20081000,104090000,122679000,19246000
16,EBITDA ratio,- -,-Infinity,-Infinity,0.0258,0.0713,0.0700,0.0093
17,Operating Income,- -,-111754,-605711,-40736000,36831000,75426000,82203000
18,Operating Income ratio,- -,-Infinity,-Infinity,-0.0523,0.0252,0.0430,0.0396
19,Total Other Income Expenses (Gains),- -,100471,957510,32038000,-32221000,-62118000,-154734000
20,Income Before Tax,- -,-11283,351799,-8698000,4610000,13308000,-72531000
21,Income Before Tax Ratio,- -,-Infinity,Infinity,-0.0112,0.0032,0.0076,-0.0349
22,Income Tax expense (Gain),- -,- -,148580,-12942000,-1621000,12580000,11198000
23,Net Income,- -,-11283,203219,4244000,6231000,728000,-83729000
24,Net Income ratio,- -,-Infinity,Infinity,0.0054,0.0043,0.0004,-0.0403
25,EPS,- -,-0.00,-0.09,-2.01,-0.97,-0.09,-1.61
26,EPS Diluted,- -,-0.00,-0.09,-2.01,-0.97,-0.09,-1.61
27,Weighted Average Shares Outstanding,- -,4683028,5231815,21665965,20431096,20809493,38038055
28,Weighted Average Shares Outstanding Diluted,- -,4683028,5231815,21665965,20431096,20809493,38038055
