,https://roic.ai/company/ALTX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,997000,1369000,808000,454000,771000,1435000,562000,777000,802000,972000,339000,21000,34000,129000,147000,161000,149000,119000,100000,48000,28000,61000,64000,56000,31000,44000
2,COGS,511000,488000,376000,230000,302000,302000,244000,290000,287000,293000,115000,3000,13000,6000,13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,10000
3,Gross Profit,486000,881000,432000,224000,469000,1133000,318000,487000,515000,679000,224000,18000,21000,123000,134000,161000,149000,119000,100000,48000,28000,61000,64000,56000,22000,34000
4,Gross Profit Ratio,0.4875,0.6435,0.5347,0.4934,0.6083,0.7895,0.5658,0.6268,0.6421,0.6986,0.6608,0.8571,0.6176,0.9535,0.9116,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7097,0.7727
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,328000,423000,355000,355000,362000,453000,414000,419000,417000,453000,702000,451000,418000,437000,441000,461000,386000,359000,391000,406000,390000,188000,158000,161000,170000,173000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",328000,423000,355000,355000,362000,453000,414000,419000,417000,453000,702000,451000,418000,437000,441000,461000,386000,359000,391000,406000,390000,188000,158000,161000,170000,173000
9,Other Expenses,56000,57000,71000,117000,99000,110000,71000,92000,111000,127000,47000,6000,7000,3000,23000,25000,36000,21000,19000,20000,22000,18000,- -,- -,- -,- -
10,Operating Expenses,384000,480000,426000,472000,461000,563000,485000,511000,528000,580000,749000,457000,425000,440000,464000,486000,422000,380000,410000,426000,412000,206000,158000,161000,170000,173000
11,COGS and Expenses,895000,968000,802000,702000,763000,865000,729000,801000,815000,873000,864000,460000,438000,446000,477000,502000,439000,395000,422000,431000,414000,211000,175000,204000,179000,183000
