,https://roic.ai/company/ESTC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,88177000,159935000,271653000,427620000,608489000
2,COGS,19845000,40740000,78010000,122690000,161054000
3,Gross Profit,68332000,119195000,193643000,304930000,447435000
4,Gross Profit Ratio,0.7749,0.7453,0.7128,0.7131,0.7353
5,Research and Development Exp.,32601000,55641000,101167000,165370000,199203000
6,General and Administrative Exp.,26291000,28942000,46536000,91625000,103833000
7,Selling and Marketing Exp.,56612000,82606000,147296000,219040000,273877000
8,"Selling, General and Administrative Exp.",82903000,111548000,193832000,310665000,377710000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,115504000,167189000,294999000,476035000,576913000
11,COGS and Expenses,135349000,207929000,373009000,598725000,737967000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,3150000,5066000,5695000,12859000,17237000
15,EBITDA,-44605000,-44285000,-92220000,-156283000,-104477000
16,EBITDA ratio,-0.5059,-0.2769,-0.3395,-0.3655,-0.1717
17,Operating Income,-47172000,-47994000,-101356000,-171105000,-129478000
18,Operating Income ratio,-0.5350,-0.3001,-0.3731,-0.4001,-0.2128
19,Total Other Income Expenses (Gains),-583000,-1357000,3441000,1963000,7764000
20,Income Before Tax,-47755000,-49351000,-97915000,-169142000,-121714000
21,Income Before Tax Ratio,-0.5416,-0.3086,-0.3604,-0.3955,-0.2000
22,Income Tax expense (Gain),4213000,3376000,4388000,-1968000,7720000
23,Net Income,-51968000,-52727000,-102303000,-167174000,-129434000
24,Net Income ratio,-0.5894,-0.3297,-0.3766,-0.3909,-0.2127
25,EPS,-0.84,-0.86,-1.86,-2.12,-1.48
26,EPS Diluted,-0.84,-0.86,-1.86,-2.12,-1.48
27,Weighted Average Shares Outstanding,61917629,60973258,54893365,78799732,87207094
28,Weighted Average Shares Outstanding Diluted,61917629,60973258,54893365,78799732,87207094
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1707753/000156459019024066/0001564590-19-024066-index.html,https://www.sec.gov/Archives/edgar/data/1707753/000162828020009982/0001628280-20-009982-index.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775321000026/0001707753-21-000026-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,59640000,50941000,298000000,297081000,400814000
