,https://roic.ai/company/INTG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7000000,7200000,8000000,7700000,14700000,7900000,9900000,9400000,11800000,10999933,11136328,11559419,11876000,12764000,11817000,13151000,12800000,14148000,13757000,12966000,12014000,45010000,49051000,45608000,44835000,50214000,56999000,62039000,67295000,72737000,72898000,69005000,71579000,74753000,58017000,28658000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33668000,33080000,36743000,41350000,47164000,49787000,55253000,54036000,47883000,47682000,52276000,45384000,25780000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49051000,11940000,11755000,13471000,15649000,14875000,17508000,17484000,18862000,21122000,23897000,22477000,12633000,2878000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.2618,0.2622,0.2683,0.2745,0.2398,0.2602,0.2404,0.2587,0.3061,0.3339,0.3007,0.2177,0.1004
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1500000,1500000,1300000,1400000,1557041,1026333,824775,1907000,1636000,1868000,1619000,1928000,1850000,1892000,1460000,1659000,1747000,1817000,1663000,1814000,1877000,1844000,1949000,2168000,2859000,2722000,2821000,3053000,2346000,2870000,3109000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,1500000,1500000,1300000,1400000,1557041,1026333,824775,1907000,1636000,1868000,1619000,1928000,1850000,1892000,1460000,1659000,1747000,1817000,1663000,1814000,1877000,1844000,1949000,2168000,2859000,2722000,2821000,3053000,2346000,2870000,3109000
9,Other Expenses,-5100000,-7100000,-7200000,-5800000,-8200000,-6600000,-6400000,-8000000,-8800000,9192205,9626585,9824157,10631000,10325000,9205000,11366000,11987000,13347000,13560000,9411000,9513000,33908000,49821000,7461000,6905000,6311000,4446000,4577000,4723000,4943000,5146000,5305000,5054000,4935000,4872000,4639000
