,https://roic.ai/company/CQP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,15000000,416790000,399282000,283790000,264327000,268191000,268698000,270028000,1100240000,4304000000,6426000000,6838000000,6167000000,9434000000
2,COGS,- -,- -,- -,- -,11470000,32516000,- -,- -,42551000,57486000,58601000,65704000,567544000,2659000000,3827000000,3908000000,3133000000,5948000000
3,Gross Profit,- -,- -,- -,- -,3530000,384274000,399282000,283790000,221776000,210705000,210097000,204324000,532696000,1645000000,2599000000,2930000000,3034000000,3486000000
4,Gross Profit Ratio,- -,- -,- -,- -,0.2353,0.9220,1.0000,1.0000,0.8390,0.7857,0.7819,0.7567,0.4842,0.3822,0.4045,0.4285,0.4920,0.3695
5,Research and Development Exp.,- -,- -,4527000,- -,2342000,- -,10562000,36473000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,106479000,154130000,125648000,140963000,103245000,95000000,86000000,113000000,110000000,96000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4706000,5700000,12481000,10335000,23612000,26465000,26003000,106479000,154130000,125648000,140963000,103245000,95000000,86000000,113000000,110000000,96000000
9,Other Expenses,- -,- -,-227000,35000,7994000,32742000,81458000,76688000,51757000,89261000,85323000,60319000,179015000,394000000,526000000,770000000,794000000,823000000
10,Operating Expenses,- -,- -,10000000,12516000,20671000,56354000,118485000,139164000,158236000,243391000,210971000,201282000,282260000,489000000,612000000,883000000,904000000,919000000
11,COGS and Expenses,- -,4719000,-13484000,12516000,32141000,88870000,118485000,139164000,200787000,300877000,269572000,266986000,849804000,3148000000,4439000000,4791000000,4037000000,6867000000
12,Interest Income ,- -,- -,- -,- -,13778000,930000,326000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,79887000,147214000,174016000,173590000,- -,- -,- -,184600000,356900000,614000000,733000000,885000000,909000000,831000000
14,Depreciation and Amortization,- -,13000,745000,3828000,7994000,32742000,42299000,42943000,- -,- -,- -,65704000,155621000,339000000,424000000,527000000,551000000,557000000
15,EBITDA,- -,-5049000,13534000,-12481000,9537000,366868000,323883000,135378000,-150136000,-239967000,-410036000,-68587000,341326000,1443000000,2431000000,2587000000,2643000000,3018000000
16,EBITDA ratio,- -,-Infinity,Infinity,-Infinity,0.6358,0.8802,0.8112,0.4770,-0.5680,-0.8948,-1.5260,-0.2540,0.3102,0.3353,0.3783,0.3783,0.4286,0.3199
