,https://roic.ai/company/RZLT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,4840,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-4840,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,3494,34317,4701209,9448388,12094734,17279548,19079000,14450000,14987000
6,General and Administrative Exp.,- -,6103092,5130413,5996673,5502902,8229314,9100250,6820000,6071000,7392000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,6103092,5130413,5996673,5502902,8229314,9100250,6820000,6071000,7392000
9,Other Expenses,42668,295,11303,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,42668,6106881,5176033,10697882,14951290,20324048,26379798,25899000,20521000,22379000
11,COGS and Expenses,47508,6106881,5176033,10697882,14951290,20324048,26379798,25899000,20521000,22379000
12,Interest Income ,- -,106044,12180,4970,965,- -,1000,61000,188000,63000
13,Interest Expense (Gain),- -,568859,4230112,6729,5039,1595,689188,4958000,- -,375000
14,Depreciation and Amortization,221,295,11303,134125,751254,1114170,1065727,49000,18000,13000
15,EBITDA,-45508,-6106586,-5164730,-10563757,-14200036,-19209878,-25314071,-25850000,-20503000,-22303000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-47508,-6106881,-5176033,-10697882,-14951290,-20324048,-28734206,-25944000,-20521000,-22894000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-1779,-620576,-4554421,-664482,15748,46916,-1127570,-4502000,188000,1992000
20,Income Before Tax,- -,-6727457,-9730454,-11362364,-14935542,-20277132,-29861776,-30446000,-20333000,-20902000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-49287,-6727457,-9730454,-11362364,-14935542,-20277132,-29861776,-30446000,-20333000,-20902000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.50,-54.00,-52.00,-27.00,-42.00,-28.50,-26.50,-18.50,-3.54,-2.72
26,EPS Diluted,-0.50,-54.00,-52.00,-27.00,-42.00,-28.50,-26.50,-18.50,-3.54,-2.72
27,Weighted Average Shares Outstanding,77352,124091,187693,419003,495464,825934,1113098,1777440,5751000,7671000
28,Weighted Average Shares Outstanding Diluted,77352,124091,187693,419003,495464,825934,1113098,1777440,5751000,7671000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1509261/000114420413050267/0001144204-13-050267-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420414058476/0001144204-14-058476-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420415057284/0001144204-15-057284-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420416125780/0001144204-16-125780-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420417049237/0001144204-17-049237-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420418066747/0001144204-18-066747-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420419043983/0001144204-19-043983-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000110465920114497/0001104659-20-114497-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000110465921115980/0001104659-21-115980-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,5132,527,5934534,5278706,4062013,4486538,1645872,11573000,9955000,41047000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5132,527,5934534,5278706,4062013,4486538,1645872,11573000,9955000,41047000
34,Net Receivables,- -,350516,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,223000,289600,67218,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,241506,83425,770460,430094,442015,361915,571000,563000,946000
37,Total Current Assets,5132,815549,6307559,6116384,4492107,4928553,2007787,12144000,10518000,41993000
38,PP&E,- -,275717,337932,4524912,5984670,5325401,368374,44000,416000,425000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,9161,58906,51614,44322,- -,- -,- -,- -
41,Intangible Assets,- -,12705,9161,58906,51614,44322,37030,29000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,750000,563000,375000,330634,89691,35000,31000,191000
45,Total Non-Current Assets,- -,288422,1097093,5146818,6411284,5700357,495095,108000,447000,616000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5132,1103971,7404652,11263202,10903391,10628910,2502882,12252000,10965000,42609000
48,Accounts Payable,10546,188346,460311,1408399,1500650,1652677,1706154,1051000,893000,1035000
49,Short-Term Debt,- -,3732500,60000,60000,60000,10000,3434611,10000,- -,265000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1345337,443729,237379,169850,108645,1107249,7318000,2333000,668000
53,Total Current Liabilities,10546,5266183,964040,1705778,1730500,1771322,6248014,8379000,3226000,1968000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,14155000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,33881,503617,400038,329621,215623,2121000,374000,387000
58,Total Non-Current Liabilities,- -,- -,33881,503617,400038,329621,215623,2121000,374000,14542000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,116979,23128,- -,- -,- -,410000,452000
61,Total Liabilities,10546,5266183,997921,2209395,2130538,2100943,6463637,10500000,3600000,16510000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4101,40000,18092,24341,35114,49230,62168,210000,6000,8000
64,Retained Earnings,-91214,-8016470,-17746924,-29109288,-44044830,-64321962,-94183738,-126903000,-147236000,-168138000
65,Other Comprehensive Income/Loss,- -,- -,-7759,-136629,-879250,-1986127,-517787,-3000,-14000000,- -
66,Other Total Stockholders Equity,81699,3814258,24143322,38275383,53661819,74786826,90678602,128448000,168595000,194229000
67,Total Stockholders Equity,-5414,-4162212,6406731,9053807,8772853,8527967,-3960755,1752000,7365000,26099000
68,Total Liabilities And Stockholders Equity,5132,1103971,7404652,11263202,10903391,10628910,2502882,12252000,10965000,42609000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5132,1103971,7404652,11263202,10903391,10628910,2502882,12252000,10965000,42609000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1509261/000114420413050267/0001144204-13-050267-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420414058476/0001144204-14-058476-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420415057284/0001144204-15-057284-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420416125780/0001144204-16-125780-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420417049237/0001144204-17-049237-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420418066747/0001144204-18-066747-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420419043983/0001144204-19-043983-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000110465920114497/0001104659-20-114497-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000110465921115980/0001104659-21-115980-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-49287,-6727457,-9730454,-11362364,-14935542,-20277132,-29861776,-30446000,-20333000,-20902000
74,Depreciation and Amortization,221,295,11303,134125,751254,1114170,1065727,49000,18000,13000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,3687502,1081792,2846828,3761837,6005670,5095415,2636000,3317000,3965000
77,Change in Working Capital,-1111,-4445220,9794153,-932913,-1648999,395624,-7397458,8005227,3527000,32733000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-66600,222382,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1111,- -,- -,- -,- -,- -,824453,-548000,330000,142000
81,Other Working Capital,-5414,-4450634,5343519,4410606,2761607,3157231,-4240227,3765000,7292000,40025000
82,Other Non-Cash Items,9779,5856915,-4324151,2235430,1582952,-549791,16985012,4451773,-10697000,-36250000
83,Cash Provided by Operating Activities,-40398,-1627965,-3167357,-7078894,-10488498,-13311459,-14113080,-15304000,-24168000,-20441000
84,CAPEX,-2000,-11717,-69974,-3162957,-2091790,-407929,-5816,-47000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2000,196831,-760211,-505167,637667,212546,1737500,278000,- -,- -
89,Cash Used for Investing Activites,-2000,185114,-830185,-3613124,-1454123,-195383,1731684,231000,- -,- -
90,Debt Repayment,- -,- -,-302200,-67898,-93851,-23128,- -,- -,- -,- -
91,Common Stock Issued,10500,- -,8931434,11175656,5362521,14637689,4500000,- -,24050000,41000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1417500,1302315,-1071568,5457258,-683194,5040730,25000000,-1500000,10533000
95,Cash Used/Provided by Financing Activities,10500,1417500,9931549,10036190,10725928,13931367,9540730,25000000,22550000,51533000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-31898,-25351,5934007,-655828,-1216693,424525,-2840666,9927000,-1618000,31092000
98,Cash at the End of Period,5132,527,5934534,5278706,4062013,4486538,1645872,11573000,9955000,41047000
99,Cash at the Beginning of Period,37030,25878,527,5934534,5278706,4062013,4486538,1646000,11573000,9955000
100,Free Cash Flow,-42398,-1639682,-3237331,-10241851,-12580288,-13719388,-14118896,-15351000,-24168000,-20441000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1509261/000114420413050267/0001144204-13-050267-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420414058476/0001144204-14-058476-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420415057284/0001144204-15-057284-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420416125780/0001144204-16-125780-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420417049237/0001144204-17-049237-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420418066747/0001144204-18-066747-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000114420419043983/0001144204-19-043983-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000110465920114497/0001104659-20-114497-index.htm,https://www.sec.gov/Archives/edgar/data/1509261/000110465921115980/0001104659-21-115980-index.htm
102,false,,,,,,,,,,
