,https://roic.ai/company/HUGE,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,20631,65170,196819,- -,- -
2,COGS,- -,- -,- -,- -,- -,2039470,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,-1842651,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,-9.3622,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,7832847,6328104
6,General and Administrative Exp.,- -,32800,29629,2823426,16134212,22861533,18867923,23370033
7,Selling and Marketing Exp.,- -,- -,- -,- -,2058389,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,32800,29629,2823426,18192601,22861533,18867923,23370033
9,Other Expenses,- -,- -,- -,- -,429573,3116986,3900458,4045523
10,Operating Expenses,- -,32800,29629,2823426,18622174,25978519,30601228,33743660
11,COGS and Expenses,- -,32800,29629,2823426,18622174,28017989,30601228,33743660
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,158048,235581,69404
14,Depreciation and Amortization,- -,- -,- -,- -,134501,2408905,3900458,4045523
15,EBITDA,- -,-32800,-29629,-2802795,-16539599,-37251144,-26700770,-29647053
16,EBITDA ratio,- -,-Infinity,-Infinity,-135.8561,-253.7930,-189.2658,-Infinity,-Infinity
17,Operating Income,- -,-32800,-29629,-2802795,-18557005,-28072294,-30691088,-33743660
18,Operating Income ratio,- -,-Infinity,-Infinity,-135.8561,-284.7492,-142.6299,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,1882905,-11745803,2238856,-194296
20,Income Before Tax,- -,-32800,-29629,-2802795,-16674100,-39818097,-28452232,-33937956
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-135.8561,-255.8569,-202.3080,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-32800,-29629,-2802795,-16674100,-39818097,-31799793,-35285429
24,Net Income ratio,- -,-Infinity,-Infinity,-135.8561,-255.8569,-202.3080,-Infinity,-Infinity
25,EPS,- -,-0.00,-0.00,-0.43,-2.80,-5.64,-2.64,-0.44
26,EPS Diluted,- -,-0.00,-0.00,-0.43,-2.80,-5.64,-2.64,-0.44
27,Weighted Average Shares Outstanding,- -,6565086,6565086,6565086,5905029,7056245,12043961,79867332
28,Weighted Average Shares Outstanding Diluted,- -,6565086,6565086,6565086,5905029,7056245,12043961,79867332
