,https://roic.ai/company/PALI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,265759,306057,- -,- -,733438,390625,407708,110000,18833,10417,16246,260000,260000,15394,13520,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,265759,- -,- -,- -,733438,390625,- -,110000,- -,- -,- -,- -,- -,- -,13520,- -
4,Gross Profit Ratio,1.0000,- -,- -,- -,1.0000,1.0000,- -,1.0000,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,1660321,3440129,6513349,5346904,9163810,7354857,6105984,7134301,8134753,12637278,13155887,8096095,3960191,4061450,- -,2430000
6,General and Administrative Exp.,1715125,3201443,5252863,5030981,6623758,5839188,4247037,5254915,8971299,6529667,7497202,5471010,4559265,4585638,8670612,9307000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1715125,3201443,5252863,5030981,6623758,5839188,4247037,5254915,8971299,6529667,7497202,5471010,4559265,4585638,8670612,9307000
9,Other Expenses,51924,32057,65761,88664,130751,187050,211143,244725,348630,- -,- -,- -,- -,- -,2018454,30117000
10,Operating Expenses,3427370,6673629,11831973,10466549,15918319,13381095,10564164,12633941,17454682,19166945,20653089,13567105,8519456,8647088,10689066,41854000
11,COGS and Expenses,3427370,6673629,11831973,10466549,15918319,13381095,10564164,12633941,17454682,19166945,20653089,13567105,8519456,8647088,10689066,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),9461,- -,- -,776,2662,821,2699,1394274,1620776,1816206,1141297,159066,7698,8920,14015,-2398000
14,Depreciation and Amortization,51923,32056,65761,88664,130752,187050,211143,244725,348630,345460,337508,289208,185803,143859,92272,- -
15,EBITDA,-3086103,-6142065,-11766212,-10377885,-18253886,-12330656,-9907675,-18192863,-20659338,-18742235,-19595806,-15217709,-4731116,-8198872,-16160533,-41854000
16,EBITDA ratio,-11.6124,-20.0684,-Infinity,-Infinity,-24.8881,-31.5665,-24.3009,-165.3897,-1096.9754,-1799.1970,-1206.1927,-58.5296,-18.1966,-532.6018,-1195.3057,-Infinity
17,Operating Income,-3161611,-6367572,-11831973,-10466549,-15184881,-12990470,-10156456,-12523941,-17435849,-19156528,-20636843,-13307105,-8259456,-8631694,-9297000,-41854000
18,Operating Income ratio,-11.8965,-20.8052,-Infinity,-Infinity,-20.7037,-33.2556,-24.9111,-113.8540,-925.8137,-1838.9678,-1270.2723,-51.1812,-31.7671,-560.7181,-687.6479,-Infinity
19,Total Other Income Expenses (Gains),-56320,- -,-38631,83348,-3259034,411809,34939,-7307921,-5192895,-1747373,-437768,-2358878,3334839,280043,-6969820,15238000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-10121517,-19831862,-22628744,-20903901,-21074611,-15665983,-4924617,-8351651,-16266820,-26616000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-24.8254,-180.2897,-1201.5475,-2006.7103,-1297.2185,-60.2538,-18.9408,-542.5264,-1203.1672,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3147487,-6174121,-11830798,-10364363,-18387300,-12518527,-10121517,-19831862,-22628744,-20903901,-21074611,-15665983,-4924617,-8351651,-16266820,-26616000
24,Net Income ratio,-11.8434,-20.1731,-Infinity,-Infinity,-25.0700,-32.0474,-24.8254,-180.2897,-1201.5475,-2006.7103,-1297.2185,-60.2538,-18.9408,-542.5264,-1203.1672,-Infinity
25,EPS,-33.80,-62.40,-96.20,-78.00,-109.20,-67.60,-44.20,-70.20,-67.60,-59.80,-50.60,-24.00,-6.40,-3.80,-3.72,-2.20
26,EPS Diluted,-33.80,-62.40,-96.20,-78.00,-109.20,-67.60,-44.20,-70.20,-67.60,-59.80,-50.60,-24.00,-6.40,-3.80,-3.72,-2.20
27,Weighted Average Shares Outstanding,95763,111587,123516,131849,167177,185925,223668,277996,334947,349487,417299,653221,757846,2197434,2774370,12100292
28,Weighted Average Shares Outstanding Diluted,95763,111587,123516,131849,167177,185925,223668,277996,334947,349487,417299,653221,757846,2197434,2774370,12106771
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1357459/000114420407016577/0001144204-07-016577-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420408017800/0001144204-08-017800-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420409017905/0001144204-09-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420410017210/0001144204-10-017210-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420411015138/0001144204-11-015138-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420412018248/0001144204-12-018248-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420413015444/0001144204-13-015444-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420414014279/0001144204-14-014279-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420415016085/0001144204-15-016085-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000114420416087765/0001144204-16-087765-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184317001704/0001171843-17-001704-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184318002404/0001171843-18-002404-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184319001917/0001171843-19-001917-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184320002061/0001171843-20-002061-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000117184321001965/0001171843-21-001965-index.htm,https://www.sec.gov/Archives/edgar/data/1357459/000095017022004093/0000950170-22-004093-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1807041,7403737,4903279,2309774,9261233,2352013,7443773,16846052,12518980,4716533,15194949,6674940,5787110,5114917,10529244,10495000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,15007478,7517453,5000000,5000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,1807041,7403737,4903279,2309774,9261233,2352013,7443773,16846052,27526458,12233986,20194949,11674940,5787110,5114917,10529244,10495000
34,Net Receivables,- -,- -,- -,- -,- -,- -,3333,10000,225524,37316,63572,371586,357995,21064,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
