,https://roic.ai/company/ISCO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,40000,500000,1120000,1570000,4530000,4570000,6150000,7017000,7551000,7165000,7456000,11089000,9472000,- -,- -
2,COGS,- -,30000,40000,130000,790000,720000,1620000,1270000,1640000,1859000,2056000,1944000,2122000,4069000,3933000,2781000,2935000
3,Gross Profit,- -,-30000,- -,370000,330000,850000,2910000,3300000,4510000,5158000,5495000,5221000,5334000,7020000,5539000,-2781000,-2935000
4,Gross Profit Ratio,- -,-Infinity,- -,0.7400,0.2946,0.5414,0.6424,0.7221,0.7333,0.7351,0.7277,0.7287,0.7154,0.6331,0.5848,-Infinity,-Infinity
5,Research and Development Exp.,- -,1860000,2490000,1950000,2160000,3370000,4430000,3550000,3500000,5386000,2608000,2734000,2519000,2279000,1386000,988000,695000
6,General and Administrative Exp.,- -,- -,- -,3579044,4839297,7071714,8360000,7444000,6033000,5605000,4715000,4689000,5213000,5467000,7196000,4422000,4084000
7,Selling and Marketing Exp.,- -,- -,495009000,- -,- -,- -,- -,- -,- -,2785000,2637000,2527000,2405000,2631000,2685000,1755000,1383000
8,"Selling, General and Administrative Exp.",- -,- -,495009000,3579044,4839297,7071714,8360000,7444000,6033000,8390000,7352000,7216000,7618000,8098000,9881000,6177000,5467000
9,Other Expenses,- -,3827724,-491427611,377599,531091,864169,1479000,2114000,2517000,- -,99000,122000,139000,117000,- -,2781000,2935000
10,Operating Expenses,- -,5687724,6071389,5906643,7530388,11305883,14269000,13108000,12050000,13776000,10059000,10072000,10276000,10494000,11267000,9946000,9097000
11,COGS and Expenses,8296,5810000,6110000,6040000,8320000,12030000,15890000,14380000,13690000,15697000,12115000,12016000,12398000,14563000,15200000,12727000,12032000
12,Interest Income ,- -,22146,31741,1682,9227,27635,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,806155,41808,1048277,94587,14079,- -,- -,3000,2000,11000,6000,59000,48000,77000,113000,128000
