,https://roic.ai/company/MMND,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1092637,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5229465,3954089,3638503,3827721
2,COGS,221682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744787,2147808,1139713,1498525
3,Gross Profit,870955,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4484678,1806281,2498790,2329196
4,Gross Profit Ratio,0.7971,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8576,0.4568,0.6868,0.6085
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1792774,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24588,18,82163,1899000,10000,62000,3234450,2429158,2450392,2344601
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1792774,- -,- -,183000,258000,2356561,858241,588603,15109,51698,235133,60651,24588,18,82163,1899000,10000,62000,3234450,2429158,2450392,2344601
9,Other Expenses,1957970,- -,- -,- -,- -,- -,979,1468,- -,- -,- -,- -,- -,- -,19917,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3750744,- -,- -,183000,258000,2356561,859220,590071,15109,51698,235133,60651,24588,18,102080,1899000,10000,62000,3234450,2429158,2450392,2344601
11,COGS and Expenses,3972426,- -,- -,183000,258000,2356561,859220,590071,15109,51698,235133,60651,24588,18,102080,1899000,10000,62000,3979237,4576966,3590105,3843126
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25,- -,- -,- -,3010,2668,1513,1857
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,187,2627,35708,30451,- -,- -,213,- -,- -,- -,11566,- -,- -,- -
14,Depreciation and Amortization,227064,- -,- -,- -,- -,- -,979,1469,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29062,29190,27053,21722
15,EBITDA,-2685517,- -,- -,-183000,-258000,-1995261,-858241,-588602,-15109,-51698,-235133,-60651,-24588,-18,-102055,-1899000,-10000,-62000,1234027,-588359,63204,788462
