,https://roic.ai/company/SUZ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,2786991000,3098990000,3409668000,4063596000,3952746000,4513883000,4847988000,5192292000,5688625000,7264599000,10224361000,9882313000,10520790000,13443376000,26012950000,30460277000,40965431000
2,COGS,1763987000,1950569000,2224129000,2647236000,3043078000,3148502000,3771937000,4036276000,4190315000,5355663000,6184246000,6571622000,6449468000,6922331000,20743482000,18966331000,20615588000
3,Gross Profit,1023004000,1148421000,1185539000,1416360000,909668000,1365381000,1076051000,1156016000,1498310000,1908936000,4040115000,3310691000,4071322000,6521045000,5269468000,11493946000,20349843000
4,Gross Profit Ratio,0.3671,0.3706,0.3477,0.3485,0.2301,0.3025,0.2220,0.2226,0.2634,0.2628,0.3951,0.3350,0.3870,0.4851,0.2026,0.3773,0.4968
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,191719000,215687000,207800000,206040000,205240000,288473000,333810000,403826000,402778000,376101000,433047000,400376000,497599000,790392000,1147137000,1364917000,1474042000
7,Selling and Marketing Exp.,170145000,191070000,195065000,200920000,158489000,227993000,247673000,247949000,250996000,300796000,409986000,408810000,430825000,598726000,1905279000,2174652000,2291722000
8,"Selling, General and Administrative Exp.",361864000,406757000,402865000,406960000,363729000,516466000,581483000,651775000,653774000,676897000,843033000,809186000,928424000,1389118000,3052416000,3539569000,3765764000
9,Other Expenses,36579000,91619000,88413000,70971000,624504000,-302530000,-181789000,-1084000,-67378000,7298000,112616000,109276000,-160917000,126897000,-399570000,-339176000,-1095962000
10,Operating Expenses,398443000,498376000,491278000,477931000,988233000,213936000,399694000,650691000,586396000,684195000,955649000,918462000,767507000,1516015000,2652846000,3200393000,2669802000
11,COGS and Expenses,2162430000,2448945000,2715407000,3125167000,4031311000,3362438000,4171631000,4686967000,4776711000,6039858000,7139895000,7490084000,7216975000,8438346000,23396328000,22166724000,23285390000
12,Interest Income ,126075000,124995000,138867000,217081000,- -,- -,- -,295198000,246430000,- -,- -,- -,- -,- -,- -,146930000,205574000
13,Interest Expense (Gain),232460000,271175000,335730000,417785000,- -,- -,- -,571527000,681558000,1049516000,1203143000,1091322000,1144396000,1196558000,3358806000,3275618000,3749273000
14,Depreciation and Amortization,288321000,389456000,452037000,530807000,485022000,525848000,629855000,727270000,936990000,1216132000,1419477000,1403518000,1402778000,1563223000,4440947000,6752209000,7082802000
15,EBITDA,1167724000,1258265000,1604033000,312809000,1717121000,1424915000,531550000,987813000,1338574000,1901705000,1264099000,4913033000,4786239000,2924958000,3699774000,-7624195000,19655886000
16,EBITDA ratio,0.4190,0.4060,0.4704,0.0770,0.4344,0.3157,0.1096,0.1902,0.2353,0.2618,0.1236,0.4972,0.4549,0.2176,0.1422,-0.2503,0.4798
17,Operating Income,657620000,596856000,944126000,-635783000,617835000,899067000,-98305000,544355000,975567000,1229569000,3069984000,1317093000,3257905000,5007811000,2628578000,8443394000,18180191000
18,Operating Income ratio,0.2360,0.1926,0.2769,-0.1565,0.1563,0.1992,-0.0203,0.1048,0.1715,0.1693,0.3003,0.1333,0.3097,0.3725,0.1010,0.2772,0.4438
19,Total Other Income Expenses (Gains),-10677000,778000,-127860000,- -,614264000,- -,- -,-855339000,-1255541000,-1593512000,-4428505000,1101100000,-1018840000,-4842513000,-6725781000,-26085523000,-9347234000
20,Income Before Tax,646943000,597634000,816266000,-635783000,1232099000,899067000,-98305000,-310984000,-279974000,-363943000,-1358521000,2418193000,2239065000,165298000,-4097203000,-17642129000,8832957000
21,Income Before Tax Ratio,0.2321,0.1928,0.2394,-0.1565,0.3117,0.1992,-0.0203,-0.0599,-0.0492,-0.0501,-0.1329,0.2447,0.2128,0.0123,-0.1575,-0.5792,0.2156
22,Income Tax expense (Gain),147294000,153944000,276913000,-184475000,354167000,130070000,-128196000,-128858000,-59515000,-102437000,-433167000,726195000,431632000,-154516000,-1282461000,-6927194000,197425000
23,Net Income,499649000,443690000,539353000,-451308000,877932000,768997000,29891000,-182126000,-220459000,-261506000,-925354000,1691998000,1807433000,319693000,-2817518000,-10724828000,8626386000
24,Net Income ratio,0.1793,0.1432,0.1582,-0.1111,0.2221,0.1704,0.0062,-0.0351,-0.0388,-0.0360,-0.0905,0.1712,0.1718,0.0238,-0.1083,-0.3521,0.2106
25,EPS,1.66,1.47,1.24,-1.18,2.05,2.18,0.06,-0.24,-0.19,-0.23,-0.80,1.46,1.65,0.29,-2.09,-7.95,6.39
26,EPS Diluted,1.66,1.47,1.24,-1.18,2.05,2.18,0.06,-0.24,-0.19,-0.23,-0.80,1.45,1.64,0.29,-2.09,-7.95,6.39
27,Weighted Average Shares Outstanding,301890742,301890742,436669728,383145000,382439346,364567000,397951000,722042000,1084897000,1086398000,1088248000,1090046000,1098332000,1093493000,1349222000,1349221653,1349221580
28,Weighted Average Shares Outstanding Diluted,301890742,301890742,436669728,383145000,382439346,365011000,471159000,722042000,1088558000,1090364000,1092018000,1092228000,1099692000,1093493000,1349222000,1349221653,1349221580
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1081878000,1500112000,1325517000,2176312000,2533285000,3735438000,3273938000,4337608000,3689640000,3686115000,1477246000,1614697000,1076833000,4387453000,3249127000,6835057000,13590776000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,970850000,2080615000,1631505000,21098565000,6150631000,2212079000,7508275000
33,Cash and Short-Term Investments,1081878000,1500112000,1325517000,2176312000,2533285000,3735438000,3273938000,4337608000,3689640000,3686115000,2448096000,3695312000,2708338000,25486018000,9399758000,9047136000,21099051000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1432967000,1823555000,1778926000,2578286000,2126326000,2742716000,2833890000,4033018000,3322056000,6898794000
35,Inventory,463068000,576073000,695461000,881568000,605657000,658821000,722401000,683750000,905256000,1077081000,1315996000,1313143000,1207961000,1853104000,4685595000,4009335000,4637485000
36,Other Current Assets,872420000,904614000,1092424000,1348830000,1009313000,1029564000,1375812000,232634000,53263000,67302000,246641000,894725000,137860000,625880000,765866000,1579467000,1467611000
37,Total Current Assets,2417366000,2980799000,3113402000,4406710000,4148255000,5423823000,5372151000,6686959000,6471714000,6609424000,6589019000,8029506000,6796875000,30798892000,18884237000,17957994000,34102941000
38,PP&E,4085334000,5943201000,6811219000,6876776000,6961336000,10938493000,13071482000,15147822000,16551707000,16681253000,16346234000,16235281000,16211228000,17020261000,44971182000,43500968000,42963726000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,34057000,34057000,79492000,45445000,45445000,45445000,158334000,161464000,8253939000,8251342000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,178682000,190533000,212578000,284180000,174143000,142981000,181506000,17712803000,8741949000,8014740000
41,Intangible Assets,- -,- -,43332000,501457000,501462000,169911000,198556000,212739000,224590000,292070000,329625000,219588000,188426000,339840000,17712803000,16995888000,16266082000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,873000,6764000,14338000,502149000,307489000,542377000
43,Tax Assets,140505000,158758000,474540000,646647000,501818000,- -,685000,813000,1075000,1143000,2583000,4624000,2606000,8998000,2134040000,8677002000,8729929000
44,Other Non-Current Assets,677191000,1077823000,1014444000,526889000,646098000,2381282000,3014205000,3305104000,3900257000,4535566000,4992524000,4909441000,5317083000,5750315000,13703814000,14361407000,16370097000
45,Total Non-Current Assets,4903030000,7179782000,8343535000,8551769000,8610714000,13489686000,16284928000,18666478000,20677629000,21510032000,21670966000,21369807000,21726107000,23133752000,79023988000,83842754000,84872211000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7320396000,10160581000,11456937000,12958479000,12758969000,18913509000,21657079000,25353437000,27149343000,28119456000,28259985000,29399313000,28522982000,53932644000,97908225000,101800748000,118975152000
48,Accounts Payable,231869000,253435000,400887000,558881000,316129000,345443000,490350000,1015935000,1061415000,962096000,1066174000,582918000,610476000,632565000,2376459000,2361098000,3288897000
49,Short-Term Debt,1009813000,585288000,737615000,1736805000,1462761000,1382698000,2142138000,1627934000,1015332000,1874447000,1909836000,1594720000,2115067000,3426696000,6884795000,2663563000,4278819000
50,Tax Payable,21403000,46677000,54044000,59916000,44955000,44219000,44293000,45443000,54060000,54525000,56285000,78175000,125847000,243835000,307639000,170482000,339553000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,11547000,7434000,7822000,32058000,514766000,92545000,75159000,59982000,25171000,103656000
52,Other Current Liabilities,196247000,157831000,205510000,60907000,361161000,347102000,452078000,200444000,197209000,223280000,502506000,1137470000,890275000,1924258000,2157959000,3122991000,3879852000
53,Total Current Liabilities,1437929000,996554000,1344012000,2356593000,2140051000,2075243000,3084566000,2855860000,2281390000,3067645000,3510574000,3829874000,3708363000,6058678000,11479195000,8172823000,11551224000
54,Long-Term Debt,2546980000,4857795000,4900447000,5898239000,5262105000,5773697000,5745967000,9268128000,12039341000,12600828000,13625916000,12418059000,10076789000,32310813000,60783601000,75428079000,81243004000
55,Deferred Revenue,23277000,32412000,596553000,- -,625939000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149540000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1684903000,1634210000,1479235000,1037889000,1559096000,1789960000,1038133000,578875000,570000,- -
57,Other Non-Current Liabilities,202713000,260334000,224269000,966988000,347094000,2423898000,3152997000,542468000,507163000,656616000,893525000,1448790000,1326316000,2499085000,6978585000,10861898000,10856254000
58,Total Non-Current Liabilities,2772970000,5150541000,5721269000,6865227000,6235138000,8197595000,8898964000,11495499000,14180714000,14736679000,15557330000,15425945000,13193065000,35848031000,68341061000,86290547000,92248798000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,61021000,33873000,25450000,32619000,23632000,19686000,18225000,3984070000,5191760000,5893194000
61,Total Liabilities,4210899000,6147095000,7065281000,9221820000,8375189000,10272838000,11983530000,14351359000,16462104000,17804324000,19067904000,19255819000,16901428000,41906709000,79820256000,94463370000,103800022000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1479990000,2054388000,2054427000,2054430000,2054430000,2685183000,3445569000,6240709000,6241753000,6241753000,6241753000,6241753000,6241753000,6241753000,9235546000,9235546000,9235546000
64,Retained Earnings,- -,- -,- -,1471797000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2992590000,317144000,-3926015000,3927824000
65,Other Comprehensive Income/Loss,- -,-2797614000,-3030002000,-3394718000,-3708631000,-4061844000,-3941594000,2258350000,1951429000,1634382000,500245000,1860839000,3322561000,2995929000,8638205000,2140556000,2130362000
66,Other Total Stockholders Equity,1629507000,4756712000,5367231000,3605150000,6037981000,10017332000,10169574000,2503019000,2494057000,2438997000,2450083000,2040902000,2057240000,-218265000,-218265000,-218265000,-218265000
67,Total Stockholders Equity,3109497000,4013486000,4391656000,3736659000,4383780000,8640671000,9673549000,11002078000,10687239000,10315132000,9192081000,10143494000,11621554000,12012007000,17972630000,7231822000,15075467000
68,Total Liabilities And Stockholders Equity,7320396000,10160581000,11456937000,12958479000,12758969000,18913509000,21657079000,25353437000,27149343000,28119456000,28259985000,29399313000,28522982000,53918716000,97792886000,101695192000,118875489000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13928000,115339000,105556000,99663000
70,Total Liabilities & Equity,7320396000,10160581000,11456937000,12958479000,12758969000,18913509000,21657079000,25353437000,27149343000,28119456000,28259985000,29399313000,28522982000,53932644000,97908225000,101800748000,118975152000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,499649000,443690000,539353000,-451308000,877932000,768997000,29891000,-182126000,-220459000,-261506000,-925354000,1691998000,1807433000,319693000,-2817518000,-10724828000,8626386000
74,Depreciation and Amortization,288321000,389456000,452037000,530807000,485022000,525848000,629855000,727270000,936990000,1216132000,1419477000,1403518000,1402778000,1563223000,4440947000,6752209000,7082802000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-131138000,-69439000,-119917000,-452219000,537378000,229445000,-741084000,-1656686000,-7109120000,-441880000
76,Stock Based Compensation,- -,- -,- -,- -,9269000,5245000,- -,12942000,26114000,22382000,- -,- -,- -,131609000,- -,- -,- -
77,Change in Working Capital,-257349000,-212304000,-266472000,-520263000,561567000,58225000,264922000,147558000,-781112000,42083000,-936088000,726970000,35889000,-1333543000,468284000,2263659000,-2375673000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-59938000,-296891000,260721000,-824881000,190377000,-662459000,-186026000,991476000,884451000,-3393787000
79,Inventory,- -,- -,- -,-228283000,275911000,-32521000,1648000,-41372000,-242360000,-180555000,-275563000,-39304000,76364000,-612687000,873420000,651203000,-654757000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,235385000,-327187000,-399343000,92235000,-4696000,63236000,1473000,-1555697000,140480000,1363478000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-63723000,-30431000,77453000,20988000,-483406000,410879000,-41013000,- -,- -,- -
82,Other Non-Cash Items,50146000,259342000,315334000,1246222000,-748716000,-180448000,17642000,95384000,148641000,565640000,3244893000,-1356689000,-525551000,5230952000,7141410000,21942716000,4745858000
83,Cash Provided by Operating Activities,580767000,880184000,1040252000,805458000,1185074000,1177867000,942310000,669890000,40735000,1464814000,2350709000,3003175000,2949994000,5170850000,7576437000,13124636000,17637493000
84,CAPEX,-899303000,-2223729000,-1292830000,-1065854000,-658658000,-603077000,-2472903000,-2783540000,-2257458000,-1359178000,-1458444000,-2324338000,-1780302000,-2423698000,-4868427000,-4897860000,-6243470000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-294473000,-26048396000,- -,-58332000
86,Purchases of Investments,-497376000,-362143000,-43596000,- -,-5052000,-137218000,-49000,- -,- -,-43994000,-934186000,-1053381000,- -,- -,-286000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,314370000,- -,- -,- -,687274000,- -,19378893000,3841493000,- -
88,Other Investing Activites,15151000,43074000,87625000,649046000,67383000,387800000,-778920000,-439026000,-576320000,-747012000,-1015296000,-1403104000,-835728000,-20416753000,-3023556000,-3074655000,-8149775000
89,Cash Used for Investing Activites,-1381528000,-2542798000,-1248801000,-416808000,-596327000,-352495000,-3229255000,-2714266000,-1924218000,-1397770000,-2350762000,-3342484000,-1008334000,-21962712000,-11695019000,-736417000,-10358691000
90,Debt Repayment,-1084077000,-1308090000,-781959000,-2177194000,-2399331000,-2714501000,-3367925000,-1943488000,-2849089000,-2730952000,-5872353000,-4853038000,-4533736000,-3738577000,-14639779000,-19917055000,-16481560000
91,Common Stock Issued,2027000,574398000,39000,- -,- -,- -,- -,1463369000,- -,8514000,8514000,8514000,8514000,8514000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-297578000,- -,-42560000,- -,-34019000,-50816000,- -,- -,- -,-83000,- -,- -,- -,- -
93,Dividends Paid,-101009000,-182365000,-147133000,-64619000,-35347000,-249022000,-154261000,-83242000,-99977000,-122180000,-269936000,-299926000,-570568000,-210205000,-606632000,- -,-9683000
94,Other Financing Activites,1999264000,3039383000,1052389000,2910131000,2262507000,3391711000,5318903000,3654957000,4096970000,2657831000,3649576000,5782896000,2601649000,23975317000,18388220000,10131916000,14917352000
95,Cash Used/Provided by Financing Activities,816205000,2123326000,123336000,370740000,-172171000,385628000,1796717000,3057577000,1097088000,-186787000,-2484199000,638446000,-2494224000,20035049000,3141809000,-9785139000,-1573891000
96,Effect of Forex Changes on Cash,-19786000,-42478000,-48970000,77002000,-59603000,-8847000,28728000,50469000,138427000,116218000,275383000,-161686000,14700000,67433000,-161553000,982850000,1050808000
97,Net Change In Cash,-4342000,418234000,-174595000,836392000,356973000,1202153000,-461500000,1063670000,-647968000,-3525000,-2208869000,137451000,-537864000,3310620000,-1138326000,3585930000,6755719000
98,Cash at the End of Period,1081878000,1500112000,1325517000,2176312000,2533285000,3735438000,3273938000,4337608000,3689640000,3686115000,1477246000,1614697000,1076833000,4387453000,3249127000,6835057000,13590776000
99,Cash at the Beginning of Period,1086220000,1081878000,1500112000,1339920000,2176312000,2533285000,3735438000,3273938000,4337608000,3689640000,3686115000,1477246000,1614697000,1076833000,4387453000,3249127000,6835057000
100,Free Cash Flow,-318536000,-1343545000,-252578000,-260396000,526416000,574790000,-1530593000,-2113650000,-2216723000,105636000,892265000,678837000,1169692000,2747152000,2708010000,8226776000,11394023000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
