,https://roic.ai/company/TROX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1022600000,1064300000,1163500000,1301800000,1364000000,1411600000,1426300000,1245800000,1070100000,1217600000,- -,1832000000,1922000000,1737000000,2112000000,2093000000,1698000000,1819000000,2642000000,2758000000,3572000000
2,COGS,972500000,949000000,1026300000,1168900000,1143800000,1244700000,1310200000,1133400000,931900000,996100000,- -,1568000000,1732000000,1530000000,1992000000,1846000000,1310000000,1321000000,2178000000,2137000000,2677000000
3,Gross Profit,50100000,115300000,137200000,132900000,220200000,166900000,116100000,112400000,138200000,221500000,- -,264000000,190000000,207000000,120000000,247000000,388000000,498000000,464000000,621000000,895000000
4,Gross Profit Ratio,0.0490,0.1083,0.1179,0.1021,0.1614,0.1182,0.0814,0.0902,0.1291,0.1819,- -,0.1441,0.0989,0.1192,0.0568,0.1180,0.2285,0.2738,0.1756,0.2252,0.2506
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000000,187000000,192000000,217000000,210000000,251000000,267000000,347000000,347000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000000,187000000,192000000,217000000,210000000,251000000,267000000,347000000,347000000,318000000
9,Other Expenses,99900000,98300000,103100000,114700000,132300000,118700000,118500000,114100000,71700000,59200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,99900000,98300000,103100000,114700000,132300000,118700000,118500000,114100000,71700000,59200000,- -,239000000,187000000,192000000,217000000,210000000,251000000,267000000,347000000,347000000,318000000
11,COGS and Expenses,1072400000,1047300000,1129400000,1283600000,1276100000,1363400000,1428700000,1247500000,1003600000,1055300000,- -,1807000000,1919000000,1722000000,2209000000,2056000000,1561000000,1588000000,2525000000,2484000000,2995000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1000000,400000,600000,- -,- -,8000000,13000000,7000000,3000000,10000000,33000000,18000000,8000000,7000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,53900000,35900000,49900000,- -,51000000,117000000,121000000,154000000,170000000,166000000,182000000,201000000,179000000,146000000
14,Depreciation and Amortization,119900000,- -,- -,104600000,103100000,103000000,112300000,75700000,- -,50100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000000,297000000
15,EBITDA,-18200000,-89000000,-107800000,-61300000,143700000,125900000,48900000,-207100000,-4100000,107800000,- -,1060000000,20000000,-38000000,-123000000,-4000000,-113000000,188000000,106000000,571000000,800000000
16,EBITDA ratio,-0.0178,-0.0836,-0.0927,-0.0471,0.1054,0.0892,0.0343,-0.1662,-0.0038,0.0885,- -,0.5786,0.0104,-0.0219,-0.0582,-0.0019,-0.0665,0.1034,0.0401,0.2070,0.2240
17,Operating Income,-49800000,5200000,- -,-94800000,87900000,55300000,-12300000,-83900000,25500000,209600000,- -,25000000,3000000,- -,-118000000,36000000,138000000,200000000,95000000,271000000,577000000
18,Operating Income ratio,-0.0487,0.0049,- -,-0.0728,0.0644,0.0392,-0.0086,-0.0673,0.0238,0.1721,- -,0.0136,0.0016,- -,-0.0559,0.0172,0.0813,0.1100,0.0360,0.0983,0.1615
19,Total Other Income Expenses (Gains),-40000000,-13200000,-96900000,-25300000,-19400000,-7200000,-49800000,-63400000,-55700000,-203000000,- -,983000000,-64000000,-164000000,-148000000,-209000000,-225000000,-157000000,-183000000,-157000000,-203000000
20,Income Before Tax,-89800000,-8000000,-62800000,-120100000,68500000,48100000,-62100000,-147300000,-30200000,6600000,- -,1008000000,-61000000,-149000000,-266000000,-173000000,-87000000,43000000,-88000000,114000000,374000000
21,Income Before Tax Ratio,-0.0878,-0.0075,-0.0540,-0.0923,0.0502,0.0341,-0.0435,-0.1182,-0.0282,0.0054,- -,0.5502,-0.0317,-0.0858,-0.1259,-0.0827,-0.0512,0.0236,-0.0333,0.0413,0.1047
22,Income Tax expense (Gain),-30700000,8300000,-15100000,-38300000,21800000,23100000,43000000,-1800000,-1500000,2000000,- -,-125000000,29000000,268000000,41000000,-115000000,6000000,13000000,14000000,-881000000,71000000
23,Net Income,-107400000,-97300000,-92700000,-127600000,18800000,-200000,-106400000,-334900000,-38500000,5800000,- -,1134000000,-126000000,-427000000,-318000000,-59000000,-285000000,-7000000,-109000000,969000000,286000000
24,Net Income ratio,-0.1050,-0.0914,-0.0797,-0.0980,0.0138,-0.0001,-0.0746,-0.2688,-0.0360,0.0048,- -,0.6190,-0.0656,-0.2458,-0.1506,-0.0282,-0.1678,-0.0038,-0.0413,0.3513,0.0801
25,EPS,-0.52,-0.14,-0.42,-1.11,0.15,-0.00,-0.52,-1.63,-0.19,0.03,- -,11.37,-1.11,-3.74,-2.75,-0.50,-2.39,-0.06,-0.78,6.76,2.00
26,EPS Diluted,-0.52,-0.14,-0.42,-1.11,0.15,-0.00,-0.52,-1.63,-0.19,0.03,- -,11.10,-1.11,-3.74,-2.75,-0.50,-2.39,-0.06,-0.78,6.69,1.97
27,Weighted Average Shares Outstanding,206155000,685211268,222836538,114500000,122590000,201865000,203460000,204975000,205880000,206160000,98985000,98985000,113416000,114281000,115566000,116161000,119502000,122881000,139859000,143355000,143355000
28,Weighted Average Shares Outstanding Diluted,206920000,685211268,222836538,114500000,122590000,204665000,203460000,204975000,205880000,206915000,101406000,101406000,113416000,114281000,115566000,116161000,119502000,122881000,139859000,144906000,144906000
