,https://roic.ai/company/DTRC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,30000,- -,35689,152181,791865,1175349,579628,349575,295000,402597,343119,1059629,1264555,473576,369311,401935,554067,1001339,1160979
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",30000,- -,35689,152181,791865,1175349,579628,349575,295000,402597,343119,1059629,1264555,473576,369311,401935,554067,1001339,1160979
9,Other Expenses,- -,- -,- -,- -,5758231,15319,803871,15132,420862,1377930,15656,34430,27332,22220,21855,42355,53367,100133,673545
10,Operating Expenses,30000,- -,35689,152181,6550096,1190668,1383499,364707,715862,1780527,358775,1094059,1291887,495796,391166,444290,607434,1101472,1834524
11,COGS and Expenses,30000,- -,35689,152181,6550096,1190668,1383499,364707,715862,1780527,358775,1094059,1291887,495796,391166,444290,607434,1101472,1834524
12,Interest Income ,- -,- -,- -,- -,- -,- -,224,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,7204
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,20966,40172,20446,39350,27207,31117,31201,133702,32020,32724,33366,12801,1337721
14,Depreciation and Amortization,- -,- -,800,100,- -,- -,929,930,223429,251667,3542,6375,333,- -,- -,- -,- -,- -,17554
15,EBITDA,-30000,- -,-34889,-152081,-814343,-1190668,-1382570,-363778,-492433,-1528860,-355233,-1087684,-1291554,-495796,-391166,-444290,-607434,-1101472,-1809766
16,EBITDA ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-30000,- -,-35689,-152181,-6550096,-1190668,-1404465,-404879,-2561308,-1819877,-420404,-1094059,-1291887,-495796,-391166,-444290,-607434,-1101472,-1834524
18,Operating Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-3002,3542,- -,- -,- -,-1825000,- -,-9846,-31117,-31201,-33702,-32020,-32724,626873,-12801,-1330517
20,Income Before Tax,-30000,- -,-35689,-155183,-6546554,-1190668,- -,- -,- -,- -,-430250,-1125176,-1323088,-529498,-423186,-477014,19439,-1114273,-3165041
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-30000,- -,-35689,-155183,-6546554,-1184308,-1404241,139492,-2561307,-1819877,-430250,-1125176,-1323088,-529498,-423186,-477014,19439,-1114273,-3165041
24,Net Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
25,EPS,-1.00,-0.08,-3.60,-31.66,-640.00,-80.00,-80.00,10.33,-6.00,-2.00,-0.04,-0.08,-0.08,-0.04,-0.04,-0.04,0.00,-0.08,-0.48
26,EPS Diluted,-1.00,-0.08,-3.60,-31.66,-640.00,-80.00,-80.00,10.33,-6.00,-2.00,-0.04,-0.08,-0.08,-0.04,-0.04,-0.04,0.00,-0.08,-0.48
27,Weighted Average Shares Outstanding,30000,40000,9840,4901,10553,10553,11134,13498,432399,847615,8627909,11471032,13329891,13588701,14385635,14730053,15189950,15217175,6476187
28,Weighted Average Shares Outstanding Diluted,30000,40000,9840,4901,10553,10553,11134,13498,432399,847615,8627909,11471032,13329891,13588701,14385635,14730053,15189950,15217175,6476187
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1182737/000106299308003192/0001062993-08-003192-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1182737/000107878213001282/0001078782-13-001282-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878214001177/0001078782-14-001177-index.html,- -,https://www.sec.gov/Archives/edgar/data/1182737/000107878216003042/0001078782-16-003042-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878217000940/0001078782-17-000940-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878218000665/0001078782-18-000665-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878219000546/0001078782-19-000546-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878220000497/0001078782-20-000497-index.htm,https://www.sec.gov/Archives/edgar/data/1182737/000107878221000608/0001078782-21-000608-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10000,492,34572,170878,394432,2292,73721,43989,1275,68121,456329,2355,15551,69189,19981,152590,146425,10392940
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10000,492,34572,170878,394432,2292,73721,43989,1275,68121,456329,2355,15551,69189,19981,152590,146425,10392940
34,Net Receivables,- -,- -,- -,15000,- -,22347,100753,- -,703,1752,- -,- -,- -,12500,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,136,1671206,471209,11530,- -,211181,- -,9208,708,- -,8927,4000,4333,8851,7649,75608
37,Total Current Assets,- -,10000,492,49708,1842084,887988,114575,73721,255873,3027,77329,457037,2355,36978,73189,24314,161441,154074,10468548
38,PP&E,- -,- -,- -,- -,- -,- -,1859,929,- -,1767500,150000,191335,191566,199566,216104,216104,216104,216104,6207816
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,100,50000,- -,- -,- -,1000000,2877500,- -,9208,2834,15430,2500,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,100,50000,- -,- -,1859,1000929,2877500,1767500,159208,194169,206996,202066,216104,216104,216104,216104,6207816
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10000,592,99708,1842084,887988,116434,1074650,3133373,1770527,236537,651206,209351,239044,289293,240418,377545,370178,16676364
48,Accounts Payable,- -,- -,416,50138,61092,340498,489473,339718,22500,839877,238140,349946,380276,470654,501731,547595,1926555,2292647,162024
49,Short-Term Debt,- -,- -,22500,227077,421891,356153,491197,22500,133403,652527,436619,433500,430290,711316,761624,741296,360810,655727,906768
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,219,- -,305550,938895,22500,225020,338079,454692,736692,1018742,1321345,- -,- -,3000
53,Total Current Liabilities,- -,- -,22916,277215,482983,696870,980670,667768,1094798,1514904,899779,1121525,1265258,1918662,2282097,2610236,2287365,2948374,1071792
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473325
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,265000,265000,265000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,-1,100000,100000,- -,- -,265000,265000,265000,- -,- -,- -,- -,- -,473325
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,22916,277215,482983,696869,1080670,767768,1094798,1514904,1164779,1386525,1530258,1918662,2282097,2610236,2287365,2948374,1545117
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3520,39213,84426,84426,104426,204426,33492,34492,41335,52747,53738,56717,58567,59567,63217,65417,56197
64,Retained Earnings,- -,-30000,- -,-219507,-6766061,-7950881,-9354610,-9215118,-11776425,-13596302,-505583,-1631635,-2954723,-3484221,-3907407,-4384421,-4364982,-5377743,-8542784
65,Other Comprehensive Income/Loss,- -,- -,-64324,- -,-16838,- -,-25226,- -,- -,-575,-876,- -,- -,- -,- -,- -,- -,- -,-33092
66,Other Total Stockholders Equity,- -,40000,38480,2787,8057574,8057574,8311174,9317574,13781508,13818008,-463118,843569,1580078,1747886,1856036,1955036,2391945,2734130,23650926
67,Total Stockholders Equity,- -,10000,-22324,-177507,1359101,191119,-964236,306882,2038575,255623,-928242,-735319,-1320907,-1679618,-1992804,-2369818,-1909820,-2578196,15131247
68,Total Liabilities And Stockholders Equity,- -,10000,592,99708,1842084,887988,116434,1074650,3133373,1770527,236537,651206,209351,239044,289293,240418,377545,370178,16676364
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,10000,592,99708,1842084,887988,116434,1074650,3133373,1770527,236537,651206,209351,239044,289293,240418,377545,370178,16676364
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1182737/000106299308003192/0001062993-08-003192-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1182737/000107878213001282/0001078782-13-001282-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878214001177/0001078782-14-001177-index.html,- -,https://www.sec.gov/Archives/edgar/data/1182737/000107878216003042/0001078782-16-003042-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878217000940/0001078782-17-000940-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878218000665/0001078782-18-000665-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878219000546/0001078782-19-000546-index.html,https://www.sec.gov/Archives/edgar/data/1182737/000107878220000497/0001078782-20-000497-index.htm,https://www.sec.gov/Archives/edgar/data/1182737/000107878221000608/0001078782-21-000608-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-30000,- -,-35689,-155183,-6546554,-1184308,-1404241,139492,-2561307,-1819877,-430250,-1125176,-1323088,-529498,-423186,-477014,19439,-1114273,-3165041
74,Depreciation and Amortization,- -,- -,800,100,- -,- -,929,930,223429,251667,3542,6375,333,- -,- -,- -,- -,- -,17554
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,37500,126884,528099,737500,53287,- -,- -,135559,110897,124706
77,Change in Working Capital,-10000,10000,-32424,-205083,1586608,-1167983,-1057213,272048,-244878,-672952,689427,157962,-598415,-618781,-327224,-377014,459998,-668376,12191056
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-78406,- -,-703,-1049,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,120654,81913,243627,256532,- -,- -,- -,- -,- -,348467,312304,466092,-679626
81,Other Working Capital,- -,10000,-22424,-227507,1359101,191118,-866095,-594047,-838925,-1511877,-822450,-664488,-1262903,-1881684,-2208908,-2585922,-2125924,-2794300,9396756
82,Other Non-Cash Items,10000,-10000,32840,239669,2406459,2625258,1372726,-628106,2473153,1997949,-568440,75403,733137,997662,647778,725148,-812451,1220670,-11607520
83,Cash Provided by Operating Activities,-30000,- -,-34473,-120497,-2553487,272967,-1087799,-215636,-109603,-205713,-178837,-357337,-450533,-97330,-102632,-128880,-197455,-451082,-2439245
