,https://roic.ai/company/THRY,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1444000000,1815000000,- -,- -,1318166000,1792953000,1421374000,1109435000,1113382000
2,COGS,479000000,576000000,- -,- -,553293000,640822000,476355000,366696000,408043000
3,Gross Profit,965000000,1239000000,- -,- -,764873000,1152131000,945019000,742739000,705339000
4,Gross Profit Ratio,0.6683,0.6826,- -,- -,0.5803,0.6426,0.6649,0.6695,0.6335
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,209000000,164000000,- -,- -,223887000,243734000,179956000,156286000,153902000
7,Selling and Marketing Exp.,383000000,436000000,- -,- -,370548000,479379000,352740000,263006000,357813000
8,"Selling, General and Administrative Exp.",592000000,600000000,- -,- -,594435000,723113000,532696000,419292000,511715000
9,Other Expenses,765000000,643000000,- -,- -,301435000,266975000,206270000,146523000,- -
10,Operating Expenses,1357000000,1243000000,- -,- -,895870000,990088000,738966000,565815000,511715000
11,COGS and Expenses,1836000000,1819000000,- -,- -,1449163000,1630910000,1215321000,932511000,919758000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),316000000,356000000,- -,- -,67815000,82697000,92951000,68539000,66374000
14,Depreciation and Amortization,765000000,643000000,- -,- -,301435000,266975000,206270000,146523000,105473000
15,EBITDA,-114000000,641000000,- -,- -,130385000,410643000,352787000,256300000,306161000
16,EBITDA ratio,-0.0789,0.3532,- -,- -,0.0989,0.2290,0.2482,0.2310,0.2750
17,Operating Income,-850000000,-4000000,- -,- -,-130997000,162043000,206053000,152013000,190013000
18,Operating Income ratio,-0.5886,-0.0022,- -,- -,-0.0994,0.0904,0.1450,0.1370,0.1707
19,Total Other Income Expenses (Gains),-345000000,-354000000,- -,- -,-107868000,-101072000,-152487000,-110775000,-55699000
20,Income Before Tax,-1195000000,-358000000,- -,- -,-238865000,60971000,53566000,41238000,134314000
21,Income Before Tax Ratio,-0.8276,-0.1972,- -,- -,-0.1812,0.0340,0.0377,0.0372,0.1206
22,Income Tax expense (Gain),-376000000,13000000,- -,- -,-67541000,9920000,18062000,-107983000,32737000
23,Net Income,-819000000,-371000000,- -,- -,-171324000,51051000,35504000,149221000,101577000
24,Net Income ratio,-0.5672,-0.2044,- -,- -,-0.1300,0.0285,0.0250,0.1345,0.0912
25,EPS,-98.80,-38.57,- -,- -,-3.04,0.89,0.86,4.73,3.22
26,EPS Diluted,-98.80,-38.57,- -,- -,-3.04,0.89,0.81,4.42,3.01
27,Weighted Average Shares Outstanding,8277784,9611118,- -,- -,56436726,57331668,40845160,31522845,31522845
28,Weighted Average Shares Outstanding Diluted,8277784,9611118,- -,- -,56436726,57331668,43456570,33795594,33795594
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1556739/000155673914000004/0001556739-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1556739/000155673915000005/0001556739-15-000005-index.htm,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1556739/000162828021005660/0001628280-21-005660-index.htm,https://www.sec.gov/Archives/edgar/data/1556739/000162828022006158/0001628280-22-006158-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,156000000,171000000,- -,- -,2038000,34169000,1912000,2406000,11262000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,156000000,171000000,- -,- -,2038000,34169000,1912000,2406000,11262000
34,Net Receivables,218000000,151000000,- -,- -,262062000,200812000,418832000,316774000,299023000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,235000000,175000000,- -,- -,152694000,148685000,57825000,50518000,60360000
37,Total Current Assets,609000000,497000000,- -,- -,416794000,383666000,478569000,369698000,370645000
38,PP&E,- -,- -,- -,- -,152330000,- -,- -,89044000,50938000
39,Goodwill,315000000,315000000,- -,- -,609457000,609457000,609457000,609457000,671886000
40,Intangible Assets,1381000000,794000000,- -,- -,532394000,312242000,147480000,31777000,82577000
41,Intangible Assets,1696000000,1109000000,- -,- -,1141851000,921699000,756937000,641234000,754463000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,93099000,90565000
44,Other Non-Current Assets,159000000,116000000,- -,- -,36953000,165044000,152786000,21902000,33891000
45,Total Non-Current Assets,1855000000,1225000000,- -,- -,1331134000,1086743000,909723000,845279000,929857000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2464000000,1722000000,- -,- -,1747928000,1470409000,1388292000,1214977000,1300502000
48,Accounts Payable,20000000,14000000,- -,- -,53280000,24576000,16067000,8927000,8610000
49,Short-Term Debt,154000000,124000000,- -,- -,3480000,1226000,10159000,- -,70000000
50,Tax Payable,21000000,16000000,- -,- -,- -,- -,27232000,26209000,17660000
51,Deferred Revenue,146000000,112000000,- -,- -,77983000,68347000,24679000,18942000,51726000
52,Other Current Liabilities,146000000,154000000,- -,- -,212145000,177284000,206536000,179531000,176798000
53,Total Current Liabilities,466000000,404000000,- -,- -,346888000,271433000,257441000,207400000,307134000
54,Long-Term Debt,2521000000,2272000000,- -,- -,868992000,545861000,714392000,528403000,492476000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,28000000,30000000,- -,- -,50943000,29632000,56571000,508000,10798000
57,Other Non-Current Liabilities,152000000,138000000,- -,- -,267549000,358876000,332628000,281891000,175379000
58,Total Non-Current Liabilities,2701000000,2440000000,- -,- -,1187484000,934369000,1103591000,810802000,678653000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,60460000,57343000,94479000,54798000,- -
61,Total Liabilities,3167000000,2844000000,- -,- -,1534372000,1205802000,1361032000,1018202000,985787000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1032000,1032000,1034000,596000,608000
64,Retained Earnings,-2220000000,-2591000000,- -,- -,-793839000,-742788000,-544053000,-394832000,-293255000
65,Other Comprehensive Income/Loss,-34000000,-85000000,- -,- -,- -,-74961000,-79842000,- -,-8047000
66,Other Total Stockholders Equity,1551000000,1554000000,- -,- -,- -,1081324000,650121000,591011000,- -
67,Total Stockholders Equity,-703000000,-1122000000,- -,- -,213556000,264607000,27260000,196775000,314715000
68,Total Liabilities And Stockholders Equity,2464000000,1722000000,- -,- -,1747928000,1470409000,1388292000,1214977000,1300502000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2464000000,1722000000,- -,- -,1747928000,1470409000,1388292000,1214977000,1300502000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1556739/000155673914000004/0001556739-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1556739/000155673915000005/0001556739-15-000005-index.htm,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1556739/000162828021005660/0001628280-21-005660-index.htm,https://www.sec.gov/Archives/edgar/data/1556739/000162828022006158/0001628280-22-006158-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-819000000,-371000000,- -,- -,-171324000,51051000,35504000,149221000,101577000
74,Depreciation and Amortization,765000000,643000000,- -,- -,301435000,266975000,206270000,146523000,105473000
75,Deferred Income Tax,-351000000,11000000,- -,- -,-164253000,-34109000,-20742000,-147329000,-20438000
76,Stock Based Compensation,4000000,4000000,- -,- -,23364000,39604000,14119000,-2895000,8094000
77,Change in Working Capital,1936000000,-50000000,- -,- -,-23094000,42327000,108895000,-58830000,-35406000
78,Accounts Receivable,291000000,41000000,- -,- -,232163000,- -,16457000,41382000,74368000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-100708000,-125883000
81,Other Working Capital,143000000,93000000,- -,- -,69906000,112233000,221128000,162298000,7767000
82,Other Non-Cash Items,-1175000000,151000000,- -,- -,274665000,-18787000,-73447000,146082000,11271000
83,Cash Provided by Operating Activities,360000000,388000000,- -,- -,240793000,347061000,270599000,232772000,170571000
84,CAPEX,-24000000,-18000000,- -,- -,-19992000,-27429000,-26065000,-27757000,-26849000
85,Acquisitions Net,154000000,- -,- -,- -,-587734000,-1250000,-147000,- -,-175370000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,13000000,- -,- -,7332000,17000,847000,1546000,5644000
89,Cash Used for Investing Activites,130000000,-5000000,- -,- -,-600394000,-28662000,-25365000,-26211000,-196575000
90,Debt Repayment,-505000000,-367000000,- -,- -,-1653093000,-2491100000,-1400536000,-1329836000,-1703700000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-437962000,-30626000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
