,https://roic.ai/company/CLPS,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,29024178,31361976,48938590,64932940,89415798,126061693
2,COGS,17463416,18669812,31277260,41178360,58296097,85890757
3,Gross Profit,11560762,12692164,17661330,23754580,31119701,40170936
4,Gross Profit Ratio,0.3983,0.4047,0.3609,0.3658,0.3480,0.3187
5,Research and Development Exp.,5579058,4232788,7837870,7978880,10436975,13337913
6,General and Administrative Exp.,4955037,5647790,8097320,19563420,16343936,16784688
7,Selling and Marketing Exp.,413016,1206493,- -,- -,3059877,3753236
8,"Selling, General and Administrative Exp.",5368053,6854283,8097320,19563420,19403813,20537924
9,Other Expenses,-1446408,-508187,-960777,-779503,-2535868,-2080087
10,Operating Expenses,9500703,10578884,14974413,26762797,27304920,31795750
11,COGS and Expenses,26964119,29248696,47212450,68720660,85601017,117686507
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,54105,143626,206169,403700,593173,677241
15,EBITDA,2149370,2072525,2528499,-2679460,4366856,8750937
16,EBITDA ratio,0.0741,0.0661,0.0517,-0.0413,0.0488,0.0694
17,Operating Income,613651,1605093,1726141,-3787724,1278913,8375186
18,Operating Income ratio,0.0211,0.0512,0.0353,-0.0583,0.0143,0.0664
19,Total Other Income Expenses (Gains),1440473,497718,876629,687074,2428546,-54726
20,Income Before Tax,2054124,2102811,2602770,-3100650,3707459,8320460
21,Income Before Tax Ratio,0.0708,0.0670,0.0532,-0.0478,0.0415,0.0660
22,Income Tax expense (Gain),269153,-118546,-112130,186620,835444,1257124
23,Net Income,1826112,2047445,2434460,-3269780,2938239,6816572
24,Net Income ratio,0.0629,0.0653,0.0497,-0.0504,0.0329,0.0541
25,EPS,0.14,0.15,0.21,-0.24,0.20,0.39
26,EPS Diluted,0.14,0.15,0.21,-0.24,0.20,0.39
27,Weighted Average Shares Outstanding,13290000,13290000,11517123,13843764,14689224,17279443
28,Weighted Average Shares Outstanding Diluted,13290000,13290000,11636367,13843764,14692299,17569440
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724542/000121390018012977/0001213900-18-012977-index.html,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,5277196,4814568,9742886,6601335,12652120,24739382
32,Short-Term Investments,- -,- -,- -,1791697,636934,4158535
33,Cash and Short-Term Investments,5277196,4814568,9742886,8393032,13289054,28897917
34,Net Receivables,4373489,6762780,17871748,19494124,25923041,44685125
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,260156,747948,1437578,1858944,1296747,2530458
37,Total Current Assets,9910841,12325296,29052212,29746100,40508842,76113500
38,PP&E,326820,273347,333897,566591,452472,600791
