,https://roic.ai/company/SU,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1564016640,1536045772,1519989410,1635011923,1898009272,2099904070,2147962831,2067956656,2382812500,3384823035,3995542821,4903997482,6305551977,8621310295,11086172811,15829450140,17903000000,30061000000,26235000000,36287000000,39790000000,38208000000,39593000000,39862000000,29208000000,26807000000,32051000000,38542000000,38344000000,24662000000,39132000000
2,COGS,718973885,768976478,684935134,658016552,763976002,716047691,558970693,484055728,658275463,1058788242,1413562560,1298394712,1507149298,2921766259,4184207466,5865563840,9694000000,20066000000,16390000000,20102000000,19459000000,23551000000,22185000000,23566000000,19090000000,15994000000,16722000000,19871000000,23134000000,18638000000,19641000000
3,Gross Profit,845042755,767069294,835054276,976995371,1134033270,1383856379,1588992138,1583900928,1724537037,2326034793,2581980261,3605602770,4798402679,5699544036,6901965345,9963886300,8209000000,9995000000,9845000000,16185000000,20331000000,14657000000,17408000000,16296000000,10118000000,10813000000,15329000000,18671000000,15210000000,6024000000,19491000000
4,Gross Profit Ratio,0.5403,0.4994,0.5494,0.5975,0.5975,0.6590,0.7398,0.7659,0.7237,0.6872,0.6462,0.7352,0.7610,0.6611,0.6226,0.6295,0.4585,0.3325,0.3753,0.4460,0.5110,0.3836,0.4397,0.4088,0.3464,0.4034,0.4783,0.4844,0.3967,0.2443,0.4981
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,77000000,163000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3541000000,3188000000,3634000000,3549000000,4088000000,3810000000,4161000000,4866000000,3698000000,11366000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3541000000,3188000000,3634000000,3549000000,4088000000,3810000000,4161000000,4866000000,3698000000,11366000000
9,Other Expenses,658886064,656961221,642838231,708935335,790019089,939016034,1250893495,1271052632,1401909722,1643671266,1736708055,2280453258,3077418524,3513318934,4357483428,6086905871,5030000000,5926000000,9319000000,11921000000,12329000000,6307000000,7307000000,7193000000,6453000000,6355000000,6631000000,7689000000,8106000000,7858000000,1482000000
