,https://roic.ai/company/RELV,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14600000,32300000,43600000,32200000,28900000,40700000,46800000,51900000,67974000,61279785,52943047,62926863,76959723,96982433,113565164,117467157,111057504,98194818,85399070,78748388,73879900,68709889,68206738,57344959,51768857,45512836,41788782,36115741,35055315
2,COGS,3200000,6600000,9100000,7000000,5900000,9600000,8800000,13500000,33436000,23890643,12562385,11569163,13228050,16662935,19264347,19519904,19100527,17437133,16862622,15738885,15105416,39525202,38949010,32200633,29496342,26119053,24086959,21459347,20816187
3,Gross Profit,11400000,25700000,34500000,25200000,23000000,31100000,38000000,38400000,34538000,37389142,40380662,51357700,63731673,80319498,94300817,97947253,91956977,80757685,68536448,63009503,58774484,29184687,29257728,25144326,22272515,19393783,17701823,14656394,14239128
4,Gross Profit Ratio,0.7808,0.7957,0.7913,0.7826,0.7958,0.7641,0.8120,0.7399,0.5081,0.6101,0.7627,0.8161,0.8281,0.8282,0.8304,0.8338,0.8280,0.8224,0.8025,0.8001,0.7955,0.4248,0.4290,0.4385,0.4302,0.4261,0.4236,0.4058,0.4062
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,28000000,33900000,34700000,35151000,36474931,39350802,- -,- -,- -,- -,- -,- -,- -,32557704,30652045,29400219,27472807,27755483,25048596,23546926,20205762,17885226,16520885,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32172148,29450171,27629167,25839621,24926014,20542905,18410190,16095032,14685553,11749604,- -
8,"Selling, General and Administrative Exp.",9700000,20700000,28400000,23700000,21900000,28000000,33900000,34700000,35151000,36474931,39350802,47080749,56355191,71333194,81827588,85843555,84662066,75088930,64729852,60102216,57029386,53312428,52681497,45591501,41957116,36300794,32570779,28270489,14798586
9,Other Expenses,200000,300000,500000,500000,500000,600000,600000,800000,1121000,1132801,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25839621,-24926014,-20542905,-18410190,-16095032,-14685553,-11749604,- -
10,Operating Expenses,9900000,21000000,28900000,24200000,22400000,28600000,34500000,35500000,36272000,37607732,39350802,47080749,56355191,71333194,81827588,85843555,84662066,75088930,64729852,60102216,57029386,27472807,27755483,25048596,23546926,20205762,17885226,16520885,14798586
11,COGS and Expenses,13100000,27600000,38000000,31200000,28300000,38200000,43300000,49000000,69708000,61498375,51913187,58649912,69583241,87996129,101091935,105363459,103762593,92526063,81592474,75841101,72134802,66998009,66704493,57249229,53043268,46324815,41972185,37980232,35614773
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692595,634446,328057,52292,47744,40508,129415,149402,131503,117027,107006,101901,93054,177810
13,Interest Expense (Gain),100000,400000,700000,100000,100000,200000,- -,500000,- -,639172,527208,340343,234956,243118,313329,50156,1373,37327,173867,205985,138967,99502,82461,100142,113881,106682,109254,95556,47180
14,Depreciation and Amortization,200000,300000,500000,500000,500000,600000,600000,800000,1121000,1132801,743078,866397,935292,1209577,1417166,1243407,1114974,1200892,1192948,1244990,1109088,954110,952660,961731,1003096,984031,900126,810442,583824
