,https://roic.ai/company/PED,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,100006,885441,1453344,1159458,3243487,418468,432012,330908,109443,446526,503153,743656,4812000,5326000,3968000,3015000,4523000,12972000,8059000,- -
2,COGS,- -,1602669,1589072,1317714,4621084,1520219,682995,665523,151241,278815,412435,1085502,2628000,6975000,6767000,5102000,9340000,17848000,15778000,- -
3,Gross Profit,- -,-717228,-135728,-158256,-1377597,-1101751,-250983,-334615,-41798,167711,90718,-341846,2184000,-1649000,-2799000,-2087000,-4817000,-4876000,-7719000,- -
4,Gross Profit Ratio,- -,-0.8100,-0.0934,-0.1365,-0.4247,-2.6328,-0.5810,-1.0112,-0.3819,0.3756,0.1803,-0.4597,0.4539,-0.3096,-0.7054,-0.6922,-1.0650,-0.3759,-0.9578,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8712000,6962000,3912000,2529000,4140000,5785000,6741000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",27837,5669538,4825640,2857212,3417046,4198283,1923814,1036254,766845,1469061,3729525,7149103,8712000,6962000,3912000,2529000,4140000,5785000,6741000,6209000
9,Other Expenses,14139,219692,512706,119306,11671055,- -,38458,146142,202006,147591,- -,- -,1306000,701000,231000,2000,47000,110000,31000,13323000
10,Operating Expenses,41976,5889230,5338346,2976518,15088101,4198283,1962272,1182396,968851,1616652,3729525,7149103,10018000,7663000,4143000,2531000,4187000,5895000,6772000,19532000
11,COGS and Expenses,41976,7491899,6927418,4294232,19709185,5718502,2645267,1847919,1120092,1895467,4141960,8234605,12646000,14638000,10910000,7633000,13527000,23743000,22550000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,22177,245,17,- -,36359,196871,281000,40000,- -,- -,1000,55000,40000,15000
13,Interest Expense (Gain),- -,1158236,105053,195121,4024970,23758,112951,106785,97860,1057331,986248,1591405,9859000,13904000,13959000,12798000,7699000,824000,2000,-1000
