,https://roic.ai/company/CVSI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,2154063,10190667,11529402,11060636,20679239,48244000,53696000,24429000,20048000
2,COGS,- -,- -,880470,4387002,4421102,4063001,6190575,14366000,18608000,13420000,11432000
3,Gross Profit,- -,- -,1273593,5803665,7108300,6997635,14488664,33878000,35088000,11009000,8616000
4,Gross Profit Ratio,- -,- -,0.5913,0.5695,0.6165,0.6327,0.7006,0.7022,0.6535,0.4507,0.4298
5,Research and Development Exp.,- -,- -,524476,999280,1320003,1159009,724329,1885000,5877000,2943000,1185000
6,General and Administrative Exp.,88092,- -,2366450,13357633,17754598,13129950,16252376,21746000,46451000,30658000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",88092,- -,2366450,13357633,17754598,13129950,16252376,21746000,46451000,30658000,25877000
9,Other Expenses,- -,- -,- -,- -,- -,-379486,- -,- -,- -,- -,- -
10,Operating Expenses,88092,- -,2890926,14356913,19074601,13909473,16976705,23631000,52328000,33601000,27062000
11,COGS and Expenses,88092,43018,3771396,18743915,23495703,17972474,23167280,37997000,70936000,47021000,38494000
12,Interest Income ,- -,- -,- -,30703,18287,27658,2,- -,15000,- -,- -
13,Interest Expense (Gain),2088,2593,372109,615344,968615,1086793,506384,153000,- -,- -,140000
14,Depreciation and Amortization,- -,- -,767254,933600,1012335,1052567,182795,519000,716000,872000,1153000
15,EBITDA,-88092,-43018,-1160833,236993,-10252178,-12001938,-4689460,10766000,-16509000,-21729000,-14348000
16,EBITDA ratio,-Infinity,-Infinity,-0.5389,0.0233,-0.8892,-1.0851,-0.2268,0.2232,-0.3075,-0.8895,-0.7157
17,Operating Income,-88092,-43018,-1617333,-8553248,-11209587,-13073609,-4859988,10247000,-17240000,-22592000,-18446000
18,Operating Income ratio,-Infinity,-Infinity,-0.7508,-0.8393,-0.9723,-1.1820,-0.2350,0.2124,-0.3211,-0.9248,-0.9201
19,Total Other Income Expenses (Gains),-2088,-2593,-682863,7241297,-1023541,-1067689,-518651,-153000,15000,-9000,2805000
20,Income Before Tax,-90180,-45611,-2300196,-1311951,-12233128,-14141298,-5378639,10094000,-17225000,-22601000,-15641000
21,Income Before Tax Ratio,-Infinity,-Infinity,-1.0678,-0.1287,-1.0610,-1.2785,-0.2601,0.2092,-0.3208,-0.9252,-0.7802
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-481500,93000,-615000,-317000,-87000
23,Net Income,-90180,-45611,-2300196,-1311951,-12233128,-14141298,-4897139,10001000,-16610000,-22284000,-15554000
24,Net Income ratio,-Infinity,-Infinity,-1.0678,-0.1287,-1.0610,-1.2785,-0.2368,0.2073,-0.3093,-0.9122,-0.7758
25,EPS,-0.01,-0.01,-0.23,-0.04,-0.35,-0.27,-0.06,0.11,-0.17,-0.22,-0.16
26,EPS Diluted,-0.01,-0.01,-0.23,-0.04,-0.35,-0.27,-0.06,0.09,-0.17,-0.22,-0.16
27,Weighted Average Shares Outstanding,6970909,7000000,9879098,31581101,35142094,52660749,80431771,91916000,97861000,99913000,99913000
28,Weighted Average Shares Outstanding Diluted,6970909,7000000,9879098,31581101,35142094,52660749,80431771,114470000,97861000,99913000,99913000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1510964/000101054912000391/0001010549-12-000391-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1510964/000101968715001189/0001019687-15-001189-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1510964/000168316817000725/0001683168-17-000725-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000168316818000816/0001683168-18-000816-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096419000007/0001510964-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096420000026/0001510964-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1510964/000151096421000012/0001510964-21-000012-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,1168,431,2243670,2302418,518462,781857,2012965,12684000,9107000,4024000,1375000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1168,431,2243670,2302418,518462,781857,2012965,12684000,9107000,4024000,1375000
34,Net Receivables,- -,- -,1430202,1790875,1488233,360475,1507824,3340000,2177000,1126000,2041000
35,Inventory,- -,- -,2473322,11666251,14133920,2851772,2822585,7132000,9971000,8840000,8624000
36,Other Current Assets,1750,- -,1909148,1046724,451127,827006,1591797,2310000,11112000,2873000,2146000
37,Total Current Assets,2918,431,8056342,16806268,16591742,4821110,7935171,25466000,32367000,16863000,14186000
38,PP&E,- -,- -,214128,516423,439615,242702,2083433,2844000,12324000,5934000,1717000
39,Goodwill,- -,- -,1855512,1855512,4643812,2788300,2788300,2788000,2788000,2788000,- -
40,Intangible Assets,- -,- -,3356500,2535000,5620000,3871600,3836200,3801000,3766000,3730000,1485000
41,Intangible Assets,- -,- -,5212012,4390512,10263812,6659900,6624500,6589000,6554000,6518000,1485000
42,Investments,- -,- -,439246,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,310300,26705,- -,6868450,6067101,2003000,1442000,1310000,678000
45,Total Non-Current Assets,- -,- -,6175686,4933640,10703427,13771052,14775034,11436000,20320000,13762000,3880000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2918,431,14232028,21739908,27295169,18592162,22710205,36902000,52687000,30625000,18066000
48,Accounts Payable,20223,- -,24622,546387,659408,523581,678271,1245000,1617000,1677000,2624000
49,Short-Term Debt,- -,- -,- -,- -,1020778,2023940,726296,474000,723000,2854000,922000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,20800,500,398003,118206,772719,601018,1931920,2673000,10856000,9805000,10915000
53,Total Current Liabilities,41023,500,422625,664593,2452905,3148539,3336487,4392000,13196000,14336000,14461000
54,Long-Term Debt,- -,- -,5502595,- -,- -,679174,850000,- -,- -,1453000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1556300,1556300,1074800,1065000,421000,157000,62000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1067459,1329000,9923000,3467000,- -
58,Total Non-Current Liabilities,- -,- -,5502595,- -,1556300,2235474,2992259,2394000,10344000,5077000,62000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,10240000,4147000,- -
