,https://roic.ai/company/MYRG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,65800000,96100000,110300000,108500000,86800000,267000000,310600000,431300000,459300000,477279000,- -,- -,- -,- -,- -,- -,- -,610314000,616107000,631168000,597077000,780356000,998959000,902729000,943967000,1061681000,1142487000,1403317000,1531169000,2071159000,2247392000,2498289000
2,COGS,54700000,81000000,93800000,95000000,71300000,231200000,272800000,386000000,409500000,421898000,- -,- -,- -,- -,- -,- -,- -,540868000,525924000,555261000,526357000,694790000,880306000,777852000,811553000,939340000,1007764000,1278313000,1364109000,1857001000,1971539000,2173308000
3,Gross Profit,11100000,15100000,16500000,13500000,15500000,35800000,37800000,45300000,49800000,55381000,- -,- -,- -,- -,- -,- -,- -,69446000,90183000,75907000,70720000,85566000,118653000,124877000,132414000,122341000,134723000,125004000,167060000,214158000,275853000,324981000
4,Gross Profit Ratio,0.1687,0.1571,0.1496,0.1244,0.1786,0.1341,0.1217,0.1050,0.1084,0.1160,- -,- -,- -,- -,- -,- -,- -,0.1138,0.1464,0.1203,0.1184,0.1096,0.1188,0.1383,0.1403,0.1152,0.1179,0.0891,0.1091,0.1034,0.1227,0.1301
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50622000,48467000,44630000,56776000,63575000,69818000,73818000,79186000,96424000,98611000,118737000,156674000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6800000,8100000,7900000,7800000,8200000,21800000,23600000,28200000,30900000,35713000,- -,- -,- -,- -,- -,- -,- -,45585000,50622000,48467000,44630000,56776000,63575000,69818000,73818000,79186000,96424000,98611000,118737000,156674000,188535000,207208000
9,Other Expenses,800000,1700000,2300000,2900000,3200000,6200000,6100000,5600000,4600000,4668000,- -,- -,- -,- -,- -,- -,- -,769000,334000,-83000,-415000,335000,335000,335000,334000,571000,886000,499000,1843000,3849000,3586000,2311000
10,Operating Expenses,7600000,9800000,10200000,10700000,11400000,28000000,29700000,33800000,35500000,40381000,- -,- -,- -,- -,- -,- -,- -,46354000,50956000,48384000,44215000,57111000,63910000,70153000,74152000,79757000,97310000,99110000,120580000,160523000,192121000,209519000
11,COGS and Expenses,62300000,90800000,104000000,105700000,82700000,259200000,302500000,419800000,445000000,462279000,- -,- -,- -,- -,- -,- -,- -,587222000,576880000,603645000,570572000,751901000,944216000,848005000,885705000,1019097000,1105074000,1377423000,1484689000,2017524000,2163660000,2382827000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234000,1001000,218000,58000,53000,2000,9000,106000,25000,5000,4000,24000,4000,9000,70000
13,Interest Expense (Gain),200000,400000,300000,400000,100000,1800000,1800000,- -,2200000,- -,- -,- -,- -,- -,- -,- -,- -,1694000,1701000,852000,1054000,544000,852000,727000,722000,741000,1299000,2603000,3652000,6225000,4563000,1799000
14,Depreciation and Amortization,-800000,-1700000,-2300000,-2900000,-3200000,-6200000,-6100000,-5600000,-4600000,-4668000,- -,- -,- -,- -,- -,- -,- -,10668000,11146000,13525000,16290000,19511000,25156000,29195000,33423000,38029000,39122000,38576000,39913000,44516000,46453000,46205000
15,EBITDA,3000000,3400000,3800000,-300000,500000,1300000,1600000,5000000,10500000,9980000,- -,- -,- -,- -,- -,- -,- -,9096000,51975000,41058000,42709000,49112000,80698000,84794000,92095000,83069000,78766000,65819000,86426000,102659000,132401000,164314000
16,EBITDA ratio,0.0456,0.0354,0.0345,-0.0028,0.0058,0.0049,0.0052,0.0116,0.0229,0.0209,- -,- -,- -,- -,- -,- -,- -,0.0149,0.0844,0.0651,0.0715,0.0629,0.0808,0.0939,0.0976,0.0782,0.0689,0.0469,0.0564,0.0496,0.0589,0.0658
17,Operating Income,3500000,5300000,6300000,2800000,4100000,7800000,8100000,11500000,14300000,15000000,- -,- -,- -,- -,- -,- -,- -,23092000,40040000,27523000,26505000,29629000,55762000,55617000,58404000,44841000,38754000,29558000,50312000,57178000,86545000,118560000
18,Operating Income ratio,0.0532,0.0552,0.0571,0.0258,0.0472,0.0292,0.0261,0.0267,0.0311,0.0314,- -,- -,- -,- -,- -,- -,- -,0.0378,0.0650,0.0436,0.0444,0.0380,0.0558,0.0616,0.0619,0.0422,0.0339,0.0211,0.0329,0.0276,0.0385,0.0475
19,Total Other Income Expenses (Gains),100000,-400000,-500000,-600000,-300000,-2100000,-1700000,-1500000,-1400000,220000,- -,- -,- -,- -,- -,- -,- -,-26358000,-912000,-842000,-1140000,-572000,-1072000,-745000,-454000,-542000,-409000,-4918000,-7244000,-6736000,-5160000,-2254000
20,Income Before Tax,3600000,4900000,5800000,2200000,3800000,5700000,6400000,10000000,12900000,15220000,- -,- -,- -,- -,- -,- -,- -,-3266000,39128000,26681000,25365000,29057000,54690000,54872000,57950000,44299000,38345000,24640000,43068000,50442000,81385000,116306000
21,Income Before Tax Ratio,0.0547,0.0510,0.0526,0.0203,0.0438,0.0213,0.0206,0.0232,0.0281,0.0319,- -,- -,- -,- -,- -,- -,- -,-0.0054,0.0635,0.0423,0.0425,0.0372,0.0547,0.0608,0.0614,0.0417,0.0336,0.0176,0.0281,0.0244,0.0362,0.0466
22,Income Tax expense (Gain),100000,500000,2200000,600000,1500000,2300000,2400000,4000000,5000000,6088000,- -,- -,- -,- -,- -,- -,- -,-64000,15495000,9446000,9243000,10759000,20428000,20113000,21406000,16997000,16914000,3486000,11774000,14228000,22626000,31300000
23,Net Income,3500000,4200000,3600000,1600000,2100000,3400000,3500000,6600000,7900000,8560000,- -,- -,- -,- -,- -,- -,- -,-3202000,23633000,17235000,16122000,18298000,34262000,34759000,36544000,27302000,21431000,21154000,31087000,37690000,58759000,85010000
24,Net Income ratio,0.0532,0.0437,0.0326,0.0147,0.0242,0.0127,0.0113,0.0153,0.0172,0.0179,- -,- -,- -,- -,- -,- -,- -,-0.0052,0.0384,0.0273,0.0270,0.0234,0.0343,0.0385,0.0387,0.0257,0.0188,0.0151,0.0203,0.0182,0.0261,0.0340
25,EPS,0.18,0.21,0.18,0.08,0.11,0.17,0.18,0.33,0.40,0.43,- -,- -,- -,- -,- -,- -,- -,-0.19,1.20,0.87,0.81,0.90,1.67,1.65,1.73,1.33,1.25,1.30,1.89,2.27,3.52,5.04
26,EPS Diluted,0.17,0.20,0.17,0.08,0.10,0.16,0.17,0.32,0.38,0.41,- -,- -,- -,- -,- -,- -,- -,-0.19,1.14,0.83,0.78,0.87,1.60,1.61,1.69,1.30,1.23,1.28,1.87,2.26,3.48,4.95
27,Weighted Average Shares Outstanding,19712811,19712811,19712811,19712811,19712811,19712811,19712811,19712811,19712811,19712811,- -,- -,- -,- -,- -,- -,- -,16540392,19712811,19755072,19883000,20151000,20391000,20821000,20922000,20577000,17109000,16273000,16441000,16587000,16684000,16868000
28,Weighted Average Shares Outstanding Diluted,20721074,20721074,20721074,20721074,20721074,20721074,20721074,20721074,20721074,20721074,- -,- -,- -,- -,- -,- -,- -,16540392,20706953,20702383,20782000,20993000,21172000,21431000,21466000,21038000,17461000,16496000,16585000,16699000,16890000,17167000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/700923/000104746909002567/0001047469-09-002567-index.html,https://www.sec.gov/Archives/edgar/data/700923/000104746910002207/0001047469-10-002207-index.html,https://www.sec.gov/Archives/edgar/data/700923/000104746911001844/0001047469-11-001844-index.htm,https://www.sec.gov/Archives/edgar/data/700923/000104746912002223/0001047469-12-002223-index.html,https://www.sec.gov/Archives/edgar/data/700923/000104746913002282/0001047469-13-002282-index.html,https://www.sec.gov/Archives/edgar/data/700923/000104746914001830/0001047469-14-001830-index.htm,https://www.sec.gov/Archives/edgar/data/700923/000114420415015357/v396871_10k.htm,https://www.sec.gov/Archives/edgar/data/700923/000114420416085692/0001144204-16-085692-index.html,https://www.sec.gov/Archives/edgar/data/700923/000114420417013721/0001144204-17-013721-index.html,https://www.sec.gov/Archives/edgar/data/700923/000114420418013353/0001144204-18-013353-index.html,https://www.sec.gov/Archives/edgar/data/700923/000114420419012547/0001144204-19-012547-index.html,https://www.sec.gov/Archives/edgar/data/700923/000110465920029253/0001104659-20-029253-index.html,https://www.sec.gov/Archives/edgar/data/700923/000070092321000007/0000700923-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/700923/000070092322000007/0000700923-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
