,https://roic.ai/company/AMH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,4540000,139032000,398874000,630576000,878889000,960399000,1072855000,1143378000,1182836000,1303882000
2,COGS,- -,3590000,73752000,188373000,295925000,386474000,424786000,487478000,520762000,540159000,587070000
3,Gross Profit,- -,950000,65280000,210501000,334651000,492415000,535613000,585377000,622616000,642677000,716812000
4,Gross Profit Ratio,- -,0.2093,0.4695,0.5277,0.5307,0.5603,0.5577,0.5456,0.5445,0.5433,0.5498
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,8206000,16276000,24533000,28031000,34628000,34732000,36575000,43206000,48517000,56444000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,8206000,16276000,24533000,28031000,34628000,34732000,36575000,43206000,48517000,56444000
9,Other Expenses,- -,2111000,70987000,165516000,242848000,298677000,297290000,318685000,329293000,401750000,372848000
10,Operating Expenses,- -,10317000,87263000,190049000,270879000,333305000,332022000,355260000,372499000,450267000,429292000
11,COGS and Expenses,- -,13907000,161015000,378422000,566804000,719779000,756808000,842738000,893261000,931829000,1016362000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,370000,19881000,89413000,130847000,112620000,122900000,127114000,117038000,114893000
14,Depreciation and Amortization,- -,2111000,70987000,165516000,242848000,298677000,297290000,318685000,329293000,343153000,361697000
15,EBITDA,- -,-8125000,39046000,137340000,269960000,436219000,490909000,549858000,597446000,600565000,665682000
16,EBITDA ratio,- -,-1.7896,0.2808,0.3443,0.4281,0.4963,0.5112,0.5125,0.5225,0.5077,0.5105
17,Operating Income,- -,-10236000,-16207000,-21815000,-45218000,16820000,203591000,- -,- -,- -,- -
18,Operating Income ratio,- -,-2.2546,-0.1166,-0.0547,-0.0717,0.0191,0.2120,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-3867000,-11277000,-2730000,-6374000,-127099000,-117679000,-93857000,-96178000,- -
20,Income Before Tax,- -,-10236000,-20074000,-33092000,-47948000,10446000,76492000,112438000,156260000,154829000,210559000
