,https://roic.ai/company/COTY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,3482900000,4086100000,4611300000,4649100000,4551600000,4395200000,4349100000,7650300000,9398000000,8648500000,4717800000,4629900000
2,COGS,1473200000,1640000000,1824000000,1860300000,1865700000,1757000000,1746000000,3028500000,3608400000,3306500000,1991200000,1861700000
3,Gross Profit,2009700000,2446100000,2787300000,2788800000,2685900000,2638200000,2603100000,4621800000,5789600000,5342000000,2726600000,2768200000
4,Gross Profit Ratio,0.5770,0.5986,0.6044,0.5999,0.5901,0.6002,0.5985,0.6041,0.6160,0.6177,0.5779,0.5979
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,1784100000,2113800000,2399500000,2373900000,2306000000,2140800000,2107300000,4335100000,5362400000,4917400000,3353100000,2614400000
10,Operating Expenses,1784100000,2113800000,2399500000,2373900000,2306000000,2140800000,2107300000,4335100000,5362400000,4917400000,3353100000,2614400000
11,COGS and Expenses,3257300000,3753800000,4223500000,4234200000,4171700000,3897800000,3853300000,7363600000,8970800000,8223900000,5344300000,4476100000
12,Interest Income ,1000000,3300000,6400000,3900000,4100000,3400000,4100000,4400000,13600000,19200000,5400000,3500000
13,Interest Expense (Gain),52100000,77800000,85500000,77200000,69800000,71400000,112900000,219600000,287100000,302500000,233300000,231800000
14,Depreciation and Amortization,199200000,213400000,246000000,259600000,250700000,230900000,232000000,555100000,737000000,736000000,716500000,585300000
15,EBITDA,345400000,448000000,-30700000,621600000,243200000,508700000,461400000,93000000,830600000,-2754200000,-434600000,443800000
16,EBITDA ratio,0.0992,0.1096,-0.0067,0.1337,0.0534,0.1157,0.1061,0.0122,0.0884,-0.3185,-0.0921,0.0959
17,Operating Income,184500000,280900000,-209500000,394400000,25700000,395100000,254200000,-437800000,161200000,-3471500000,-1236500000,-48600000
18,Operating Income ratio,0.0530,0.0687,-0.0454,0.0848,0.0056,0.0899,0.0584,-0.0572,0.0172,-0.4014,-0.2621,-0.0105
19,Total Other Income Expenses (Gains),-64800000,-95900000,-121600000,-75700000,-69800000,-161800000,-115400000,-220200000,-313700000,-306600000,-231100000,-191200000
20,Income Before Tax,119700000,185000000,-331100000,318700000,-44100000,233300000,138800000,-658000000,-152500000,-3778100000,-1467600000,-239800000
21,Income Before Tax Ratio,0.0344,0.0453,-0.0718,0.0686,-0.0097,0.0531,0.0319,-0.0860,-0.0162,-0.4369,-0.3111,-0.0518
22,Income Tax expense (Gain),32400000,95100000,-37800000,116800000,20100000,-26100000,-40400000,-259500000,-24700000,-8500000,-377700000,-172000000
23,Net Income,61700000,61700000,-324400000,168000000,-97400000,232500000,156900000,-422200000,-168800000,-3784200000,-1006700000,-201300000
24,Net Income ratio,0.0177,0.0151,-0.0703,0.0361,-0.0214,0.0529,0.0361,-0.0552,-0.0180,-0.4376,-0.2134,-0.0435
25,EPS,0.16,0.16,-0.85,0.44,-0.26,0.66,0.45,-0.66,-0.23,-5.04,-1.33,-0.40
26,EPS Diluted,0.16,0.16,-0.85,0.42,-0.26,0.64,0.44,-0.66,-0.23,-5.04,-1.33,-0.40
27,Weighted Average Shares Outstanding,382830520,382830520,382830520,381700000,381700000,353300000,345500000,642800000,749700000,751200000,759100000,764800000
28,Weighted Average Shares Outstanding Diluted,382830520,382830520,382830520,396400000,381700000,362900000,354200000,642800000,749700000,751200000,759100000,764800000
