,https://roic.ai/company/NCSM,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,114005000,98479000,201634000,226963000,205485000,106977000,118502000
2,COGS,81984000,79400000,126443000,126143000,118466000,68798000,140054000
3,Gross Profit,32021000,19079000,75191000,100820000,87019000,38179000,-21552000
4,Gross Profit Ratio,0.2809,0.1937,0.3729,0.4442,0.4235,0.3569,-0.1819
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,64707000,82813000,88554000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,64707000,82813000,88554000,- -,49094000
9,Other Expenses,37804000,37061000,- -,- -,- -,59425000,- -
10,Operating Expenses,37804000,37061000,64707000,82813000,88554000,59425000,49094000
11,COGS and Expenses,119788000,116461000,191150000,208956000,207020000,128223000,70027000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),8064000,6286000,4306000,1963000,1925000,1796000,-733000
14,Depreciation and Amortization,27271000,25567000,27651000,17837000,10436000,5891000,4501000
15,EBITDA,47136000,5108000,34729000,-193569000,-9710000,-57695000,252000
16,EBITDA ratio,0.4135,0.0519,0.1722,-0.8529,-0.0473,-0.5393,0.0021
17,Operating Income,-5783000,-17982000,4959000,-206664000,-9491000,-71440000,-5120000
18,Operating Income ratio,-0.0507,-0.1826,0.0246,-0.9106,-0.0462,-0.6678,-0.0432
19,Total Other Income Expenses (Gains),17584000,-8763000,-2997000,-1619000,-2575000,24551000,1604000
20,Income Before Tax,11801000,-26745000,1962000,-208283000,-12066000,-46889000,-3516000
21,Income Before Tax Ratio,0.1035,-0.2716,0.0097,-0.9177,-0.0587,-0.4383,-0.0297
22,Income Tax expense (Gain),-16224000,-8818000,670000,-23052000,10752000,-7783000,263000
23,Net Income,28025000,-17927000,2102000,-190317000,-32823000,-57599000,-3779000
24,Net Income ratio,0.2458,-0.1820,0.0104,-0.8385,-0.1597,-0.5384,-0.0319
25,EPS,11.66,-7.92,1.00,-85.00,-14.00,-24.37,-1.98
26,EPS Diluted,11.66,-7.92,1.00,-85.00,-14.00,-24.37,-1.98
27,Weighted Average Shares Outstanding,2266261,2266261,2024200,2239400,2332150,2364000,2396000
28,Weighted Average Shares Outstanding Diluted,2266261,2266261,2179150,2239400,2332150,2364000,2396000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692427/000169242718000015/0001692427-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242719000012/0001692427-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242720000010/0001692427-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242721000007/0001692427-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1692427/000169242722000008/0001692427-22-000008-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,9545000,18275000,33809000,25131000,11243000,15545000,22168000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9545000,18275000,33809000,25131000,11243000,15545000,22168000
34,Net Receivables,28579000,35169000,49249000,54669000,46988000,30283000,24392000
