,https://roic.ai/company/GPMT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,8784000,49397000,74020000,91607000,106815000,104926000,87535000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1178000,13914000,9737000,12509000,16927000,15786000,21464000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1178000,13914000,9737000,12509000,16927000,15786000,21464000
9,Other Expenses,- -,- -,12336000,18221000,22073000,- -,- -
10,Operating Expenses,- -,- -,22073000,30730000,39000000,- -,- -
11,COGS and Expenses,8649000,14656000,22073000,30730000,- -,- -,- -
12,Interest Income ,9139000,60828000,117837000,183880000,246257000,237713000,198288000
13,Interest Expense (Gain),477000,11029000,42463000,91523000,136982000,112935000,105580000
14,Depreciation and Amortization,- -,- -,- -,19000,266000,- -,- -
15,EBITDA,685000,46375000,95764000,154615000,207458000,73089000,174125000
16,EBITDA ratio,0.0780,0.9388,1.2938,1.6878,1.9422,0.6966,1.9892
17,Operating Income,504000,46375000,95764000,-30730000,- -,- -,68545000
18,Operating Income ratio,0.0574,0.9388,1.2938,-0.3355,- -,- -,0.7831
19,Total Other Income Expenses (Gains),-296000,-11029000,-42463000,93803000,- -,- -,- -
20,Income Before Tax,208000,35346000,53301000,63073000,70210000,-39846000,68545000
21,Income Before Tax Ratio,0.0237,0.7155,0.7201,0.6885,0.6573,-0.3798,0.7831
22,Income Tax expense (Gain),70000,-11000,-4000,-2000,-4000,593000,192000
23,Net Income,138000,35357000,53305000,63075000,70214000,-40439000,68353000
24,Net Income ratio,0.0157,0.7158,0.7201,0.6885,0.6573,-0.3854,0.7809
25,EPS,0.00,0.82,1.23,1.45,1.32,-0.73,1.24
26,EPS Diluted,0.00,0.82,1.23,1.42,1.32,-0.73,1.23
27,Weighted Average Shares Outstanding,43235103,43235103,43234671,43445384,53087395,55156482,54593499
28,Weighted Average Shares Outstanding Diluted,43235103,43235103,43234671,51999365,53087395,55156482,54929070
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1703644/000170364418000018/0001703644-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364419000033/0001703644-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364420000010/0001703644-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1703644/000170364421000047/0001703644-21-000047-index.htm,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,56088000,56019000,107765000,91700000,80281000,261419000,191931000
32,Short-Term Investments,- -,12686000,12798000,12606000,12830000,- -,- -
33,Cash and Short-Term Investments,56088000,68705000,120563000,104306000,93111000,261419000,191931000
34,Net Receivables,3876000,11734000,7105000,10268000,11323000,12388000,10716000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,250000,-12426000,-9455000,19117000,-24153000,-12388000,- -
