,https://roic.ai/company/TGA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,100000,100000,100000,100000,100000,300000,800000,1101726,1500000,1100000,1105965,2700000,8600000,13300000,17600000,31600000,58900000,70400000,67800000,123400000,102800000,157200000,248200000,318100000,315700000,284165000,92895000,63807000,148572000,176797000,140567000,188771000
2,COGS,- -,- -,100000,- -,- -,- -,- -,100000,100000,220345,200000,200000,276491,500000,1500000,1800000,3700000,7100000,10300000,11100000,11100000,19300000,24800000,26900000,36700000,52400000,65800000,76468000,52696000,40335000,51005000,53298000,50626000,169607000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,200000,700000,881381,1300000,900000,829474,2200000,7100000,11500000,13900000,24500000,48600000,59300000,56700000,104100000,78000000,130300000,211500000,265700000,249900000,207697000,40199000,23472000,97567000,123499000,89941000,19164000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.6667,0.8750,0.8000,0.8667,0.8182,0.7500,0.8148,0.8256,0.8647,0.7898,0.7753,0.8251,0.8423,0.8363,0.8436,0.7588,0.8289,0.8521,0.8353,0.7916,0.7309,0.4327,0.3679,0.6567,0.6985,0.6398,0.1015
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,400000,100000,- -,27000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,800000,- -,1100000,600000,- -,- -,- -,- -,- -,- -,- -,11427000,14588000,- -,28206000,27569000,29866000,21309000,17567000,16046000,18688000,16611000,11990000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4557000,- -,2495000,2103000,1287000,2111000
8,"Selling, General and Administrative Exp.",- -,- -,- -,200000,100000,200000,700000,800000,800000,807932,1230903,849507,552983,1139599,566809,820691,1206337,2974000,3544000,4674000,6743000,10213000,11427000,14588000,18893000,28206000,27569000,29866000,25866000,18442000,18541000,20791000,17898000,14101000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,100000,700000,514139,868872,1241586,414737,635400,2762000,4277000,6253000,10346000,16990000,18941000,31172000,35378000,47579000,34149000,35042000,-32000,36000,669000,- -,- -,256000,270000,215000,-382000
10,Operating Expenses,- -,- -,- -,200000,100000,200000,700000,900000,1500000,1322071,2099775,2091093,967720,1774999,3328809,5097691,7459337,13320000,20534000,23615000,37915000,45591000,59006000,48737000,55535000,28574000,27705000,30535000,25893000,18442000,18797000,21061000,18113000,13719000
11,COGS and Expenses,- -,- -,100000,200000,100000,200000,700000,1000000,1600000,1542416,7800000,8800000,1244211,2300000,4900000,6900000,11200000,20400000,30800000,34700000,37400000,64900000,83800000,75400000,104300000,132600000,173000000,229965000,207089000,121368000,188070000,123150000,111624000,183326000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467000,452000,362000,321000,683000,673000,108000,570000,471000,106000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13522,4424,16154,1173,56000,8000,- -,1450000,6163000,2461000,3317000,4983000,8006000,8021000,6462000,5425000,5344000,6233000,4715000,3888000,2125000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,-100000,-700000,514139,868873,1241587,414737,635400,2762000,4277000,6253000,10381000,17281000,19120000,31325000,37262000,47579000,33933000,35100000,46900000,49400000,51589000,42875000,29177000,40036000,34291000,34948000,- -
15,EBITDA,- -,- -,-900000,-100000,-100000,-100000,-800000,-1000000,-1500000,-220345,-5431127,-6458413,207369,1048922,6466424,10593154,12454173,21337000,45589000,54720000,58175000,107125000,63540000,114950000,191083000,230706000,201321000,122759000,-67858000,-40698000,-10648000,81023000,60939000,-61742000
16,EBITDA ratio,- -,- -,-9.0000,-1.0000,-1.0000,-1.0000,-8.0000,-3.3333,-1.8750,-0.2000,-3.6208,-5.8713,0.1875,0.3885,0.7519,0.7965,0.7076,0.6752,0.7740,0.7773,0.8580,0.8681,0.6181,0.7312,0.7699,0.7253,0.6377,0.4320,-0.7305,-0.6378,-0.0717,0.4583,0.4335,-0.3271
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,-734484,-6371733,-7776253,-138246,129013,3701377,6355249,5996277,11259000,28253000,35575000,34728000,61482000,- -,- -,- -,175809000,172768000,125573000,-28569000,-24135000,39527000,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.6667,-4.2478,-7.0693,-0.1250,0.0478,0.4304,0.4778,0.3407,0.3563,0.4797,0.5053,0.5122,0.4982,- -,- -,- -,0.5527,0.5473,0.4419,-0.3075,-0.3783,0.2660,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-800000,- -,- -,200000,- -,-200000,- -,- -,71733,76253,- -,270987,-1377,-55249,203723,-359000,-53000,25000,-13728000,-6082000,-5700000,-4200000,7100000,-9000,-28868000,-60865000,-87589000,-51084000,-96444000,-11630000,-6840000,-69312000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-734484,-6300000,-7700000,- -,400000,3700000,6300000,6200000,10900000,28200000,35600000,21000000,55400000,13400000,77700000,151000000,175800000,143900000,64708000,-116158000,-75219000,-56917000,42017000,22103000,-63867000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.6667,-4.2000,-7.0000,- -,0.1481,0.4302,0.4737,0.3523,0.3449,0.4788,0.5057,0.3097,0.4489,0.1304,0.4943,0.6084,0.5527,0.4558,0.2277,-1.2504,-1.1789,-0.3831,0.2377,0.1572,-0.3383
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,73448,- -,- -,- -,100000,600000,900000,300000,5000000,8400000,9400000,12600000,32200000,21900000,39800000,69600000,88100000,85400000,53226000,-10558000,12446000,21819000,26340000,26098000,13530000
23,Net Income,- -,- -,-900000,-100000,-100000,- -,-800000,-900000,-800000,-807932,-6300000,-7700000,-207368,300000,3100000,5400000,5900000,5900000,19900000,26200000,12800000,31500000,-8400000,37900000,81400000,87700000,58500000,11482000,-105600000,-87665000,-78736000,15677000,-3995000,-77397000
24,Net Income ratio,- -,- -,-9.0000,-1.0000,-1.0000,- -,-8.0000,-3.0000,-1.0000,-0.7333,-4.2000,-7.0000,-0.1875,0.1111,0.3605,0.4060,0.3352,0.1867,0.3379,0.3722,0.1888,0.2553,-0.0817,0.2411,0.3280,0.2757,0.1853,0.0404,-1.1368,-1.3739,-0.5300,0.0887,-0.0284,-0.4100
25,EPS,- -,- -,-0.70,-0.10,-0.06,-0.01,-0.02,-0.17,-0.12,-0.10,0.64,-0.42,-0.01,0.01,0.06,0.11,0.11,0.11,0.34,0.45,0.21,0.53,-0.13,0.57,1.12,1.20,0.79,0.15,-1.44,-1.21,-1.09,0.22,-0.06,-1.07
26,EPS Diluted,- -,- -,-0.70,-0.10,-0.06,-0.01,-0.02,-0.17,-0.12,-0.10,0.64,-0.42,-0.01,0.01,0.06,0.10,0.11,0.10,0.33,0.43,0.21,0.52,-0.13,0.55,1.09,1.16,0.65,-0.02,-1.44,-1.21,-1.09,0.22,-0.06,-1.07
