,https://roic.ai/company/TOMZ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,10335,499172,357167,208399,- -,1166457,2248340,4191780,6343430,4993670,5584610,6347160,25027637,8048247
2,COGS,- -,- -,- -,200619,145296,137159,- -,480678,873990,1644040,2610500,1927770,2467110,2433240,9985046,3461556
3,Gross Profit,- -,- -,10335,298553,211871,71240,- -,685779,1374350,2547740,3732930,3065900,3117500,3913920,15042591,4586691
4,Gross Profit Ratio,- -,- -,1.0000,0.5981,0.5932,0.3418,- -,0.5879,0.6113,0.6078,0.5885,0.6140,0.5582,0.6166,0.6010,0.5699
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,127547,155980,100320,184260,454090,916000,340580,455046,572700
6,General and Administrative Exp.,22559,- -,22738246,16363818,2495479,- -,- -,- -,4378440,4457190,6024400,5557610,4496190,4813720,8111551,6642456
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1247444,1674466
8,"Selling, General and Administrative Exp.",22559,- -,22738246,16363818,2495479,- -,- -,- -,4378440,4457190,6024400,5557610,4496190,4813720,9358995,8316922
9,Other Expenses,- -,- -,- -,-31873683,-902500,859676,1647283,2006405,650141,975858,893422,498275,775528,842861,719760,621279
10,Operating Expenses,- -,- -,22738246,-15509865,1592979,859676,1647283,2133952,5184561,5533368,7102082,6509975,6187718,5997161,10533801,9510901
11,COGS and Expenses,22559,- -,22738246,-14406746,1738275,996835,- -,2133952,6058550,7177410,9712580,8437750,8654830,8430400,20518847,12972457
12,Interest Income ,- -,- -,- -,2109,- -,- -,- -,- -,- -,- -,- -,1800,6928,3045,2915,1076
13,Interest Expense (Gain),- -,- -,17668,9482,34275,33518,126199,3555917,507956,253700,- -,197535,259969,217534,43538,1034
14,Depreciation and Amortization,- -,- -,32987,94090,85921,70128,40951,318264,470328,499344,586384,607127,634671,904906,918975,294665
15,EBITDA,-22559,- -,-22694924,14272911,-1422983,-721234,- -,-1784131,1246724,-11423276,-2570876,-2835148,-2335820,-1175290,5430679,-4213886
16,EBITDA ratio,-Infinity,- -,-2195.9288,28.5932,-3.9841,-3.4608,- -,-1.5295,0.5545,-2.7252,-0.4053,-0.5677,-0.4183,-0.1852,0.2170,-0.5236
17,Operating Income,- -,- -,-22727911,14905918,-1381108,-788436,-1450810,-1448173,-3810211,-2985624,-3369150,-3444080,-3070219,-2083244,4508789,-4924210
18,Operating Income ratio,- -,- -,-2199.1206,29.8613,-3.8668,-3.7833,-Infinity,-1.2415,-1.6947,-0.7123,-0.5311,-0.6897,-0.5498,-0.3282,0.1802,-0.6118
19,Total Other Income Expenses (Gains),- -,- -,- -,-1411950,-123540,-38074,- -,-4210139,4078651,-9190696,211890,-195730,-160241,-214486,-40622,414625
20,Income Before Tax,- -,- -,- -,- -,- -,-826510,- -,-5658312,268440,-12176320,-3157260,-3639810,-3230460,-2297730,4468167,-4509585
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-3.9660,- -,-4.8509,0.1194,-2.9048,-0.4977,-0.7289,-0.5785,-0.3620,0.1785,-0.5603
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000,-74086
23,Net Income,-22559,- -,-22745579,14169339,-1543179,-824880,- -,-5658312,268440,-12176320,-3157260,-3639810,-3230460,-2297730,4391166,-4435499
24,Net Income ratio,-Infinity,- -,-2200.8301,28.3857,-4.3206,-3.9582,- -,-4.8509,0.1194,-2.9048,-0.4977,-0.7289,-0.5785,-0.3620,0.1755,-0.5511
25,EPS,-4.80,- -,-5.28,3.20,-0.32,-0.08,-0.16,-0.56,0.03,-0.96,-0.24,-0.24,-0.24,-0.16,0.27,-0.27
26,EPS Diluted,-4.80,- -,-5.28,3.12,-0.32,-0.08,-0.16,-0.56,0.02,-0.96,-0.24,-0.24,-0.24,-0.16,0.23,-0.24
27,Weighted Average Shares Outstanding,4235,- -,4298941,4358001,4774269,7751762,8783858,9684291,10160128,12855023,15069637,15171575,15446834,15586257,16512126,16512126
28,Weighted Average Shares Outstanding Diluted,4235,- -,4298941,4503001,4774269,7751762,8783858,9684291,15924873,12855023,15069637,15171575,15446834,15586257,18757509,18757509
29,SEC Link,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/314227/000117002213000002/0001170022-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/314227/000135448814001380/0001354488-14-001380-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000135448815001314/0001354488-15-001314-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000135448816006793/0001354488-16-006793-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495417002686/0001654954-17-002686-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495418003328/0001654954-18-003328-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495419003856/0001654954-19-003856-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495420003413/0001654954-20-003413-index.html,https://www.sec.gov/Archives/edgar/data/314227/000165495421003525/0001654954-21-003525-index.htm,https://www.sec.gov/Archives/edgar/data/314227/000165495422004048/0001654954-22-004048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,367697,10000,60000,- -,70000,780000,160560,5916070,948320,4550000,2004940,897220,5198842,5317443
