,https://roic.ai/company/SSTI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,11791000,15507000,23763000,34753000,40752000,45734000,58155000
2,COGS,8304000,9549000,11370000,14846000,16409000,18525000,25636000
3,Gross Profit,3487000,5958000,12393000,19907000,24343000,27209000,32519000
4,Gross Profit Ratio,0.2957,0.3842,0.5215,0.5728,0.5973,0.5949,0.5592
5,Research and Development Exp.,3359000,4093000,4159000,4987000,5344000,5614000,7035000
6,General and Administrative Exp.,1807000,2362000,5595000,8425000,7415000,9740000,14074000
7,Selling and Marketing Exp.,3841000,4475000,6179000,8377000,9989000,10328000,15479000
8,"Selling, General and Administrative Exp.",5648000,6837000,11774000,16802000,17404000,20068000,29553000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9007000,10930000,15933000,21789000,22748000,25682000,36588000
11,COGS and Expenses,17311000,20479000,27303000,36635000,39157000,44207000,62224000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2264000,2551000,3121000,3917000,4982000,5586000,6827000
15,EBITDA,-3927000,-4309000,-6699000,1179000,6739000,6721000,2452000
16,EBITDA ratio,-0.3331,-0.2779,-0.2819,0.0339,0.1654,0.1470,0.0422
17,Operating Income,-5520000,-4972000,-4333000,-2568000,1595000,1293000,-4069000
18,Operating Income ratio,-0.4682,-0.3206,-0.1823,-0.0739,0.0391,0.0283,-0.0700
19,Total Other Income Expenses (Gains),-671000,-1888000,-5487000,-170000,162000,-158000,-306000
20,Income Before Tax,-6191000,-6860000,-9820000,-2738000,1757000,1135000,-4375000
21,Income Before Tax Ratio,-0.5251,-0.4424,-0.4132,-0.0788,0.0431,0.0248,-0.0752
22,Income Tax expense (Gain),- -,- -,160000,-13000,-41000,-90000,56000
23,Net Income,-6191000,-6860000,-9980000,-2725000,1798000,1225000,-4431000
24,Net Income ratio,-0.5251,-0.4424,-0.4200,-0.0784,0.0441,0.0268,-0.0762
25,EPS,-0.97,-1.01,-1.61,-0.26,0.16,0.11,-0.38
26,EPS Diluted,-0.97,-1.01,-1.61,-0.26,0.15,0.10,-0.38
27,Weighted Average Shares Outstanding,6368079,6292155,6197775,10569007,11302780,11408757,11584605
