,https://roic.ai/company/PFSI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,69229000,76659000,272965000,403232000,555534000,781647000,1038093000,1099983000,1129226000,1689383000,3977148000,3558060000
2,COGS,27729000,51883000,130609000,182220000,285948000,428280000,556744000,641366000,712369000,997472000,1486800000,1831124000
3,Gross Profit,41500000,24776000,142356000,221012000,269586000,353367000,481349000,458617000,416857000,691911000,2490348000,1726936000
4,Gross Profit Ratio,0.5995,0.3232,0.5215,0.5481,0.4853,0.4521,0.4637,0.4169,0.3692,0.4096,0.6262,0.4854
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5141000,7831000,11544000,22571000,26547000,40637000,53400000,92473000,114870000,129721000,209991000,130093000
7,Selling and Marketing Exp.,- -,346000,- -,9118000,- -,- -,- -,9118000,8207000,- -,- -,44806000
8,"Selling, General and Administrative Exp.",5141000,8177000,11544000,31689000,26547000,40637000,53400000,101591000,123077000,129721000,209991000,174899000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192854000
10,Operating Expenses,5141000,8177000,11544000,31689000,26547000,40637000,53400000,101591000,123077000,129721000,209991000,367753000
11,COGS and Expenses,32870000,60060000,142153000,213909000,312495000,468917000,610144000,742957000,835446000,1127193000,1696791000,2198877000
12,Interest Income ,-790000,1532000,-7879000,15632000,27771000,49155000,81127000,143179000,216416000,- -,- -,- -
13,Interest Expense (Gain),790000,1875000,7879000,16673000,37257000,68537000,106206000,144520000,144597000,- -,- -,- -
14,Depreciation and Amortization,592000,9689000,12772000,30275000,42867000,155552000,306124000,281633000,258814000,609040000,225000,42940000
15,EBITDA,34424000,26263000,138974000,71309000,143688000,302952000,524512000,551297000,514359000,1138484000,2240834000,1402123000
