,https://roic.ai/company/RDHL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,23000,16000,12000,7014000,3000,101000,4007000,8360000,6291000,64359000,85757000
2,COGS,- -,- -,- -,- -,1050000,- -,- -,2126000,2837000,2259000,36892000,49406000
3,Gross Profit,- -,- -,16000,12000,5964000,3000,101000,1881000,5523000,4032000,27467000,36351000
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,0.8503,1.0000,1.0000,0.4694,0.6606,0.6409,0.4268,0.4239
5,Research and Development Exp.,736000,5414000,6455000,8100000,12700000,17771000,25241000,32969000,24862000,17419000,16491000,29498000
6,General and Administrative Exp.,518000,2482000,2601000,2684000,4011000,4134000,5403000,20039000,19992000,29814000,66552000,76603000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8108000,11385000
8,"Selling, General and Administrative Exp.",518000,2482000,2601000,2684000,4011000,4134000,5403000,20039000,19992000,29814000,74660000,87988000
9,Other Expenses,- -,- -,- -,- -,-100000,100000,- -,845000,- -,- -,- -,- -
10,Operating Expenses,1254000,7896000,9056000,10784000,16611000,22005000,30644000,53853000,44854000,47233000,91151000,117486000
11,COGS and Expenses,1733000,7896000,9056000,10784000,17661000,22005000,30644000,55979000,47691000,49492000,128043000,166892000
12,Interest Income ,2000,14000,119000,30000,119000,236000,282000,297000,279000,443000,176000,51000
13,Interest Expense (Gain),876000,65000,1483000,14000,22000,912000,1093000,6239000,216000,423000,12450000,16567000
14,Depreciation and Amortization,- -,15000,24000,24000,27000,36000,44000,81000,90000,1213000,8745000,18149000
15,EBITDA,-1796000,-15423000,-8819000,-10590000,-10662000,-20142000,-28233000,-39224000,-38514000,-40668000,-54978000,-63028000
16,EBITDA ratio,-Infinity,-670.5652,-551.1875,-882.5000,-1.5201,-6714.0000,-279.5347,-9.7889,-4.6069,-6.4645,-0.8542,-0.7350
