,https://roic.ai/company/SOI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,14205000,18157000,67395000,197196000,241687000,102976000,159189000
2,COGS,9184000,10139000,23522000,79324000,114586000,92785000,142669000
3,Gross Profit,5021000,8018000,43873000,117872000,127101000,10191000,16520000
4,Gross Profit Ratio,0.3535,0.4416,0.6510,0.5977,0.5259,0.0990,0.1038
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6234000,5157000,14286000,16758000,18586000,16481000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6234000,5157000,14286000,16758000,18586000,16481000,19264000
9,Other Expenses,- -,- -,4126000,1827000,585000,5782000,-2357000
10,Operating Expenses,6234000,5157000,18412000,18585000,19171000,22263000,16907000
11,COGS and Expenses,15418000,15296000,41934000,97909000,133757000,115048000,159576000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),22000,23000,97000,- -,- -,162000,- -
14,Depreciation and Amortization,2395000,3792000,6635000,18422000,26925000,27021000,27210000
15,EBITDA,1182000,6661000,36267000,73814000,95868000,-11127000,26968000
16,EBITDA ratio,0.0832,0.3669,0.5381,0.3743,0.3967,-0.1081,0.1694
17,Operating Income,-1213000,2861000,25461000,99287000,107930000,-59900000,-387000
18,Operating Income ratio,-0.0854,0.1576,0.3778,0.5035,0.4466,-0.5817,-0.0024
19,Total Other Income Expenses (Gains),-93000,-15000,22925000,-374000,-634000,-162000,-247000
20,Income Before Tax,-1306000,2846000,48386000,98913000,107296000,-60062000,-634000
21,Income Before Tax Ratio,-0.0919,0.1567,0.7179,0.5016,0.4439,-0.5833,-0.0040
22,Income Tax expense (Gain),67000,43000,25899000,12961000,16936000,-8969000,626000
23,Net Income,- -,2803000,3636000,42431000,52007000,-29341000,-868000
24,Net Income ratio,- -,0.1544,0.0540,0.2152,0.2152,-0.2849,-0.0055
25,EPS,- -,-0.23,0.28,1.60,1.69,-1.03,-0.03
26,EPS Diluted,- -,-0.23,0.27,1.59,1.69,-1.03,-0.03
27,Weighted Average Shares Outstanding,10100000,10100000,12117000,25678000,30141000,28915000,28787000
28,Weighted Average Shares Outstanding Diluted,10100000,10100000,12482000,25829000,30185000,28915000,28787000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1697500/000155837018001571/0001558370-18-001571-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750019000009/0001697500-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750020000006/0001697500-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750021000019/0001697500-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1697500/000169750022000011/0001697500-22-000011-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,6923000,3568000,63421000,25057000,66882000,60366000,36497000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6923000,3568000,63421000,25057000,66882000,60366000,36497000
34,Net Receivables,1709000,4604000,12979000,39746000,38554000,18243000,35020000
35,Inventory,1692000,1365000,7532000,10470000,7144000,954000,1654000
36,Other Current Assets,379000,309000,3622000,5492000,5002000,2169000,7897000
37,Total Current Assets,10703000,9846000,87554000,80765000,117582000,81732000,81068000
38,PP&E,46846000,54350000,151163000,296538000,314454000,250592000,244273000
39,Goodwill,13004000,13004000,17236000,17236000,17236000,13004000,13004000
40,Intangible Assets,- -,36000,5335000,4540000,3761000,2982000,2203000
41,Intangible Assets,13004000,13040000,22571000,21776000,20997000,15986000,15207000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,25512000,24624000,51414000,59805000,62942000
44,Other Non-Current Assets,- -,- -,260000,1454000,625000,3781000,2733000
45,Total Non-Current Assets,59850000,67390000,199506000,344392000,387490000,330164000,325155000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,70553000,77236000,287060000,425157000,505072000,411896000,406223000
48,Accounts Payable,664000,705000,5000000,9127000,3824000,6863000,9927000
49,Short-Term Debt,- -,- -,- -,- -,- -,647,748000
50,Tax Payable,- -,- -,- -,- -,- -,606,3119000
51,Deferred Revenue,- -,- -,- -,12990000,- -,- -,- -
52,Other Current Liabilities,2008000,2370000,15501000,13208000,16563000,13343353,18624000
53,Total Current Liabilities,2672000,3075000,20501000,35325000,20387000,20207000,29299000
54,Long-Term Debt,174000,2602000,- -,13000000,- -,- -,6772000
55,Deferred Revenue,- -,- -,- -,12468000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,239000,213000,24999000,56936000,75027000,76210000,72276000
58,Total Non-Current Liabilities,413000,2815000,24999000,82404000,75027000,76210000,79048000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,264000,239000,212000,189000,8611000,8196000,7520000
61,Total Liabilities,3085000,5890000,45500000,117729000,95414000,96417000,108347000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,68192000,69267000,190000,271000,308000,290000,312000
64,Retained Earnings,-724000,2079000,3636000,43317000,74222000,20549000,5925000
65,Other Comprehensive Income/Loss,-3908000,-8374000,-15264000,-33344000,-59520000,- -,- -
66,Other Total Stockholders Equity,3908000,8374000,136730000,158277000,248837000,180415000,196912000
67,Total Stockholders Equity,67468000,71346000,125292000,168521000,263847000,201254000,203149000
68,Total Liabilities And Stockholders Equity,70553000,77236000,170792000,286250000,359261000,297671000,311496000
69,Minority Interest,- -,- -,116268000,138907000,145811000,114225000,94727000
70,Total Liabilities & Equity,70553000,77236000,287060000,425157000,505072000,411896000,406223000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1697500/000155837018001571/0001558370-18-001571-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750019000009/0001697500-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750020000006/0001697500-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750021000019/0001697500-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1697500/000169750022000011/0001697500-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,2803000,3636000,42431000,52007000,-29341000,-868000
74,Depreciation and Amortization,2395000,3792000,6635000,18422000,26925000,27021000,27210000
75,Deferred Income Tax,- -,- -,25652000,12277000,16122000,-9153000,132000
76,Stock Based Compensation,64000,127000,3701000,3861000,4475000,4735000,5210000
77,Change in Working Capital,1048000,-1260000,60282000,-21613000,51755000,-35670000,-15335000
78,Accounts Receivable,1047000,-3065000,-8469000,-26766000,853000,17400000,-15242000
79,Inventory,1794000,327000,-7532000,-10470000,-2744000,-235000,-978000
80,Accounts Payable,-1515000,41000,4224000,4469000,-3582000,3051000,2959000
81,Other Working Capital,8031000,6771000,67053000,45440000,97195000,61525000,- -
82,Other Non-Cash Items,-1351000,-941000,-73177000,60987000,-36413000,86261000,124000
83,Cash Provided by Operating Activities,2156000,4521000,26729000,116365000,114871000,43853000,16473000
84,CAPEX,-27790000,-10935000,-93984000,-161085000,-34852000,-4661000,-19638000
85,Acquisitions Net,-73000,- -,-5000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,4000,-36000,-72000,534000,850000,886000,114000
89,Cash Used for Investing Activites,-27859000,-10935000,-98984000,-160545000,-34002000,-3775000,-19524000
90,Debt Repayment,-279000,-236000,-5978000,-28000,-13035000,-35000,-30000
91,Common Stock Issued,- -,- -,155759000,- -,- -,- -,- -
92,Common Stock Repurchased,-5000,- -,- -,-1146000,-4361000,-27171000,- -
93,Dividends Paid,- -,- -,-25818000,-4713000,-19260000,-19176000,-19358000
94,Other Financing Activites,8162000,3295000,8145000,11703000,-2388000,-212000,-1430000
95,Cash Used/Provided by Financing Activities,7878000,3059000,132108000,5816000,-39044000,-46594000,-20818000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-17825000,-3355000,59853000,-38364000,41825000,-6516000,-23869000
98,Cash at the End of Period,6923000,3568000,63421000,25057000,66882000,60366000,36497000
99,Cash at the Beginning of Period,24748000,6923000,3568000,63421000,25057000,66882000,60366000
100,Free Cash Flow,-25634000,-6414000,-67255000,-44720000,80019000,39192000,-3165000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1697500/000155837018001571/0001558370-18-001571-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750019000009/0001697500-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750020000006/0001697500-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1697500/000169750021000019/0001697500-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1697500/000169750022000011/0001697500-22-000011-index.htm
102,false,,,,,,,
