,https://roic.ai/company/LQMT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4200000,3882000,13139000,16854000,17429000,16365000,27669000,29022000,22083000,14720000,33292000,972000,650000,1026000,603000,125000,480000,321000,532000,1373000,989000,811000
2,COGS,1983000,1924000,8679000,22188000,12168000,15129000,22418000,26459000,17131000,9097000,8207000,373000,354000,774000,483000,349000,553000,696000,1164000,832000,621000,628000
3,Gross Profit,2217000,1958000,4460000,-5334000,5261000,1236000,5251000,2563000,4952000,5623000,25085000,599000,296000,252000,120000,-224000,-73000,-375000,-632000,541000,368000,183000
4,Gross Profit Ratio,0.5279,0.5044,0.3394,-0.3165,0.3019,0.0755,0.1898,0.0883,0.2242,0.3820,0.7535,0.6163,0.4554,0.2456,0.1990,-1.7920,-0.1521,-1.1682,-1.1880,0.3940,0.3721,0.2256
5,Research and Development Exp.,455000,2057000,11825000,8853000,1467000,1120000,950000,1123000,1022000,1173000,1272000,1120000,943000,1156000,1596000,2047000,2342000,1962000,2429000,1342000,110000,84000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3798,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3798,4160000
9,Other Expenses,1449000,3970000,12767000,17784000,11591000,8534000,9962000,8273000,9529000,6740000,7137000,5956000,11150000,5157000,7463000,7010000,7472000,6265000,5899000,5424000,3794202,- -
10,Operating Expenses,1904000,6027000,24592000,26637000,13058000,9654000,10912000,9396000,10551000,7913000,8409000,7076000,12093000,6313000,9059000,9057000,9814000,8227000,8328000,6766000,3908000,4244000
11,COGS and Expenses,3887000,7951000,33271000,48825000,25226000,24783000,33330000,35855000,27682000,17010000,16616000,7449000,12447000,7087000,9542000,9406000,10367000,8923000,9492000,9263000,4529000,4872000
12,Interest Income ,- -,- -,510000,309000,37000,17000,23000,123000,3000,- -,6000,22000,23000,5000,24000,22000,- -,55000,259000,459000,378000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,5862000,5380000,90000,12408000,6749000,373000,4000,9000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,912000,2425000,4416000,6304000,6194000,9732000,8452000,1275000,1055000,361000,182000,186000,214000,301000,522000,527000,634000,1078000,1129000,402000,375000
15,EBITDA,-8813000,-22174000,-15804000,-29181000,-6422000,-5052000,-4790000,2812000,-5297000,7336000,3845000,6427000,-1431000,-7243000,-5872000,-6783000,-18208000,-8053000,-6355000,-6301000,-2240000,-3003000
16,EBITDA ratio,-2.0983,-5.7120,-1.2028,-1.7314,-0.3685,-0.3087,-0.1731,0.0969,-0.2399,0.4984,0.1155,6.6121,-2.2015,-7.0595,-9.7380,-54.2640,-37.9333,-25.0872,-11.9455,-4.5892,-2.2649,-3.7028
17,Operating Income,313000,-4069000,-20132000,-34839000,-7797000,-12905000,-5661000,-7481000,-2731000,-3671000,15710000,-6477000,-11797000,-6061000,-8939000,-9281000,-9887000,-8602000,-8960000,-7890000,-3505000,-4061000
18,Operating Income ratio,0.0745,-1.0482,-1.5322,-2.0671,-0.4474,-0.7886,-0.2046,-0.2578,-0.1237,-0.2494,0.4719,-6.6636,-18.1492,-5.9074,-14.8242,-74.2480,-20.5979,-26.7975,-16.8421,-5.7465,-3.5440,-5.0074
19,Total Other Income Expenses (Gains),-188000,- -,347000,1115000,-614000,-2387000,-8861000,2225000,-3420000,4021000,-15254000,1286000,-2228000,-8187000,2381000,1964000,-8865000,-88000,1526000,459000,862000,683000
20,Income Before Tax,125000,- -,-19785000,-33724000,- -,- -,-14522000,-5256000,-6151000,350000,456000,-5191000,-14025000,-14248000,-6558000,-7317000,-18752000,-8690000,-7434000,-7431000,-2643000,-3378000
21,Income Before Tax Ratio,0.0298,- -,-1.5058,-2.0009,- -,- -,-0.5248,-0.1811,-0.2785,0.0238,0.0137,-5.3405,-21.5769,-13.8869,-10.8756,-58.5360,-39.0667,-27.0717,-13.9737,-5.4122,-2.6724,-4.1652
22,Income Tax expense (Gain),- -,- -,123000,8000,- -,- -,- -,- -,- -,168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000
23,Net Income,-8813000,-23086000,-18352000,-33605000,-12726000,-11246000,-14522000,-5640000,-6572000,251000,-1896000,6155000,-14025000,-14206000,-6546000,-7309000,-18744000,-8687000,-7433000,-7430000,-2642000,-3377000
24,Net Income ratio,-2.0983,-5.9469,-1.3968,-1.9939,-0.7302,-0.6872,-0.5248,-0.1943,-0.2976,0.0171,-0.0570,6.3323,-21.5769,-13.8460,-10.8557,-58.4720,-39.0500,-27.0623,-13.9718,-5.4115,-2.6714,-4.1640
25,EPS,-0.25,-0.69,-0.47,-0.81,-0.31,-0.27,-0.33,-0.12,-0.15,0.01,-0.03,0.05,-0.07,-0.04,-0.01,-0.02,-0.03,-0.01,-0.01,-0.01,-0.00,-0.00
26,EPS Diluted,-0.25,-0.69,-0.47,-0.81,-0.31,-0.27,-0.33,-0.12,-0.15,0.01,-0.03,0.03,-0.07,-0.04,-0.01,-0.02,-0.03,-0.01,-0.01,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,35079644,33323217,39046809,41487654,41610000,41833000,43809000,44730000,44735000,46084000,64965000,118523228,188298113,341451559,441439018,470955041,640157919,897273890,910546059,914352127,914449957,914449957
28,Weighted Average Shares Outstanding Diluted,35079644,33323217,39046809,41487654,41610000,41833000,43809000,44730000,44735000,214429000,64965000,163292496,188298113,341451559,441439018,470955041,640157919,897273890,910546059,914352127,914449957,914449957
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1141240/000114036112018391/0001140361-12-018391-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000114036113009347/0001140361-13-009347-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774914018084/0001437749-14-018084-index.htm,https://www.sec.gov/Archives/edgar/data/1141240/000143774915004069/0001437749-15-004069-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774916026976/0001437749-16-026976-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774917004289/0001437749-17-004289-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774918004036/0001437749-18-004036-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774919004072/0001437749-19-004072-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774920004697/0001437749-20-004697-index.html,https://www.sec.gov/Archives/edgar/data/1141240/000143774921005422/0001437749-21-005422-index.htm,https://www.sec.gov/Archives/edgar/data/1141240/000143774922007571/0001437749-22-007571-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,26003000,3129000,742000,1392000,144000,1180000,157000,151000,5049000,122000,7162000,2062000,10009000,2773000,58896000,41309000,35229000,19543000,1514000,4091000
32,Short-Term Investments,- -,- -,3068000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4415000,14720000,13852000
33,Cash and Short-Term Investments,- -,- -,29071000,3129000,742000,1392000,144000,1180000,157000,151000,5049000,122000,7162000,2062000,10009000,2773000,58896000,41309000,35229000,23958000,16234000,17943000
34,Net Receivables,- -,- -,6404000,4185000,1668000,2360000,3934000,5165000,2237000,1180000,1731000,241000,64000,215000,83000,30000,95000,157000,120000,303000,406000,147000
35,Inventory,- -,- -,2506000,5780000,2353000,1748000,3765000,2298000,820000,982000,1016000,- -,- -,- -,- -,83000,390000,391000,31000,12000,43000,35000
36,Other Current Assets,- -,- -,2142000,564000,1684000,609000,830000,708000,967000,594000,1264000,448000,689000,412000,374000,2416000,317000,331000,368000,327000,335000,510000
37,Total Current Assets,- -,- -,40123000,13658000,6447000,6109000,8673000,9351000,4181000,2907000,9060000,811000,7915000,2689000,10466000,5302000,59698000,42188000,35748000,24600000,17018000,18635000
38,PP&E,- -,- -,23505000,17958000,16434000,13437000,12095000,9730000,7021000,5668000,796000,162000,161000,249000,1118000,1370000,1139000,12465000,11767000,8819000,8614000,8295000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,969000,984000,1143000,1185000,1170000,1142000,1069000,1232000,1121000,968000,869000,764000,669000,570000,494000,408000,322000,239000,158000,- -
41,Intangible Assets,- -,- -,969000,984000,1143000,1185000,1170000,1142000,1069000,1232000,1121000,968000,869000,764000,669000,570000,494000,408000,322000,239000,158000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7074000,12768000,8267000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,408000,426000,4484000,832000,306000,2290000,969000,633000,4068000,52000,28000,401000,31000,31000,36000,14000,14000,599000,251000,408000
45,Total Non-Current Assets,- -,- -,24882000,19368000,22061000,15454000,13571000,13162000,9059000,7533000,5985000,1182000,1058000,1414000,1818000,1971000,1669000,12887000,12103000,16731000,21791000,16970000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,65005000,33026000,28508000,21563000,22244000,22513000,13240000,10440000,15045000,1993000,8973000,4103000,12284000,7273000,61367000,55075000,47851000,41331000,38809000,35605000
48,Accounts Payable,- -,- -,11174000,4274000,4969000,6530000,9802000,8056000,8563000,- -,- -,803000,154000,361000,155000,250000,331000,92000,253000,132000,205000,112000
49,Short-Term Debt,- -,- -,- -,1032000,5991000,1893000,17149000,8274000,15348000,2289000,480000,1712000,2365000,- -,- -,700000,- -,- -,- -,- -,- -,13852000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1397000,3018000,900000,1275000,202000,316000,40000,31000,8000,67000,- -,- -,- -,77000,13000,7000,31000,- -,- -,56000
52,Other Current Liabilities,- -,- -,1167000,4705000,4278000,6565000,4677000,5064000,985000,13671000,22752000,1028000,4404000,- -,705000,947000,3294000,365000,270000,775000,315000,-13606000
