,https://roic.ai/company/ASTI,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,1002674,1499729,1464346,2481489,3949911,1197163,1316477,5335545,6536992,1747356,642179,862412,638380,66613,608
2,COGS,- -,- -,3975079,10066055,- -,- -,- -,- -,- -,- -,9562528,5843872,2814782,1015796,490755,174588,1902
3,Gross Profit,- -,- -,-2972405,-8566326,1464346,2481489,3949911,1197163,1316477,5335545,-3025536,-4096516,-2172603,-153384,147625,-107975,-1295
4,Gross Profit Ratio,- -,- -,-2.9645,-5.7119,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-0.4628,-2.3444,-3.3832,-0.1779,0.2312,-1.6209,-2.1301
5,Research and Development Exp.,- -,319085,- -,- -,15508209,24354224,24121766,20728553,21342519,24514315,6711813,6627249,4820536,2794641,1310948,1165193,4140
6,General and Administrative Exp.,1204494,3056219,4953910,5669746,7694566,7453830,7130530,5008388,7390884,14356176,12363037,10304779,5598004,3244793,1846944,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1204494,3056219,4953910,5669746,7694566,7453830,7130530,5008388,7390884,14356176,12363037,10304779,5598004,3244793,1846944,- -,3298
9,Other Expenses,- -,- -,- -,- -,- -,1769480,- -,- -,- -,- -,5633428,3600007,1193535,377306,- -,1181378,- -
10,Operating Expenses,1204494,3375304,4953910,5669746,23202775,33577534,31252296,25736941,28733403,38870491,24708278,20532035,11612075,6416740,3157892,2346571,7438
11,COGS and Expenses,1204494,3375304,8928989,15735801,23202775,33577534,31252296,25736941,28733403,38870491,34270806,26375907,14426857,7432536,3891428,2521159,9398
12,Interest Income ,- -,275083,1423320,2145370,531697,42756,52915,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
