,https://roic.ai/company/GMBL,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16783914
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7861317
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8922597
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5316
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,353064,754149,1755799,3014473,4049714,24610511
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10038524
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,353064,754149,1755799,3014473,4049714,34649035
9,Other Expenses,- -,- -,- -,- -,134462,- -,- -,237680,290720,- -,- -
10,Operating Expenses,- -,- -,- -,- -,134462,353064,754149,1993479,3305193,4049714,34649035
11,COGS and Expenses,- -,- -,66893,134462,304260,331000,780160,2028330,3014470,4049714,42510352
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,3292,6289,57696,121,5586617,3152335,698973
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,665,12115,51243,20631,3578797
15,EBITDA,- -,- -,-66893,-134462,-300040,-344320,-779490,-2016210,-2963230,-4029083,-25906500
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.5435
17,Operating Income,- -,- -,-66893,-134462,-134462,-353064,-754149,-2028330,-3014473,-4049714,-25726438
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.5328
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-167688,15404,-83781,-330,-3357177,-6299303,-4457832
20,Income Before Tax,- -,- -,-66893,-134462,-302150,-337660,-837930,-2028660,-6371650,-10349017,-30184270
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.7984
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,9720,2398,-3811536
23,Net Income,- -,- -,-66893,-134462,-302150,-337660,-837930,-2028660,-6381370,-10351415,-26372734
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.5713
25,EPS,- -,- -,-0.03,-0.03,-0.07,-0.07,-0.15,-0.30,-1.05,-1.50,-1.68
26,EPS Diluted,- -,- -,-0.03,-0.03,-0.07,-0.07,-0.15,-0.30,-1.05,-1.50,-1.68
27,Weighted Average Shares Outstanding,- -,- -,2314404,4220021,4220021,4599072,4828982,5503550,5791174,6880321,15723618
