,https://roic.ai/company/PEN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,73141000,88848000,125510000,186095000,263317000,333764000,444938000,547405000,560412000,747590000
2,COGS,24178000,30972000,42668000,62037000,92488000,116622000,152405000,175441000,222237000,272208000
3,Gross Profit,48963000,57876000,82842000,124058000,170829000,217142000,292533000,371964000,338175000,475382000
4,Gross Profit Ratio,0.6694,0.6514,0.6600,0.6666,0.6488,0.6506,0.6575,0.6795,0.6034,0.6359
5,Research and Development Exp.,12548000,14084000,15575000,18027000,23875000,31661000,36165000,51723000,90049000,104552000
6,General and Administrative Exp.,- -,- -,- -,101852000,148304000,184316000,226385000,272733000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,101852000,148304000,184316000,226385000,272733000,- -,378331000
9,Other Expenses,32987000,44918000,64258000,- -,- -,- -,- -,- -,287068000,- -
10,Operating Expenses,45535000,59002000,79833000,119879000,172179000,215977000,262550000,324456000,377117000,482883000
11,COGS and Expenses,69713000,89974000,122501000,181916000,264667000,332599000,414955000,499897000,599354000,755091000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,1267000,938000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,677000,751000,1752000,2297000,3781000,6168000,8104000,12891000,16408000
15,EBITDA,3892000,-578000,3890000,5776000,1428000,4827000,8366000,59693000,-21572000,8567000
16,EBITDA ratio,0.0532,-0.0065,0.0310,0.0310,0.0054,0.0145,0.0188,0.1090,-0.0385,0.0115
17,Operating Income,3428000,-1126000,3009000,4179000,-1350000,1165000,-852000,47508000,-38942000,-7501000
18,Operating Income ratio,0.0469,-0.0127,0.0240,0.0225,-0.0051,0.0035,-0.0019,0.0868,-0.0695,-0.0100
19,Total Other Income Expenses (Gains),464000,-129000,130000,-155000,481000,1311000,2460000,2627000,924000,-3001000
20,Income Before Tax,3892000,-1255000,3139000,4024000,-869000,2476000,1608000,50135000,-38018000,-10502000
21,Income Before Tax Ratio,0.0532,-0.0141,0.0250,0.0216,-0.0033,0.0074,0.0036,0.0916,-0.0678,-0.0140
22,Income Tax expense (Gain),1934000,-5354000,894000,1659000,-15683000,-3611000,-4403000,3131000,-18761000,-13125000
23,Net Income,1958000,4099000,2245000,2365000,14814000,4657000,6601000,48458000,-15702000,5284000
24,Net Income ratio,0.0268,0.0461,0.0179,0.0127,0.0563,0.0140,0.0148,0.0885,-0.0280,0.0071
25,EPS,0.08,0.04,0.10,0.09,0.49,0.14,0.19,1.39,-0.44,0.07
26,EPS Diluted,0.08,0.04,0.09,0.08,0.44,0.13,0.18,1.34,-0.44,0.07
27,Weighted Average Shares Outstanding,24510785,24510785,22680810,11993429,30464583,32978065,34138176,34750706,35766892,36617961
28,Weighted Average Shares Outstanding Diluted,24510785,24510785,25037541,14219650,33478078,35319103,36086821,36265999,35766892,37611355
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321732/000162828016012417/0001628280-16-012417-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173217000084/0001321732-17-000084-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173218000038/0001321732-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173219000031/0001321732-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173220000047/0001321732-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000162828021002867/0001628280-21-002867-index.htm,https://www.sec.gov/Archives/edgar/data/1321732/000132173222000017/0001321732-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4131000,3290000,19547000,13236000,50637000,67850000,72779000,69670000,59379000
32,Short-Term Investments,- -,9545000,48253000,129257000,115517000,163954000,133039000,116610000,195162000,195496000
33,Cash and Short-Term Investments,- -,13676000,51543000,148804000,128753000,214591000,200889000,189389000,264832000,254875000
34,Net Receivables,- -,13152000,20566000,30050000,47871000,58007000,81896000,105901000,114608000,133940000
35,Inventory,- -,27067000,33451000,56761000,73012000,94901000,115741000,152992000,219527000,263504000
36,Other Current Assets,- -,8343000,9741000,8746000,14191000,14735000,12200000,14852000,18735000,29155000
37,Total Current Assets,- -,62238000,115301000,244361000,263827000,382234000,410726000,463134000,617702000,681474000
38,PP&E,- -,2031000,5181000,8951000,21464000,30899000,35407000,135453000,127426000,227087000
39,Goodwill,- -,- -,- -,- -,- -,8178000,7813000,7656000,8372000,166388000
40,Intangible Assets,- -,- -,- -,- -,- -,23778000,27245000,25407000,10639000,90618000
41,Intangible Assets,- -,- -,- -,- -,- -,31956000,35058000,33063000,19011000,257006000
42,Investments,- -,6000000,- -,- -,- -,3872000,- -,- -,- -,- -
43,Tax Assets,- -,424000,571000,10143000,22476000,26690000,32940000,31305000,50139000,65698000
44,Other Non-Current Assets,- -,454000,328000,393000,487000,1016000,875000,2946000,8705000,12985000
45,Total Non-Current Assets,- -,8909000,6080000,19487000,44427000,94433000,104280000,202767000,205281000,562776000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,71147000,121381000,263848000,308254000,476667000,515006000,665901000,822983000,1244250000
48,Accounts Payable,- -,1312000,2348000,2567000,4110000,6757000,8176000,15111000,14109000,13421000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,6028000,9980000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1093000,1591000,526000,344000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,13432000,16884000,25055000,31346000,44825000,57886000,75937000,85795000,99796000
53,Total Current Liabilities,- -,15837000,20823000,28148000,35800000,51582000,66062000,91048000,105932000,123197000
54,Long-Term Debt,- -,6000000,- -,- -,- -,- -,- -,- -,71249000,163568000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,3299000,4171000,4005000,4781000,- -
57,Other Non-Current Liabilities,- -,57372000,112928000,3178000,5907000,21378000,22358000,85235000,3233000,3558000
58,Total Non-Current Liabilities,- -,63372000,112928000,3178000,5907000,24677000,26529000,89240000,79263000,167126000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,82297000,77277000,173548000
61,Total Liabilities,- -,79209000,133751000,31326000,41707000,76259000,92591000,180288000,185195000,290323000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4000,5000,30000,31000,33000,34000,35000,36000,37000
64,Retained Earnings,- -,-14993000,-19840000,-17475000,-2661000,1996000,9064000,57522000,40622000,45906000
65,Other Comprehensive Income/Loss,- -,-2871000,-3489000,-2000000,-5000000,2000000,-2000000,-2000000,2541000,-2630000
66,Other Total Stockholders Equity,- -,9798000,10954000,251967000,274177000,396379000,415142000,430335000,598299000,910614000
67,Total Stockholders Equity,- -,-8062000,-12370000,232522000,266547000,400408000,422240000,485892000,641498000,953927000
68,Total Liabilities And Stockholders Equity,- -,71147000,121381000,263848000,308254000,476667000,514831000,666180000,826693000,1244250000
69,Minority Interest,- -,- -,- -,- -,- -,- -,175000,-279000,-3710000,- -
70,Total Liabilities & Equity,- -,71147000,121381000,263848000,308254000,476667000,515006000,665901000,822983000,1244250000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1321732/000162828016012417/0001628280-16-012417-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173217000084/0001321732-17-000084-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173218000038/0001321732-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173219000031/0001321732-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173220000047/0001321732-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000162828021002867/0001628280-21-002867-index.htm,https://www.sec.gov/Archives/edgar/data/1321732/000132173222000017/0001321732-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,4099000,2245000,2365000,14814000,4657000,6601000,48458000,-15702000,5284000
74,Depreciation and Amortization,- -,677000,751000,1752000,2297000,3781000,6168000,8104000,12891000,16408000
75,Deferred Income Tax,- -,-335000,-571000,-2961000,-12378000,-4288000,-6480000,1820000,-18818000,-14091000
76,Stock Based Compensation,- -,886000,1433000,7271000,14637000,17812000,18422000,21485000,25541000,65763000
77,Change in Working Capital,- -,-4995000,48077000,121735000,11814000,102625000,14012000,27422000,139684000,-66711000
78,Accounts Receivable,- -,-1550000,-7426000,-11063000,-14560000,-9118000,-25762000,-25029000,-8295000,-21344000
79,Inventory,- -,-3779000,-9444000,-25126000,-19737000,-18826000,-22288000,-41407000,-56981000,-51554000
80,Accounts Payable,- -,-451000,1299000,132000,1375000,1851000,1329000,6038000,-308000,-1565000
81,Other Working Capital,- -,46401000,94478000,216213000,228027000,330652000,344664000,372086000,511770000,3708000
82,Other Non-Cash Items,- -,-3728000,-58324000,-152441000,-43991000,-111896000,-9915000,-80637000,-176838000,2849000
83,Cash Provided by Operating Activities,- -,-3396000,-6389000,-22279000,-12807000,12691000,28808000,26652000,-33242000,9502000
84,CAPEX,- -,-798000,-3888000,-5474000,-13635000,-15032000,-9603000,-22109000,-24756000,-21180000
85,Acquisitions Net,- -,- -,- -,- -,- -,-9000000,-20000000,- -,- -,2919000
86,Purchases of Investments,- -,-6858000,-51342000,-135340000,-63346000,-194923000,-109609000,-77326000,-153061000,-126794000
87,Sales/Maturities of Investments,- -,6405000,18229000,54998000,77668000,141555000,139241000,95360000,76728000,123720000
88,Other Investing Activites,- -,- -,- -,- -,- -,-2753000,-414000,-8636000,-3060000,-400000
89,Cash Used for Investing Activites,- -,-1251000,-37001000,-85816000,687000,-77653000,-385000,-12711000,-104149000,-21735000
90,Debt Repayment,- -,- -,-6000000,- -,- -,-1079000,-404000,-2570000,-3418000,-1451000
91,Common Stock Issued,- -,- -,- -,124742000,- -,106267000,- -,- -,134759000,- -
92,Common Stock Repurchased,- -,- -,-9351000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2178000,58248000,-318000,7126000,-829000,-9411000,-6389000,3576000,2287000
95,Cash Used/Provided by Financing Activities,- -,2178000,42897000,124424000,7126000,104359000,-9815000,-8959000,134917000,836000
96,Effect of Forex Changes on Cash,- -,-835000,-348000,-72000,-1317000,-1996000,-1395000,-53000,-635000,1106000
97,Net Change In Cash,- -,-3304000,-841000,16257000,-6311000,37401000,17213000,4929000,-3109000,-10291000
98,Cash at the End of Period,- -,4131000,3290000,19547000,13236000,50637000,67850000,72779000,69670000,59379000
99,Cash at the Beginning of Period,- -,7435000,4131000,3290000,19547000,13236000,50637000,67850000,72779000,69670000
100,Free Cash Flow,- -,-4194000,-10277000,-27753000,-26442000,-2341000,19205000,4543000,-57998000,-11678000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1321732/000162828016012417/0001628280-16-012417-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173217000084/0001321732-17-000084-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173218000038/0001321732-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173219000031/0001321732-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000132173220000047/0001321732-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1321732/000162828021002867/0001628280-21-002867-index.htm,https://www.sec.gov/Archives/edgar/data/1321732/000132173222000017/0001321732-22-000017-index.htm
102,false,,,,,,,,,,
