,https://roic.ai/company/PTNR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,905959249,2113756574,3237201935,4060393012,4449455886,5150199269,5119602200,5590122300,6129202342,6329550000,6079000000,6674000000,6998000000,5572000000,4519000000,4400000000,4111000000,3544000000,3268000000,3259000000,3234000000,3189000000,3363000000
2,COGS,656941307,1587550307,2708994766,3073870285,3123633514,3621669500,3763899400,3885736375,4113518715,4079124000,3770000000,4093000000,4978000000,4031000000,3510000000,3419000000,3472000000,2924000000,2627000000,2700000000,2707000000,2664000000,2732000000
3,Gross Profit,249017942,526206266,528207169,986522728,1325822372,1528529769,1355702800,1704385925,2015683627,2250426000,2309000000,2581000000,2020000000,1541000000,1009000000,981000000,639000000,620000000,641000000,559000000,527000000,525000000,631000000
4,Gross Profit Ratio,0.2749,0.2489,0.1632,0.2430,0.2980,0.2968,0.2648,0.3049,0.3289,0.3555,0.3798,0.3867,0.2887,0.2766,0.2233,0.2230,0.1554,0.1749,0.1961,0.1715,0.1630,0.1646,0.1876
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,255939000,278000000,395000000,159000000,146000000,127000000,125000000,135000000,158000000,121000000,253000000,228000000,201000000,240000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,389289000,380000000,200000000,634000000,551000000,462000000,438000000,417000000,426000000,269000000,86000000,89000000,85000000,86000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,645228000,658000000,595000000,793000000,697000000,589000000,563000000,552000000,584000000,390000000,339000000,317000000,286000000,326000000
9,Other Expenses,732219722,419133386,425646258,452322284,474448430,507307360,453385200,489597813,607587677,- -,-50000000,126000000,104000000,90000000,90000000,68000000,27000000,-112000000,-33000000,102000000,133000000,150000000,161000000
10,Operating Expenses,732219722,419133386,425646258,452322284,474448430,507307360,453385200,489597813,607587677,645228000,608000000,721000000,897000000,787000000,679000000,631000000,579000000,472000000,357000000,441000000,450000000,436000000,487000000
11,COGS and Expenses,1389161028,2006683693,3134641024,3526192568,3598081944,4128976860,4217284600,4375334188,4721106392,4724352000,4378000000,4814000000,5875000000,4818000000,4189000000,4050000000,4051000000,3396000000,2984000000,3141000000,3157000000,3100000000,3219000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,4052425,35049131,- -,28000000,1000000,333000000,115000000,82000000,50000000,47000000,42000000,29000000,27000000,3000000,26000000,24000000
13,Interest Expense (Gain),- -,229961046,399429697,445818520,320396934,261023130,345220800,137289588,132708580,157939000,204000000,86000000,333000000,197000000,172000000,123000000,136000000,105000000,171000000,47000000,60000000,71000000,68000000
14,Depreciation and Amortization,423823865,662238763,556874246,525913008,539830041,569987611,693399400,620593925,604961884,653475000,577000000,669000000,743000000,700000000,669000000,652000000,641000000,565000000,540000000,545000000,723000000,714000000,713000000
15,EBITDA,-304026538,130986012,654076578,1056052751,1387688937,1591210020,1595717000,1807731188,2019126847,2258673000,2306000000,2434000000,1818000000,1528000000,1039000000,1016000000,741000000,758000000,846000000,656000000,802000000,812000000,880000000
16,EBITDA ratio,-0.3356,0.0620,0.2020,0.2601,0.3119,0.3090,0.3117,0.3234,0.3294,0.3568,0.3793,0.3647,0.2598,0.2742,0.2299,0.2309,0.1802,0.2139,0.2589,0.2013,0.2480,0.2546,0.2617
17,Operating Income,-483201779,-531252751,102560911,534200444,851373942,1021222409,902317600,1214788113,1408095950,1605198000,1701000000,1860000000,1036000000,865000000,409000000,400000000,107000000,193000000,315000000,116000000,87000000,96000000,163000000
18,Operating Income ratio,-0.5334,-0.2513,0.0317,0.1316,0.1913,0.1983,0.1762,0.2173,0.2297,0.2536,0.2798,0.2787,0.1480,0.1552,0.0905,0.0909,0.0260,0.0545,0.0964,0.0356,0.0269,0.0301,0.0485
19,Total Other Income Expenses (Gains),- -,- -,-8829776,-4060701,-323911980,-261023130,-345220800,-165951438,-126639567,-157939000,-176000000,-181000000,-294000000,-234000000,-211000000,-159000000,-143000000,-105000000,-180000000,-53000000,-68000000,-69000000,-64000000
20,Income Before Tax,- -,- -,- -,- -,527461962,760199278,557096800,1048836675,1281456383,1447259000,1525000000,1679000000,742000000,631000000,198000000,241000000,-36000000,88000000,135000000,63000000,19000000,27000000,99000000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1185,0.1476,0.1088,0.1876,0.2091,0.2287,0.2509,0.2516,0.1060,0.1132,0.0438,0.0548,-0.0088,0.0248,0.0413,0.0193,0.0059,0.0085,0.0294
22,Income Tax expense (Gain),- -,- -,- -,- -,-630436255,287777581,202768000,369579475,339278674,395780000,384000000,436000000,299000000,153000000,63000000,79000000,4000000,36000000,21000000,7000000,- -,10000000,-16000000
23,Net Income,-727850403,-761213796,-302227365,84321223,1157898217,472421698,354328800,680268200,942177710,1051479000,1141000000,1243000000,443000000,478000000,135000000,162000000,-40000000,52000000,114000000,57000000,19000000,17000000,115000000
