,https://roic.ai/company/RCRT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6160000,10190000,13290000,22430000,26710000,28440000,22300000,18490000,18200000,13700000,9680000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5997987,8502892,22184112
2,COGS,1620000,7270000,9000000,15610000,17930000,19230000,15130000,12750000,14590000,10440000,6460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4448202,6138363,14909389
3,Gross Profit,4540000,2920000,4290000,6820000,8780000,9210000,7170000,5740000,3610000,3260000,3220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1549785,2364529,7274723
4,Gross Profit Ratio,0.7370,0.2866,0.3228,0.3041,0.3287,0.3238,0.3215,0.3104,0.1984,0.2380,0.3326,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2584,0.2781,0.3279
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,203400,299512,1152433
6,General and Administrative Exp.,4210000,2790000,3550000,5240000,8060000,9180000,8260000,8780000,8220000,7140000,4390000,- -,- -,10000,20000,40000,20000,1050000,1420090,393260,294930,311970,442570,8140432,8033685,17323695
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119597,82904,472213
8,"Selling, General and Administrative Exp.",4210000,2790000,3550000,5240000,8060000,9180000,8260000,8780000,8220000,7140000,4390000,- -,- -,10000,20000,40000,20000,1050000,1420090,393260,294930,311970,442570,8260029,8116589,17795908
9,Other Expenses,-2810000,2879,-1228,-3062,-2192,793,3783625,1000,1578,2468,-2490,- -,- -,-5254,370,-3584,-2270,4286,-4,-2,-2,4,-5,477518,675923,5271333
10,Operating Expenses,1400000,2792879,3548772,5236938,8057808,9180793,12043625,8781000,8221578,7142468,4387510,- -,- -,54746,20370,36416,17730,1054286,1420086,393258,294928,311974,442565,8940947,9092024,24219674
11,COGS and Expenses,5830000,10070000,12970000,20850000,25990000,28410000,27170000,21530000,22810000,17580000,10850000,- -,- -,90000,50000,40000,20000,1050000,1420090,-365990,178950,311970,-194970,13389149,15230387,39129063
12,Interest Income ,- -,- -,309908,- -,310599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,31800,- -,75000,- -,3159,286898,- -,- -,37917,32522,5551,7200,60137,3848094,349005,114628,100430,84386,2344486,2022113,3137050
14,Depreciation and Amortization,100000,251443,387160,527054,799969,1112870,1016260,982000,865436,820746,941537,- -,- -,2945,5000,- -,- -,- -,- -,- -,- -,- -,- -,478191,687845,2741008
15,EBITDA,430000,441443,1047160,2487054,1749969,1164670,-3943740,-2103000,-3464564,-2916095,-991565,- -,- -,-90000,-50000,-40000,-12800,-1170000,-3883113,4951234,43155,-328072,-387454,-8990120,-14326879,-10456557
16,EBITDA ratio,0.0698,0.0433,0.0788,0.1109,0.0655,0.0410,-0.1768,-0.1137,-0.1904,-0.2129,-0.1024,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-1.4989,-1.6849,-0.4714
17,Operating Income,300000,127688,739823,1579672,720427,28977,-4867027,-3045000,-4606602,-3877200,-1168639,- -,- -,-90000,-50000,-40000,-20000,-1054286,-1420086,-393258,-294928,-311974,-442565,-10504182,-6738263,-16944951
18,Operating Income ratio,0.0487,0.0125,0.0557,0.0704,0.0270,0.0010,-0.2183,-0.1647,-0.2531,-0.2830,-0.1207,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.7513,-0.7925,-0.7638
19,Total Other Income Expenses (Gains),30000,62312,-69823,370328,229573,-18977,-92973,-115000,276602,147200,-231361,- -,- -,- -,- -,- -,- -,-55714,-2523164,1496398,-10922,-130726,-29275,-1339331,-10298574,610336
20,Income Before Tax,330000,190000,670000,1950000,950000,10000,-4960000,-3160000,-4330000,-3730000,-1400000,- -,- -,-90000,-50000,-40000,-20000,-1110000,-3943250,1103140,-305850,-442700,-471840,-11843513,-17036837,-16334615
21,Income Before Tax Ratio,0.0536,0.0186,0.0504,0.0869,0.0356,0.0004,-0.2224,-0.1709,-0.2379,-0.2723,-0.1446,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-1.9746,-2.0037,-0.7363
22,Income Tax expense (Gain),-500000,60000,250000,680000,460000,10000,-1760000,-590000,1940000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,830000,130000,410000,1280000,490000,10000,-3200000,-2570000,-6270000,-3770000,-2220000,- -,- -,-90000,-50000,-40000,-20000,-1110000,-3943250,1103140,-305850,-442700,-471840,-11812797,-17036837,-16334615
24,Net Income ratio,0.1347,0.0128,0.0309,0.0571,0.0183,0.0004,-0.1435,-0.1390,-0.3445,-0.2752,-0.2293,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-1.9695,-2.0037,-0.7363
