,https://roic.ai/company/OOMA,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,39233000,53665000,72201000,88775000,104524000,114490000,129231000,151593000,168947000,192290000
2,COGS,25489000,31467000,36724000,41865000,45195000,46398000,52740000,62212000,64143000,73852000
3,Gross Profit,13744000,22198000,35477000,46910000,59329000,68092000,76491000,89381000,104804000,118438000
4,Gross Profit Ratio,0.3503,0.4136,0.4914,0.5284,0.5676,0.5947,0.5919,0.5896,0.6203,0.6159
5,Research and Development Exp.,7023000,7888000,12290000,18502000,24239000,29328000,33903000,37770000,36079000,38193000
6,General and Administrative Exp.,2508000,2573000,6650000,12561000,14598000,15186000,17613000,20825000,20581000,23544000
7,Selling and Marketing Exp.,7471000,13192000,22276000,28534000,33768000,37302000,40761000,50497000,50919000,58631000
8,"Selling, General and Administrative Exp.",9979000,15765000,28926000,41095000,48366000,52488000,58374000,71322000,71500000,82175000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,17002000,23653000,41216000,59597000,72605000,81816000,92277000,109092000,107579000,120368000
11,COGS and Expenses,42491000,55120000,77940000,101462000,117800000,128214000,145017000,171304000,171722000,194220000
12,Interest Income ,- -,- -,- -,- -,- -,603000,830000,780000,419000,- -
13,Interest Expense (Gain),- -,269000,- -,881000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,844000,938000,1202000,1803000,2197000,2271000,3009000,3575000,4181000,4421000
15,EBITDA,-2819000,-793000,-5710000,-11368000,-10752000,-10850000,-11947000,-15356000,1825000,2670000
16,EBITDA ratio,-0.0719,-0.0148,-0.0791,-0.1281,-0.1029,-0.0948,-0.0924,-0.1013,0.0108,0.0139
17,Operating Income,-3258000,-1455000,-5739000,-12687000,-13276000,-13724000,-15786000,-19711000,-2775000,-1930000
18,Operating Income ratio,-0.0830,-0.0271,-0.0795,-0.1429,-0.1270,-0.1199,-0.1222,-0.1300,-0.0164,-0.0100
19,Total Other Income Expenses (Gains),-405000,-545000,-1173000,-1365000,327000,603000,830000,780000,419000,179000
20,Income Before Tax,-3663000,-2000000,-6912000,-14052000,-12949000,-13121000,-14956000,-18931000,-2356000,-1751000
21,Income Before Tax Ratio,-0.0934,-0.0373,-0.0957,-0.1583,-0.1239,-0.1146,-0.1157,-0.1249,-0.0139,-0.0091
22,Income Tax expense (Gain),- -,- -,-502000,- -,- -,- -,-384000,-130000,85000,- -
23,Net Income,-3663000,-2000000,-6410000,-14052000,-12949000,-13121000,-14572000,-18801000,-2441000,-1751000
24,Net Income ratio,-0.0934,-0.0373,-0.0888,-0.1583,-0.1239,-0.1146,-0.1128,-0.1240,-0.0144,-0.0091
25,EPS,-0.32,-0.17,-0.52,-1.38,-0.74,-0.71,-0.74,-0.89,-0.11,-0.07
26,EPS Diluted,-0.32,-0.17,-0.52,-1.38,-0.74,-0.71,-0.74,-0.89,-0.11,-0.07
27,Weighted Average Shares Outstanding,11536986,11536986,10704886,10173095,17490448,18570128,19799781,21051039,22361312,23619406
28,Weighted Average Shares Outstanding Diluted,11536986,11536986,10704886,10173095,17490448,18570128,19799781,21051039,22361312,23619406
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1327688/000156459016016120/0001564590-16-016120-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459017006395/0001564590-17-006395-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459018007302/0001564590-18-007302-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459019010638/0001564590-19-010638-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459020016484/0001564590-20-016484-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459021018013/0001564590-21-018013-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , 
