,https://roic.ai/company/LIVE,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,841045,8572185,15836422,15084917,13232743,30767444,57168105,25204858,36881164,26340361,25283161,13438655,8077434,4083412,3070503,2351868,7265276,33369866,78954247,152060932,199633341,193288000,191720000,272981000
2,COGS,- -,4760026,5234906,6399367,3811394,8357768,24757880,3980619,8069239,4204276,4400713,6391778,3857684,3606143,715457,916331,5226637,22115472,58979377,89494297,125434584,122415000,116403000,173518000
3,Gross Profit,- -,3812159,10601516,8685550,9421349,22409676,32410225,21224239,28811925,22136085,20882448,7046877,4219750,477269,2355046,1435537,2038639,11254394,19974870,62566635,74198757,70873000,75317000,99463000
4,Gross Profit Ratio,- -,0.4447,0.6694,0.5758,0.7120,0.7284,0.5669,0.8421,0.7812,0.8404,0.8259,0.5244,0.5224,0.1169,0.7670,0.6104,0.2806,0.3373,0.2530,0.4115,0.3717,0.3667,0.3928,0.3644
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,7011973,6009058,5718533,- -,- -,- -,- -,- -,- -,15179981,11734122,5721351,3290002,4114843,5644218,10992356,8543877,36192322,49258006,52840000,43561000,52246000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2457063,226442,57652,12310,58788,893705,6684833,9112744,8274936,14140502,14777000,11334000,11427000
8,"Selling, General and Administrative Exp.",- -,- -,7011973,6009058,5718533,- -,- -,- -,- -,- -,- -,17637044,11960564,5779003,3302312,4173631,6537923,17677189,17656621,44467258,63398508,67617000,54895000,63673000
9,Other Expenses,2857226,5638105,616660,603426,581290,13186808,19705343,22055373,26687475,18809406,22737053,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2857226,5638105,7628633,6612484,6299823,13186808,19705343,22055373,26687475,18809406,22737053,17637044,11960564,5779003,3302312,4173631,6537923,17677189,17656621,44467258,63398508,67617000,54895000,63673000
11,COGS and Expenses,2857226,10398131,12863539,13011851,10111217,21544576,44463223,26035992,34756714,23013682,27137766,24028822,15818248,9385146,4017769,5089962,11764560,39792661,76635998,133961555,188833092,190032000,171298000,237191000
12,Interest Income ,78838,5401,802,7342,17682,108995,- -,- -,224176,271969,138280,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2091,410319,853761,571248,92341,19728,- -,- -,- -,- -,3586,- -,- -,72000,610485,3291031,458934,4485661,4020547,7596985,8643338,- -,5254000,5205000
14,Depreciation and Amortization,64302,179504,616660,603426,581290,814957,2091012,2719626,3033917,3056120,3979668,2297626,873572,563826,259975,264112,490256,1047752,3125311,5025548,6048380,5673000,7323000,6576000
15,EBITDA,-1873043,-3533745,3673191,4217402,4124120,10795728,15892091,1672286,1671218,6665713,2266391,-16900159,-6813528,-4866422,-704748,-2191871,-3712191,-8756716,12482494,23206132,25021536,36000,28193000,51640000
16,EBITDA ratio,-2.2270,-0.4122,0.2319,0.2796,0.3117,0.3509,0.2780,0.0663,0.0453,0.2531,0.0896,-1.2576,-0.8435,-1.1918,-0.2295,-0.9320,-0.5109,-0.2624,0.1581,0.1526,0.1253,0.0002,0.1471,0.1892
17,Operating Income,-2016181,-1825946,2972883,2073066,3121526,9222868,12704882,-831134,2124450,3326679,-1854605,-18456276,-7740814,-5301734,-947266,-2738094,-4499284,-10136267,2318249,18099377,10800249,3256000,20422000,35790000
18,Operating Income ratio,-2.3972,-0.2130,0.1877,0.1374,0.2359,0.2998,0.2222,-0.0330,0.0576,0.1263,-0.0734,-1.3734,-0.9583,-1.2984,-0.3085,-1.1642,-0.6193,-0.3038,0.0294,0.1190,0.0541,0.0168,0.1065,0.1311
19,Total Other Income Expenses (Gains),76745,-404918,-770113,969662,328963,738175,1096197,-316054,-3487149,282914,137742,7527934,41189,-82159,-640375,-3011628,-162097,-4200018,3142581,-7515778,-470431,-8893000,-4806000,3889000
20,Income Before Tax,-1939436,-2230864,2202770,3042728,3450489,9961043,13801079,-1147188,-1362699,3609593,-1716863,-10928342,-7699625,-5383893,-1587641,-5749722,-4661381,-14336285,5460830,10583599,10329818,-5637000,15616000,39679000
21,Income Before Tax Ratio,-2.3060,-0.2602,0.1391,0.2017,0.2608,0.3238,0.2414,-0.0455,-0.0369,0.1370,-0.0679,-0.8132,-0.9532,-1.3185,-0.5171,-2.4447,-0.6416,-0.4296,0.0692,0.0696,0.0517,-0.0292,0.0815,0.1454
22,Income Tax expense (Gain),1766,240119,-645207,1230447,-245974,2037152,4840096,-429182,-311779,1855675,-188091,3393515,-230382,- -,- -,- -,- -,376000,-12493221,4081819,4407099,-1625000,4957000,8662000
23,Net Income,-1941202,-4363687,2847977,1812281,3696463,7923891,8960983,-618158,-1050920,1753918,-1528772,-22591300,-7456718,-5502248,-1575208,-5747014,-4661381,-14666129,17829857,6501780,5922719,-4012000,10659000,31197000
24,Net Income ratio,-2.3081,-0.5091,0.1798,0.1201,0.2793,0.2575,0.1567,-0.0245,-0.0285,0.0666,-0.0605,-1.6811,-0.9232,-1.3475,-0.5130,-2.4436,-0.6416,-0.4395,0.2258,0.0428,0.0297,-0.0208,0.0556,0.1143
25,EPS,-32.30,-38.00,13.30,7.60,15.20,34.20,36.10,-1.90,-3.80,6.46,-4.75,-71.44,-23.62,-16.58,-1.52,-3.68,-2.10,-5.58,6.33,2.94,3.01,-2.11,6.40,19.92
26,EPS Diluted,-32.30,-38.00,13.30,7.60,15.20,34.20,36.10,-1.90,-3.80,6.27,-4.75,-71.44,-23.62,-16.58,-1.52,-3.68,-2.10,-5.58,5.40,1.61,1.58,-2.11,3.09,9.80
27,Weighted Average Shares Outstanding,59277,116967,211162,213806,230237,237320,245202,244159,236624,268871,327979,316087,315751,332084,1034416,1565713,2190712,2627641,2815072,2210104,1965595,1901315,1706561,1566288
28,Weighted Average Shares Outstanding Diluted,59277,116967,211162,213806,230237,237320,248885,244159,236624,280865,327979,316087,315751,332084,1034416,1565713,2190712,2627641,3303697,4047696,3742959,1901315,3534936,3182546
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010344/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010346/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010348/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010350/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010352/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105011089/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036106018920/form10k.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036107024900/0001140361-07-024900-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114036108028808/0001140361-08-028808-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114420409066018/0001144204-09-066018-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114420411001138/v206658_10k.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114420411072154/0001144204-11-072154-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000101968713000156/live_10k-093012.htm,https://www.sec.gov/Archives/edgar/data/1045742/000101968714000104/live_10k-093013.htm,https://www.sec.gov/Archives/edgar/data/1045742/000101968714004834/0001019687-14-004834-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000101968716004810/live_10k-093015.htm,https://www.sec.gov/Archives/edgar/data/1045742/000168316816001034/0001683168-16-001034-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000168316818000179/live_10k-093017.htm,https://www.sec.gov/Archives/edgar/data/1045742/000168316818003807/0001683168-18-003807-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000156459020003917/live-10k_20190930.htm,https://www.sec.gov/Archives/edgar/data/1045742/000156459021001106/0001564590-21-001106-index.htm,https://www.sec.gov/Archives/edgar/data/1045742/000095017021005367/0000950170-21-005367-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,219613,683847,767108,2378848,3576529,8119298,7210560,5674533,4639787,7668030,3328667,244470,1305785,761458,8114682,2727818,770895,3972539,1991622,2681000,8984000,4664000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2266268,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,219613,683847,767108,2378848,3576529,8119298,9476828,5674533,4639787,7668030,3328667,244470,1305785,761458,8114682,2727818,770895,3972539,1991622,2681000,8984000,4664000
34,Net Receivables,- -,- -,3705881,2870109,3561808,7328624,9601719,5338533,6741781,6919180,7368024,2969018,948439,654856,439848,174901,854583,8243992,8334801,10636925,13839422,12136000,- -,21559000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4277145,13335598,11053085,34501801,46527039,38558000,64525000,70747000
36,Other Current Assets,- -,- -,1101509,627810,64211,1554913,1175298,2800729,2040805,1056754,2383650,326442,219121,113323,52614,67126,583647,1522027,5059981,6435891,3308017,2377000,22419000,1820000
37,Total Current Assets,- -,- -,5027003,4181766,4393127,11262385,14353546,16258560,18259414,13650467,14391461,10963490,4496227,1012649,1798247,1003485,13830057,25829435,25218762,55547156,65666100,55752000,95928000,98790000
38,PP&E,- -,- -,502708,374885,274459,731142,725936,396862,178883,423563,959854,615906,397382,171201,50526,71162,153114,12481901,14014501,22817860,27991060,22596000,30376000,66098000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,11683163,11706406,- -,- -,- -,- -,- -,1169904,800000,- -,36946735,36946735,36947000,37754000,41471000
40,Intangible Assets,- -,- -,4379167,3932084,4996769,3512952,3326274,4792084,5722604,7372147,6736078,2336714,1938952,1222334,1997671,2848401,2752815,1516930,1689790,4205314,6665847,2199000,1063000,4697000
41,Intangible Assets,- -,- -,4379167,3932084,4996769,3512952,3326274,4792084,5722604,19055310,18442484,2336714,1938952,1222334,1997671,2848401,3922719,2316930,1689790,41152049,43612582,39146000,38817000,46168000
