,https://roic.ai/company/BGSF,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,50119792,76759068,151700000,172810550,217533860,253852210,272600050,286862930,294313548,277890880,239027177
2,COGS,40531408,61206657,122600000,138283330,169627150,193778850,204198052,210267730,213632283,201670876,158086274
3,Gross Profit,9588384,15552411,29100000,34527220,47906710,60073360,68401998,76595200,80681265,76220004,80940903
4,Gross Profit Ratio,0.1913,0.2026,0.1918,0.1998,0.2202,0.2366,0.2509,0.2670,0.2741,0.2743,0.3386
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6851687,10606538,19000000,24084360,30390280,37804210,44349272,47291020,52703000,58186000,63201000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,3368000,2023000,1768000
8,"Selling, General and Administrative Exp.",6851687,10606538,19000000,24084360,30390280,37804210,44349272,47291020,56071000,60209000,64969000
9,Other Expenses,2750391,4469141,5000000,5628390,5982240,7137460,6291958,5044490,4820256,4959705,3698329
10,Operating Expenses,9602078,15075679,24000000,29712750,36372520,44941670,50641230,52335510,60891256,65168705,68667329
11,COGS and Expenses,50133486,76282336,146600000,167996080,205999670,238720520,254839282,262603240,274523539,266839581,226753603
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2921237,2194731,-4300000,-3869780,-2818780,-3961620,3253134,-2850410,1568815,1583630,1432733
14,Depreciation and Amortization,2750391,4469141,4894454,4641548,5543740,6733341,6291958,5044487,4820256,4959705,3698329
15,EBITDA,5324630,4945873,1431494,1716470,11440370,13941805,24052726,23603356,23941039,8497895,21880127
16,EBITDA ratio,0.1062,0.0644,0.0094,0.0099,0.0526,0.0549,0.0882,0.0823,0.0813,0.0306,0.0915
17,Operating Income,-13694,476732,5128176,5801310,11972689,15535817,17760768,24259685,19661488,3538190,14530195
18,Operating Income ratio,-0.0003,0.0062,0.0338,0.0336,0.0550,0.0612,0.0652,0.0846,0.0668,0.0127,0.0608
19,Total Other Income Expenses (Gains),-333304,-2194731,-4328176,-4856610,-3257279,-4365737,-3253134,-2850405,-2109520,-1583630,-1432733
20,Income Before Tax,-346998,-1717999,800000,944700,8715410,11170080,14507634,21409280,17551968,1954560,13097462
