,https://roic.ai/company/OGS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,1817402000,1621300000,1376649000,1689900000,1818900000,1547700000,1427200000,1539600000,1633700000,1652700000,1530268000,1808597000
2,COGS,1416899000,1243010000,983380000,1270016000,1412635000,1120435000,958939000,1031043000,1126338000,1117100000,968560000,1224682000
3,Gross Profit,400503000,378290000,393269000,419884000,406265000,427265000,468261000,508557000,507362000,535600000,561708000,583915000
4,Gross Profit Ratio,0.2204,0.2333,0.2857,0.2485,0.2234,0.2761,0.3281,0.3303,0.3106,0.3241,0.3671,0.3229
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,174910000,178664000,177555000,199588000,180977000,188128000,199173000,209114000,218964000,240372000,258192000,273657000
10,Operating Expenses,174910000,178664000,177555000,199588000,180977000,188128000,199173000,209114000,218964000,240372000,258192000,273657000
11,COGS and Expenses,1591809000,1421674000,1160935000,1469604000,1593612000,1308563000,1158112000,1240157000,1345302000,1357472000,1226752000,1498339000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),52305000,54119000,60793000,61366000,45842000,44570000,43739000,46065000,51305000,62681000,62505000,60301000
14,Depreciation and Amortization,130968000,132212000,130150000,144758000,125722000,133023000,143829000,151889000,160086000,180395000,194881000,207233000
15,EBITDA,356794000,329093000,347303000,367591000,349692000,369602000,412906000,454092000,437156000,472677000,495377000,514284000
16,EBITDA ratio,0.1963,0.2030,0.2523,0.2175,0.1923,0.2388,0.2893,0.2949,0.2676,0.2860,0.3237,0.2844
17,Operating Income,225593000,199660000,215714000,220348000,225294000,239129000,269120000,299476000,288429000,295258000,303516000,310258000
18,Operating Income ratio,0.1241,0.1231,0.1567,0.1304,0.1239,0.1545,0.1886,0.1945,0.1765,0.1787,0.1983,0.1715
19,Total Other Income Expenses (Gains),-52072000,-56898000,-59354000,-58881000,-47166000,-47120000,-43782000,-43338000,-62664000,-65657000,-65525000,-63508000
20,Income Before Tax,173521000,142762000,156360000,161467000,178128000,192009000,225338000,256138000,225765000,229601000,237991000,246750000
21,Income Before Tax Ratio,0.0955,0.0881,0.1136,0.0955,0.0979,0.1241,0.1579,0.1664,0.1382,0.1389,0.1555,0.1364
22,Income Tax expense (Gain),67099000,56004000,59851000,62272000,68338000,72979000,85243000,93143000,53531000,42852000,41579000,40316000
23,Net Income,106422000,86758000,96509000,99195000,109790000,119030000,140095000,162995000,172234000,186749000,196412000,206434000
24,Net Income ratio,0.0586,0.0535,0.0701,0.0587,0.0604,0.0769,0.0982,0.1059,0.1054,0.1130,0.1284,0.1141
25,EPS,2.07,1.69,2.06,1.92,2.10,2.26,2.67,3.10,3.27,3.53,3.70,3.85
26,EPS Diluted,2.03,1.66,2.01,1.92,2.07,2.24,2.65,3.08,3.25,3.51,3.68,3.85
27,Weighted Average Shares Outstanding,51488000,51488000,51535000,51600000,52364000,52578000,52453000,52527000,52693000,52895000,53133000,53575000
28,Weighted Average Shares Outstanding Diluted,52352000,52352000,52678000,51600000,52946000,53254000,52963000,52979000,53029000,53240000,53370000,53674000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587732/000158773214000005/0001587732-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773215000013/onegas10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773216000088/0001587732-16-000088-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773217000011/0001587732-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773218000014/0001587732-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773219000013/0001587732-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773220000017/0001587732-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773221000030/0001587732-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773222000019/0001587732-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4475000,4040000,3171000,11943000,2433000,14663000,14413000,21323000,17853000,7993000,8852000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4475000,4040000,3171000,11943000,2433000,14663000,14413000,21323000,17853000,7993000,8852000
34,Net Receivables,- -,272850000,260306000,356988000,370549000,255220000,292341000,298768000,295421000,260012000,292985000,341756000
35,Inventory,- -,133143000,102989000,166128000,185300000,175478000,159516000,169826000,151628000,159991000,146712000,234538000
36,Other Current Assets,- -,54022000,89759000,75897000,99709000,49714000,102403000,105987000,74915000,68346000,92179000,1639418000
37,Total Current Assets,- -,464490000,457094000,602184000,667501000,482845000,568923000,588994000,543287000,506202000,539869000,2224564000
38,PP&E,- -,2609786000,2826954000,3044858000,3293720000,3511911000,3731620000,4007585000,4283712000,4565226000,4867057000,5190835000
39,Goodwill,- -,157953000,157953000,157953000,157953000,157953000,157953000,157953000,157953000,157953000,157953000,157953000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,157953000,157953000,157953000,157953000,157953000,157953000,157953000,157953000,157953000,157953000,157953000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,53256000,49331000,41480000,530036000,491701000,484295000,452346000,483690000,478919000,463833000,828768000
45,Total Non-Current Assets,- -,2820995000,3034238000,3244291000,3981709000,4161565000,4373868000,4617884000,4925355000,5202098000,5488843000,6177556000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3285485000,3491332000,3846475000,4649210000,4644410000,4942791000,5206878000,5468642000,5708300000,6028712000,8402120000
48,Accounts Payable,- -,132946000,137276000,169500000,159064000,107482000,131988000,143681000,174510000,120490000,152313000,258554000
49,Short-Term Debt,- -,- -,- -,444966000,42006000,12507000,145007000,357215000,299500000,516500000,418225000,494000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63800000,67035000
51,Deferred Revenue,- -,59341000,58087000,57360000,60003000,60325000,61209000,60811000,61183000,57987000,68028000,62454000
52,Other Current Liabilities,- -,346205000,383339000,97251000,131360000,123907000,105729000,111623000,163698000,177760000,158513000,165485000
53,Total Current Liabilities,- -,538492000,578702000,769077000,392433000,304221000,443933000,673330000,698891000,872737000,797079000,980493000
54,Long-Term Debt,- -,913925000,1028954000,1028949000,1201311000,1201305000,1192446000,1193257000,1285483000,1286064000,1582428000,3683378000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,587852000,649303000,743452000,894585000,951785000,1038568000,599945000,652426000,682632000,656806000,695284000
57,Other Non-Current Liabilities,- -,86861000,79576000,65974000,366844000,345544000,379564000,780137000,789186000,737477000,759088000,693433000
58,Total Non-Current Liabilities,- -,1588638000,1757833000,1838375000,2462740000,2498634000,2610578000,2573339000,2727095000,2706173000,2998322000,5072095000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2127130000,2336535000,2607452000,2855173000,2802855000,3054511000,3246669000,3425986000,3578910000,3795401000,6052588000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,521000,526000,526000,526000,526000,528000,532000,536000
64,Retained Earnings,- -,- -,- -,- -,39894000,95046000,161021000,246121000,320869000,402509000,483635000,565161000
65,Other Comprehensive Income/Loss,- -,-1393186000,-1442423000,-1489216000,-5000000,-4000000,-5000000,-5000000,-4000000,-7000000,-7777000,-6527000
66,Other Total Stockholders Equity,- -,2551541000,2597220000,2728239000,1758622000,1749983000,1731733000,1718562000,1725261000,1733353000,1756921000,- -
67,Total Stockholders Equity,- -,1158355000,1154797000,1239023000,1794037000,1841555000,1888280000,1960209000,2042656000,2129390000,2233311000,2349532000
68,Total Liabilities And Stockholders Equity,- -,3285485000,3491332000,3846475000,4649210000,4644410000,4942791000,5206878000,5468642000,5708300000,6028712000,8402120000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3285485000,3491332000,3846475000,4649210000,4644410000,4942791000,5206878000,5468642000,5708300000,6028712000,8402120000
