,https://roic.ai/company/CHTR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13713000,1428244000,3249222000,3953132000,4566000000,4819000000,4977000000,5254000000,5504000000,6002000000,6479000000,6755000000,7059000000,7204000000,7504000000,8155000000,9108000000,9754000000,29003000000,41581000000,43634000000,45764000000,48097000000,51682000000
2,COGS,- -,- -,794597000,2110043000,1804000000,1952000000,2080000000,2293000000,2438000000,2620000000,2792000000,2909000000,3064000000,3138000000,4860000000,5345000000,5973000000,6426000000,18655000000,26541000000,27860000000,29224000000,29930000000,31482000000
3,Gross Profit,- -,- -,2454625000,1843089000,2762000000,2867000000,2897000000,2961000000,3066000000,3382000000,3687000000,3846000000,3995000000,4066000000,2644000000,2810000000,3135000000,3328000000,10348000000,15040000000,15774000000,16540000000,18167000000,20200000000
4,Gross Profit Ratio,- -,- -,0.7555,0.4662,0.6049,0.5949,0.5821,0.5636,0.5570,0.5635,0.5691,0.5694,0.5659,0.5644,0.3523,0.3446,0.3442,0.3412,0.3568,0.3617,0.3615,0.3614,0.3777,0.3909
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7979000,817936000,952977000,11247000,897000000,- -,- -,- -,- -,- -,- -,1380000000,- -,- -,- -,48000000,55000000,78000000,-899000000,261000000,285000000,315000000,351000000,430000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,74000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7979000,817936000,952977000,11247000,971000000,940000000,1002000000,1048000000,1165000000,1289000000,1401000000,1380000000,1422000000,1426000000,- -,48000000,55000000,78000000,-899000000,261000000,285000000,315000000,351000000,430000000
9,Other Expenses,8318000,745315000,2473082000,3027697000,6075000000,1411000000,3941000000,1570000000,1534000000,1545000000,1323000000,-8385000000,1524000000,1599000000,1713000000,1806000000,2047000000,2047000000,6907000000,10327000000,10033000000,9611000000,9353000000,8915000000
10,Operating Expenses,16297000,1563251000,3426059000,3038944000,7046000000,2351000000,4943000000,2618000000,2699000000,2834000000,2724000000,-7005000000,2946000000,3025000000,1713000000,1854000000,2102000000,2125000000,6008000000,10588000000,10318000000,9926000000,9704000000,9345000000
11,COGS and Expenses,16297000,1563251000,4220656000,5148987000,8850000000,4303000000,7023000000,4911000000,5137000000,5454000000,5516000000,-4096000000,6010000000,6163000000,6573000000,7199000000,8075000000,8551000000,24663000000,37129000000,38178000000,39150000000,39634000000,40827000000
12,Interest Income ,133000,34467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2353000,477799000,- -,- -,- -,- -,- -,- -,- -,- -,1903000000,-68000000,877000000,963000000,907000000,846000000,911000000,1306000000,2499000000,3090000000,3540000000,3797000000,3848000000,4037000000
14,Depreciation and Amortization,8318000,745315000,2473082000,3010068000,1437000000,1479000000,1495000000,1499000000,1362000000,1328000000,1310000000,1316000000,1524000000,1592000000,1713000000,1854000000,2102000000,2125000000,6907000000,10588000000,10318000000,9926000000,9704000000,9345000000
15,EBITDA,10669000,1157915000,1644432000,1832391000,-1597000000,1131000000,-2949000000,647000000,179000000,-79000000,659000000,12606000000,2459000000,2485000000,2573000000,2651000000,3066000000,3100000000,10003000000,14486000000,15268000000,15830000000,17400000000,19104000000
16,EBITDA ratio,0.7780,0.8107,0.5061,0.4635,-0.3498,0.2347,-0.5925,0.1231,0.0325,-0.0132,0.1017,1.8662,0.3483,0.3449,0.3429,0.3251,0.3366,0.3178,0.3449,0.3484,0.3499,0.3459,0.3618,0.3696
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10851000000,- -,- -,916000000,925000000,971000000,1114000000,3355000000,4106000000,5221000000,6511000000,8405000000,10526000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.6064,- -,- -,0.1221,0.1134,0.1066,0.1142,0.1157,0.0987,0.1197,0.1423,0.1748,0.2037
19,Total Other Income Expenses (Gains),-2693000,-502799000,-31729000,-165902000,1516000000,-864000000,-1633000000,-1195000000,-1766000000,-1955000000,-3517000000,-1093000000,-991000000,-1111000000,-963000000,-974000000,-918000000,-1445000000,-2535000000,-3078000000,-3535000000,-4080000000,-4103000000,-4138000000
20,Income Before Tax,-5277000,-637806000,- -,- -,-2768000000,-348000000,-3679000000,-852000000,-1399000000,-1407000000,-2554000000,9758000000,58000000,-70000000,-47000000,-49000000,53000000,-331000000,820000000,1028000000,1686000000,2431000000,4302000000,6388000000
21,Income Before Tax Ratio,-0.3848,-0.4466,- -,- -,-0.6062,-0.0722,-0.7392,-0.1622,-0.2542,-0.2344,-0.3942,1.4446,0.0082,-0.0097,-0.0063,-0.0060,0.0058,-0.0339,0.0283,0.0247,0.0386,0.0531,0.0894,0.1236
