,https://roic.ai/company/AQST,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,51785000,66918000,67430000,52609000,45849000,50832000
2,COGS,16378000,19820000,20988000,20361000,12964000,- -
3,Gross Profit,35407000,47098000,46442000,32248000,32885000,50832000
4,Gross Profit Ratio,0.6837,0.7038,0.6887,0.6130,0.7172,1.0000
5,Research and Development Exp.,15450000,22133000,23112000,20574000,19886000,17047000
6,General and Administrative Exp.,20804000,25078000,72264000,64342000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20804000,25078000,72264000,64342000,- -,53475000
9,Other Expenses,- -,- -,- -,- -,55892000,- -
10,Operating Expenses,36254000,47211000,95376000,84916000,75778000,70522000
11,COGS and Expenses,52632000,67031000,116364000,105277000,88742000,85511000
12,Interest Income ,- -,- -,552000,636000,132000,- -
13,Interest Expense (Gain),6143000,7707000,7711000,9318000,13022000,-10049000
14,Depreciation and Amortization,3891000,3801000,3236000,2905000,3443000,- -
15,EBITDA,432000,2565000,-50429000,-54023000,-39318000,-80588000
16,EBITDA ratio,0.0083,0.0383,-0.7479,-1.0269,-0.8576,-1.5854
17,Operating Income,-847000,-113000,-48934000,-52668000,-42893000,-34679000
18,Operating Income ratio,-0.0164,-0.0017,-0.7257,-1.0011,-0.9355,-0.6822
19,Total Other Income Expenses (Gains),-8755000,-8830000,-12442000,-13578000,-12890000,-35860000
20,Income Before Tax,-9602000,-8943000,-61376000,-66246000,-55783000,-70539000
21,Income Before Tax Ratio,-0.1854,-0.1336,-0.9102,-1.2592,-1.2167,-1.3877
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-9602000,-8943000,-61376000,-66246000,-55783000,-70539000
24,Net Income ratio,-0.1854,-0.1336,-0.9102,-1.2592,-1.2167,-1.3877
25,EPS,-0.49,-0.47,-2.96,-2.61,-1.66,-2.10
26,EPS Diluted,-0.49,-0.47,-2.96,-2.61,-1.66,-2.10
27,Weighted Average Shares Outstanding,24500000,24500000,20725526,25356098,33651127,33651127
28,Weighted Average Shares Outstanding Diluted,24500000,24500000,20725526,25356098,33651127,33651127
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1398733/000114036119004934/0001140361-19-004934-index.html,https://www.sec.gov/Archives/edgar/data/1398733/000114036120005499/0001140361-20-005499-index.html,https://www.sec.gov/Archives/edgar/data/1398733/000114036121007811/0001140361-21-007811-index.htm,https://www.sec.gov/Archives/edgar/data/1398733/000162828022005393/0001628280-22-005393-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,9209000,17379000,60599000,49326000,31807000,28024000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9209000,17379000,60599000,49326000,31807000,28024000
34,Net Receivables,10817000,6179000,6481000,13130000,6955000,12120000
35,Inventory,2886000,4014000,5441000,2859000,2461000,4038000
36,Other Current Assets,420000,591000,1680000,2999000,3402000,3077000
37,Total Current Assets,23332000,28163000,74201000,68314000,44625000,47259000
38,PP&E,15122000,13460000,12207000,9726000,10321000,7780000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,305000,254000,204000,153000,102000,51000
41,Intangible Assets,305000,254000,204000,153000,102000,51000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,630000,1239000,239000,286000,7836000,6903000
45,Total Non-Current Assets,16057000,14953000,12650000,10165000,18259000,14734000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,39389000,43116000,86851000,78479000,62884000,61993000
48,Accounts Payable,6638000,9601000,20436000,12274000,7089000,8314000
49,Short-Term Debt,- -,- -,4600000,- -,3303000,1798000
50,Tax Payable,- -,340000,2903000,300000,316000,- -
51,Deferred Revenue,802000,1347000,721000,806000,693000,765000
52,Other Current Liabilities,3366000,4402000,7195000,5475000,10019000,11087000
53,Total Current Liabilities,10806000,15350000,32952000,18555000,21104000,21964000
54,Long-Term Debt,38650000,45507000,42603000,60338000,37175000,- -
55,Deferred Revenue,- -,- -,- -,4348000,3633000,7122000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,7509000,8754000,1216000,1360000,49469000,115041000
58,Total Non-Current Liabilities,46159000,54261000,43819000,66046000,90277000,122163000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3574000,- -
61,Total Liabilities,56965000,69611000,76771000,84601000,111381000,144127000
