,https://roic.ai/company/CLSD,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,520000,345000,30000,2173000,7894000,29575000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,5045000,6692000,10762000,19455000,49053000,68291000,15658000,15073000,18537000
6,General and Administrative Exp.,- -,- -,- -,6263000,9700000,14684000,16819000,10756000,11665000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,6263000,9700000,14684000,16819000,10756000,11665000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,25718000,58753000,82975000,32477000,25829000,30202000
11,COGS and Expenses,7238000,9823000,17317000,25718000,58753000,82975000,32477000,25829000,- -
12,Interest Income ,7000,5000,8000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),23000,371000,330000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,15000,33000,60000,65000,182000,189000,211000,180000,- -
15,EBITDA,-7216000,-9785000,-17249000,-25817000,-58793000,-82629000,-30559000,-18030000,376000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-49.6481,-170.4145,-2754.3000,-14.0630,-2.2840,0.0127
17,Operating Income,-7238000,-9823000,-17317000,-25198000,-58408000,-82945000,-30304000,-17935000,-627000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-48.4577,-169.2986,-2764.8333,-13.9457,-2.2720,-0.0212
19,Total Other Income Expenses (Gains),-16000,-366000,-322000,-684000,-567000,127000,-466000,-275000,1003000
20,Income Before Tax,-7254000,-10189000,-17639000,-25882000,-58975000,-82818000,-30770000,-18210000,376000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-49.7731,-170.9420,-2760.6000,-14.1601,-2.3068,0.0127
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7254000,-10189000,-17639000,-25882000,-58975000,-82818000,-30770000,-18210000,376000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-49.7731,-170.9420,-2760.6000,-14.1601,-2.3068,0.0127
25,EPS,-0.59,-0.83,-1.48,-1.97,-2.33,-2.69,-0.81,-0.39,0.01
26,EPS Diluted,-0.59,-0.83,-1.48,-1.97,-2.33,-2.69,-0.81,-0.39,0.01
27,Weighted Average Shares Outstanding,12274529,12274529,11953109,13111067,25311614,30733600,38170830,46506540,59474346
28,Weighted Average Shares Outstanding Diluted,12274529,12274529,11953109,13111067,25311614,30733600,38170830,46506540,59474346
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1539029/000156459017004643/0001564590-17-004643-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459018006055/0001564590-18-006055-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459019007887/0001564590-19-007887-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459020010810/0001564590-20-010810-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459021013027/0001564590-21-013027-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000095017022003468/0000950170-22-003468-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1909000,8269000,20283000,34824000,9224000,8043000,22595000,17287000,30436000
32,Short-Term Investments,- -,- -,- -,48807000,28416000,32835000,- -,- -,- -
33,Cash and Short-Term Investments,1909000,8269000,20283000,83631000,37640000,40878000,22595000,17287000,30436000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,10000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,108000,54000,199000,686000,1561000,2066000,2624000,831000,1700000
37,Total Current Assets,2017000,8323000,20482000,84317000,39201000,42944000,25219000,18118000,42136000
38,PP&E,98000,205000,156000,94000,885000,790000,1197000,944000,607000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
